Scots	Scots	probability
ˈʌu̯	-	1.0
ˈɛː	ˈɑːi̯_ŋ	1.0
ˈɔɪ̯	w_ˈɛ	1.0
ˈøː	k_ˈʉːə̯	1.0
ˈuː	ˈʉ_lː	1.0
ˈoː	-	1.0
ˈo	-	1.0
ˈi_s	ˈɛ_s	1.0
ˈaːɪ̯	ˈɛ	1.0
ˈaː	ˈɪː_ɣ	1.0
ˈaɪ̯	rː	1.0
ʤ	ɡː	1.0
ʍ	w	1.0
ɡ_#>	ɡː_#>	1.0
ə_r	r	1.0
ə_#>	#>	1.0
ð	ð	1.0
ç_#>	ɣ_#>	1.0
ç	-	1.0
z	s	1.0
v	-	1.0
tʰ	tʰ	1.0
s_l	l̥	1.0
s_#>	s_#>	1.0
s	s	1.0
r_ˈɛ	r	1.0
r_n	nː	1.0
pʰ	pʰ	1.0
kʰ	kʰ	1.0
j	ɡ	1.0
f_#>	v_#>	1.0
f	f	1.0
e	ʉ_ŋ	1.0
d_#>	#>	1.0
b	b	1.0
<#_w_ˈɪ	<#_ˈʉə̯	1.0
<#_w	<#	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɽ	1.0
<#_j	<#	1.0
<#_h	<#	1.0
m	m	0.938
w	w	0.905
r	r	0.891
ŋ	ŋ_ɡ	0.818
ˈʌ	ˈʉ	0.8
t	t	0.786
p	p	0.778
ˈø	ˈʉːə̯	0.75
ɡ	ɡ	0.7
n	n	0.694
ə	ɛ	0.667
d	d	0.632
ʃ	s_ʨ	0.625
l	ɽ	0.625
θ	tʰ	0.615
h	ˈoː	0.6
k	k	0.588
ˈu	ˈɑːu̯	0.545
ˈa	-	0.5
x	ɣ	0.5
x	-	0.5
ˈɑː	-	0.462
ˈəi̯	ˈɑːi̯	0.417
ˈɪ	ˈɪ	0.41
h	j	0.4
ˈɛ	ˈɛ	0.385
ʃ	s_k	0.375
ˈe	ˈiːe̯	0.368
ˈi	-	0.364
ˈəi̯	ˈɪː	0.333
ˈeː	ˈɑ	0.333
ˈa	ˈɑ	0.333
ˈɪ	-	0.308
ˈɑː	ˈɑ	0.308
ˈu	-	0.273
d	ð	0.263
ˈəi̯	-	0.25
ˈø	-	0.25
ˈeː	ˈɑː	0.25
ˈeː	-	0.25
#>	ð_#>	0.25
#>	v_#>	0.25
θ	ð	0.231
ˈɛ	j	0.231
ˈɛ	-	0.231
ˈɑː	ˈɔː	0.231
ˈiː	j_ˈʉːə̯	0.222
p	pː	0.222
ˈe	ˈɑː	0.211
ˈʌ	ˈæ	0.2
ɡ	ʥ	0.2
t	tː	0.19
ˈu	ˈʉː_ɣ	0.182
ˈi	ˈyːœ̯	0.182
ŋ	kː	0.182
k	ɑ	0.176
ˈiː	ˈɪː	0.167
ˈiː	ˈæː	0.167
ˈeː	ˈɔː	0.167
ˈa	ˈɑː	0.167
ə	-	0.167
l	ɛ_ɽ	0.167
#>	ʉ_#>	0.167
#>	ɣ_ɑ_#>	0.167
#>	ɣ_#>	0.167
ˈe	ˈɛ	0.158
ˈe	-	0.158
θ	nː	0.154
ˈɛ	ˈæ	0.154
ˈi	ˈœː	0.136
ˈi	j_ˈʉːə̯	0.136
l	l	0.125
k	ʨ_ɑ	0.118
k	kː	0.118
ˈiː	ˈɔː	0.111
ˈiː	ˈɑːi̯	0.111
ˈiː	ˈœː	0.111
ˈiː	j	0.111
ə	d_ɛ	0.111
ˈe	ˈœː	0.105
d	ð_ɑ	0.105
ˈɪ	j	0.103
ɡ	ʥː	0.1
w	-	0.095
ˈi	ˈʉːə̯	0.091
n	nː_ɑ	0.083
l	-	0.083
ˈɪ	ˈʏ	0.077
r	-	0.073
m	mː	0.062
ə	ʏ	0.056
n	ʉ	0.056
n	ɑ	0.056
n	nː	0.056
n	-	0.056
ˈɪ	ˈʉə̯	0.051
ˈɪ	ˈyœ̯	0.051
