American English	American English	probability
ˈʌ_n	ˈɔ_n	1.0
ˈɝ	ˈɔ_ʀ	1.0
ˈɛə̯	ˈa	1.0
ˈi_p	ˈɔ_f	1.0
ˈaʊ̯_#>	ˈʊ_#>	1.0
ˈaʊ̯	ˈɔɪ̯	1.0
ˈaɪ̯_n	ˈaɪ̯_n	1.0
ʤ	k	1.0
ʃ	ʃ	1.0
ɾ	s_ə	1.0
ɹ_n	ʀ_n	1.0
ɫ_d	ɫ_d	1.0
ɫ	ɫ	1.0
ɡ	ɡ	1.0
ə	-	1.0
ŋ	ŋ	1.0
z	z	1.0
tʰ	ʦ	1.0
t	t	1.0
oʊ̯	-	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
k_s	k_s	1.0
j	j	1.0
i	ɪ_k	1.0
h	h	1.0
f_#>	b_#>	1.0
f	f	1.0
b	b	1.0
<#_ɹ	<#_ʀ	1.0
<#_n	<#_n	1.0
w	v	0.929
n	n	0.897
ɹ	ʀ	0.852
ˈʌ	ˈʊ	0.833
d	t	0.805
ˈɪ	ˈɪ	0.8
θ	d	0.727
ˈʊ	ˈʊ	0.667
ˈu	ˈʊ	0.6
k	χ	0.583
ˈoʊ̯	ˈɛɪ̯	0.571
ʧ	k	0.571
ˈʌɪ̯	ˈaɪ̯	0.556
p	f	0.556
ˈeɪ̯	ˈa	0.538
s	z	0.538
ɚ	ʀ	0.5
ɚ	ə_ʀ	0.5
ð	t_ə	0.5
ð	d_ə	0.5
v	b_n	0.5
v	b	0.5
ˈɑ	ˈa	0.462
ˈæ	ˈa	0.444
ˈaɪ̯	ˈɪ	0.429
ˈaɪ̯	ˈaɪ̯	0.429
ʧ	χ	0.429
ˈɛ	ˈɛ	0.419
ˈu	-	0.4
ˈɑ	ˈɔ	0.385
ˈɔ	ˈa	0.375
ˈɔ	-	0.375
s	ʃ	0.359
ʔ	s	0.346
ˈʊ	ˈɔ	0.333
ˈæ	-	0.333
ˈeɪ̯	ˈɔ_ɡ	0.308
θ	t	0.273
ˈi	ˈɪ	0.267
ˈɔ	ˈɔ	0.25
k	k	0.25
ˈʌɪ̯	ˈɪ_χ	0.222
ˈʌɪ̯	ˈa_χ	0.222
ˈæ	ˈa_ɫ	0.222
p	p	0.222
p	f_n	0.222
ˈɪ	ˈɛ	0.2
ˈi	ˈɔɪ̯	0.2
d	d	0.195
ˈɛ	ˈɔɪ̯	0.194
ʔ	ʦ	0.192
ʔ	t	0.192
ʔ	s_n	0.192
ˈʌ	-	0.167
ˈi	ˈɛ	0.167
k	k_ə	0.167
ˈɛ	-	0.161
ˈɑ	-	0.154
ˈeɪ̯	ˈɛ_ɡ	0.154
ˈoʊ̯	ˈɔ	0.143
ˈoʊ̯	ˈa	0.143
ˈoʊ̯	-	0.143
ˈaɪ̯	ˈɪ_ɡ	0.143
s	s	0.103
n	n_ə	0.103
ˈi	ˈɪ_ʀ	0.1
ˈi	ˈɔ	0.1
ˈi	ˈaɪ̯	0.1
ˈɛ	ˈɛɪ̯	0.097
ʔ	χ_t	0.077
ɹ	ʀ_ˈʊ	0.074
ɹ	ɛ	0.074
w	-	0.071
ˈi	ˈɛɪ̯	0.067
ˈɛ	ˈɪ	0.065
ˈɛ	ˈa	0.065
