Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́_ɡ	̌_ɡ	1.0
́_r	r_̌	1.0
́_m	m_̌	1.0
́_k	k	1.0
ˀ_#>	#>	1.0
ɛ	ɛ	1.0
z	ɡʲ_ʑ	1.0
uː	uː	1.0
r_ˀ	r	1.0
o	ɐ	1.0
l_ˀ	ɫ	1.0
j_au̯	ɛʊ̯	1.0
iː	iː	1.0
i_́	ɪ_ˈ	1.0
eː	eː	1.0
ei̯_ʃ	ɛɪ̯	1.0
ei̯_#>	ɪ_#>	1.0
e_́	ɛ	1.0
aː_ˀ	eː	1.0
a_n	aː	1.0
<#_w	<#_v	1.0
<#_t	<#_tʲ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_a	<#	1.0
s	s	0.918
k	k	0.846
a	ɐ	0.808
́ˀ	̂	0.769
d	d	0.75
ɡ	ɡ	0.733
aː_́ˀ	ɐ_ˈ	0.714
w	vʲ	0.667
p	pʲ	0.667
ei̯	iə̯	0.667
ŋ	ŋ	0.6
zʲ	ʑ	0.6
b	b	0.6
t	t	0.556
r	r	0.556
m	m	0.545
l	lʲ	0.533
n	n	0.529
#>	s_#>	0.524
sʲ	ʃ	0.5
sʲ	ɕ	0.5
j	j	0.5
j	-	0.5
i	ɪ	0.5
ai̯	iə̯	0.5
l	ɫ	0.467
m	mʲ	0.455
t	tʲ	0.444
r	rʲ	0.444
e	æː	0.438
oː	uə̯	0.429
aː	ɐ	0.417
aː	eː	0.417
ˀ	̂	0.4
ŋ	-	0.4
zʲ	ʒ	0.4
u	ʊ_ˈ	0.4
u	ʊ	0.4
b	bʲ	0.4
au̯	ʊ	0.4
au̯	ɐʊ̯	0.4
́	-	0.394
ʃ	ʃ	0.375
ʃ	ɕ	0.375
w	v	0.333
p	p	0.333
ei̯	æɪ̯	0.333
ai̯	aɪ̯	0.333
#>	ˈ_#>	0.333
e	ɛ	0.312
́	̌	0.303
ˀ	ˈ	0.3
ˀ	-	0.3
i	ɪ_ˈ	0.3
oː	uə̯_̌	0.286
oː	oː	0.286
aː_́ˀ	oː	0.286
ɡ	ɡʲ	0.267
ʃ	-	0.25
e	-	0.25
d	dʲ	0.25
n	nʲ	0.235
n	-	0.235
́ˀ	-	0.231
u	ɐ	0.2
i	iː	0.2
au̯	aʊ̯	0.2
́	̂	0.182
aː	oː	0.167
ai̯	ɐɪ̯	0.167
k	kʲ	0.154
#>	̌_#>	0.143
a	aː	0.135
s	sʲ	0.082
́	ˈ	0.061
́	aː_̌	0.061
a	-	0.058
