American English	American English	probability
ˈʌ_ð	ˈuː	1.0
ˈʌ_n	n	1.0
ˈɪ_ŋ	ˈœː	1.0
ˈɝ	r	1.0
ˈɛ_ɡ	ˈɔːɪ̯	1.0
ˈi_ʔ	ˈɛɪ̯_t	1.0
ˈi_k	ˈoː_k	1.0
ˈaɪ̯_d	ˈiː_d	1.0
ˈaɪ̯_#>	ˈoː_ɣ_ə_#>	1.0
ʤ	x	1.0
ʃ	s_k	1.0
ɾ	t	1.0
ɪ	ə	1.0
ɡ_ˈɪ	ˈeːu̯	1.0
ə	ə	1.0
ŋ	ŋ	1.0
ð	-	1.0
z	z	1.0
t_i	i	1.0
t	t	1.0
s_ˈɪ	s	1.0
s_l	s_l	1.0
s_#>	s_#>	1.0
s	s	1.0
pʰ	p	1.0
p	p	1.0
oʊ̯	-	1.0
m	m	1.0
i	ɪ	1.0
h	h	1.0
d_ɚ	ə_r	1.0
d	d	1.0
b	b	1.0
<#_ɹ	<#_r	1.0
<#_ɡ	<#_ɣ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
n	n	0.956
w	v	0.933
f	f	0.929
ʔ	t	0.923
<#_d	<#_d	0.875
ˈaʊ̯	ˈuː	0.833
k	k	0.8
ˈu	ˈoːu̯	0.75
ˈoʊ̯	ˈeː	0.75
ɹ	r	0.742
l	l	0.7
ˈɛə̯	ˈoːu̯	0.667
ɡ	ə	0.667
ɫ	l	0.619
ʧ	s	0.6
ɚ	r	0.6
#>	x_#>	0.583
θ	d	0.556
ˈʊ	ˈʊ	0.5
ˈʊ	ˈoːu̯	0.5
ˈoʊ̯_ɫ	ˈoː_l	0.5
ˈoʊ̯_ɫ	l	0.5
ˈi_#>	ˈɛɪ̯_#>	0.5
ˈi_#>	ˈi_#>	0.5
<#	<#_k	0.5
<#	<#_j	0.5
ˈɪ	ˈɪ	0.478
θ	t	0.444
ˈɔ	-	0.444
ˈaɪ̯	ˈiː	0.417
ˈʌ	ˈuː	0.4
ʧ	k_ə	0.4
ˈeɪ̯	ˈɔː	0.357
ˈʌɪ̯	ˈi	0.333
ˈɛə̯	ˈɔ	0.333
ˈɔ	ˈoːu̯	0.333
ˈɑ	ˈɔː	0.333
ɡ	ɡ	0.333
ɚ	ə_r	0.32
ˈʌ	ˈʊ	0.3
v	v_ə	0.3
v	-	0.3
l	l_j	0.3
ˈɛ	ˈoː	0.292
ˈi	ˈɛɪ̯	0.29
ˈɑ	-	0.267
ˈæ	ˈɛː	0.25
ˈæ	ˈɛ	0.25
ˈæ	ˈaː	0.25
ˈæ	ˈa	0.25
ˈu	ˈɛɪ̯	0.25
ˈoʊ̯	ˈoː	0.25
ˈaɪ̯	ˈi	0.25
#>	k_#>	0.25
ˈʌɪ̯	ˈʊ_x	0.222
ˈʌɪ̯	ˈɪ_x	0.222
ˈʌɪ̯	x	0.222
ˈɔ	ˈɔː	0.222
ˈeɪ̯	ˈoː	0.214
ˈeɪ̯	ˈaːi̯	0.214
ˈeɪ̯	-	0.214
ˈɛ	ˈeː	0.208
v	ə	0.2
v	w	0.2
k	k_ə	0.2
ɫ	ə_l	0.19
ɫ	l_ə	0.19
ˈɪ	ˈɛː	0.174
ˈɛ	-	0.167
ˈaʊ̯	ˈu	0.167
ˈaɪ̯	ˈuː	0.167
ˈaɪ̯	j_ˈuː	0.167
#>	t_#>	0.167
ˈi	ˈoː	0.161
ˈi	ˈiː	0.161
ˈʌ	ˈoːu̯	0.15
ˈɑ	ˈɔ	0.133
ˈɑ	ˈiː	0.133
ˈɑ	ˈaː	0.133
ˈɪ	ˈi	0.13
ˈi	ˈeː	0.129
<#_d	<#	0.125
ˈʌ	-	0.1
ˈi	ˈi	0.097
ˈi	j_ˈoː	0.097
ɹ	d_ə	0.097
ɹ	-	0.097
ˈɪ	ˈiː	0.087
ˈɪ	j_ˈʊ	0.087
ˈɛ	ˈɪ	0.083
ˈɛ	ˈɔː	0.083
ˈɛ	ˈaː	0.083
ˈɛ	ˈa	0.083
ɚ	ˈuː_r	0.08
ʔ	ˈɛ_t	0.077
f	x	0.071
w	-	0.067
ˈi	-	0.065
ɹ	ˈɛː_r	0.065
