Old West Norse	Proto-Germanic	probability
θ	θ	1.0
ˈɛi̯	ˈɑi̯	1.0
ˈɛ	ˈɑ	1.0
ˈɔː	ˈɔː	1.0
ˈɔ	ˈɑ	1.0
ˈɒu̯	ˈɑu̯	1.0
ˈɑu̯	ˈɑu̯	1.0
ˈɑ	ˈɑ	1.0
ˈøː	ˈɔː	1.0
ˈøy̯	ˈɑu̯	1.0
ˈyː_r̥	ˈuː_z	1.0
ˈuː	ˈuː	1.0
ˈi	ˈi	1.0
ˈa	ˈɑ	1.0
ʦ	ð_i	1.0
ʝː	ɣ_j	1.0
ɾ	ɑ_r	1.0
ɡ_r	ɣ_r	1.0
ɟː	ɣ_j	1.0
ɑː	e_x	1.0
ŋ	ŋ	1.0
ç_ˈɑ	x_ˈe	1.0
x_w	xʷ	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
r_n	r_n	1.0
pː	pː	1.0
pʰ	p	1.0
p	p	1.0
n̥	x_n	1.0
mː	mː	1.0
m	m	1.0
l̥	x_l	1.0
l	l	1.0
kː	ŋ_k	1.0
j_ˈɔ	ˈe	1.0
j_ˈɑ	ˈe	1.0
j_ˈuː	ˈeu̯	1.0
f_r̥	β_ɑ	1.0
f	ɸ	1.0
e	i	1.0
d	d	1.0
cː	kː_i	1.0
b	b	1.0
n	n	0.963
h	x	0.929
ˈo	ˈu	0.912
r	r	0.884
ɟ	ɣ	0.872
ˈu	ˈu	0.869
ˈiː	ˈiː	0.865
ˈy	ˈu	0.83
ˈoː	ˈɔː	0.747
ɡː	ɣ_j	0.745
ɡ	ɡ	0.712
tː	x_t	0.671
c	k	0.659
ð	ð	0.637
ˈɛː	ˈɑ_x	0.632
ɑ	ɑ_n	0.594
k	k	0.578
j_ˈoː	ˈeu̯	0.538
r̥ː	r_i	0.522
r̥	ɑ_z	0.518
j	ˈe	0.515
ɣ	ɣ	0.507
v	β	0.505
ˈe	ˈe	0.503
ɣ	ɣ_ɑ	0.493
j	j	0.485
r̥ː	r_ɑ	0.478
ˈɑː	ˈɛː	0.47
nː	nː	0.47
ˈyː	ˈiu̯	0.462
j_ˈoː	ˈɑi̯_w	0.462
a	ɑ_n_ɑ̃	0.444
lː	lː	0.417
lː	l_θ	0.393
ˈɛː	-	0.368
ˈe	ˈɑ	0.356
ˈeː	-	0.349
nː	n_θ	0.345
c	k_i	0.341
a	ɔ̃ː	0.333
u	u_n	0.324
ɡ	ɣ	0.288
i	ɛː	0.276
ˈyː	z	0.269
ˈyː	-	0.269
r̥	z	0.269
ð	θ	0.267
ˈɑː	ˈɑ	0.266
v	w	0.26
ɡː	jː	0.255
u	u	0.25
u	i	0.25
k	k_ɑ	0.212
i	ɔːː	0.212
ˈeː	ˈe_w	0.192
ˈeː	ˈe	0.192
lː	l_ɑ	0.19
nː	n_ɑ	0.185
tː	tː	0.184
u	-	0.176
ˈeː	ˈeː	0.174
ˈy	ˈe	0.17
v	ɸ	0.167
ɑ	ɔ̃ː	0.158
i	ɑ	0.154
tː	t	0.146
ˈoː	-	0.142
ˈe	ˈi	0.141
ˈɑː	ˈɑi̯	0.137
ˈiː	ˈe	0.135
ˈɑː	ˈɑ_x	0.128
ɟ	ɡʷ	0.128
ɑ	ɑ	0.12
k	k_s	0.114
ˈoː	ˈeu̯	0.111
a	ɔːu̯	0.111
a	ɑː	0.111
ˈu	-	0.109
r̥	r	0.108
i	e	0.104
k	-	0.097
ð	-	0.096
ˈeː	ˈĩː	0.093
ˈo	w	0.088
i	u	0.088
i	iː	0.087
r	-	0.085
i	i	0.08
h	x_ˈɑu̯	0.071
v	-	0.068
r̥	i	0.068
