Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́ˀ	ˈ	1.0
́_n	ˈ	1.0
ˀ_ɡ	ɣʲ	1.0
ˀ_w	v	1.0
ˀ_#>	#>	1.0
ɛ	e	1.0
ŋ_ɡ	ʐ̊	1.0
ŋ	-	1.0
z	z	1.0
uː	ɨ	1.0
u_s_#>	#>	1.0
t_ei̯	ʦʲ	1.0
o	-	1.0
m_b	b̥	1.0
l_i	lʲ	1.0
k_e	ʧ_a	1.0
j_au̯	ʉ	1.0
j	-	1.0
ei̯	i	1.0
e_́	æ	1.0
e_s	ɨ	1.0
aː	a	1.0
au̯	u	1.0
a_́	a	1.0
a_s_#>	#>	1.0
a_s	ɨ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#	<#_v	1.0
ˀ	ˈ	0.875
k	k	0.8
r	r	0.792
s	-	0.784
eː	-	0.714
ɡ	ɣ	0.688
u	-	0.667
sʲ	s	0.667
n	n	0.667
a_#>	a_#>	0.667
#>	ˈ_#>	0.667
l	ɫ	0.65
i	-	0.619
́	ˈ	0.609
m	m	0.571
b	b	0.571
w	v	0.562
d	d	0.529
ʃ	xʲ	0.5
ʃ	-	0.5
t	t	0.474
zʲ	zʲ	0.455
w	vʲ	0.438
oː	-	0.429
b	bʲ	0.429
ai̯	e	0.375
ai̯	-	0.375
zʲ	z	0.364
e	e	0.364
u	i	0.333
sʲ	sʲ	0.333
p	pʲ	0.333
p	p	0.333
p	-	0.333
a_#>	#>	0.333
#>	a_#>	0.333
́	-	0.326
oː	a_ˈ	0.286
oː	a	0.286
m	mʲ	0.286
eː	a	0.286
e	ɵ	0.273
t	ʦʲ	0.263
ai̯	ɛ	0.25
a	o	0.237
d	d̥	0.235
a	a	0.211
l	lʲ	0.2
k	ʦʲ	0.2
ɡ	ʐ	0.188
a	u	0.184
zʲ	-	0.182
e	æ	0.182
e	-	0.182
d	ʣʲ	0.176
n	u	0.167
n	-	0.167
t	-	0.158
l	w	0.15
m	-	0.143
i	æ	0.143
i	o	0.143
ˀ	-	0.125
ɡ	x	0.125
r	r_a	0.125
s	s	0.108
t	ʧ	0.105
i	ɵ	0.095
r	r_o	0.083
a	o_ˈ	0.079
a	i	0.079
́	o_ˈ	0.065
d	d̥ʲ	0.059
s	ɨ	0.054
s	sʲ	0.054
a	ʌ	0.053
a	ɨ	0.053
a	r	0.053
a	-	0.053
