Macedonian	Ukrainian	probability
<#_b	<#_bʲ	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_lʲ	1.0
<#_p	<#_p	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɦ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʣ	<#_zʲ	1.0
<#_ʧ	<#_ʧ	1.0
a	ˈɑ_#>	1.0
a_#>	ɐ_#>	1.0
b	b	1.0
d	d	1.0
i	ˈɪ	1.0
k	k	1.0
l_ˈɛ	ɔ_ɫ	1.0
m	m	1.0
m_#>	m_#>	1.0
n	n	1.0
o	-	1.0
o_k	k_ˈɪ	1.0
p_#>	b_#>	1.0
r_#>	r_#>	1.0
r_ˈa	r_ˈɔ	1.0
s_#>	s_#>	1.0
s_ɛ	sʲ_ɐ	1.0
t	t	1.0
z	z	1.0
ɡ	ɦ	1.0
ɫ	ɫ	1.0
ɫ_ˈa	ɫ	1.0
ˈo_d	ɔ_d	1.0
ˈo_r	ɔ_r	1.0
ˈu	ˈu	1.0
ˈɛ_t	ˈi_t	1.0
k_#>	k_#>	0.571
n_#>	n_e	0.571
s	sʲ	0.2
v	ʋʲ	0.182
ˈi	-	0.182
ˈo	ˈi	0.412
ˈɛ	ˈɔ	0.062
ˈɛ	-	0.062
ˈɛ	j_ˈɑ	0.062
ˈɛ	ɔ	0.062
ˈɛ	i	0.062
ˈɛ	e	0.062
o_#>	ɔ_#>	0.833
r	r_ɪ	0.333
t_#>	d_#>	0.133
t_#>	t_#>	0.333
t_#>	tʲ_#>	0.533
v	ʋʲ_ˈi	0.273
ˈa	ˈɑ	0.333
ˈo	ˈɔ	0.353
<#_n	<#_n	0.4
<#_s	<#_s	0.714
l	lʲ_ˈi	0.4
ʦ	ʦʲ	0.4
ˈr̩	r	0.444
ˈɛ	ɐ	0.094
ˈɛ	ɛ	0.094
ˈɛ	ˈɛ	0.094
ˈɛ	ˈi	0.344
<#_m	<#_mʲ	0.25
<#_m	<#_m	0.75
<#_r	<#_rʲ	0.5
<#_r	<#_r	0.5
<#_t	<#_tʲ	0.25
<#_t	<#_t	0.75
<#_v	<#_ʋʲ	0.25
<#_v	<#_w	0.375
<#_v	<#_ʋ	0.375
f	ʋ_e	0.5
f	w	0.5
p	p	0.5
p	pʲ_i	0.5
v	ʋ	0.545
ɛ	ˈɪ	0.25
ɛ	ˈɛ	0.25
ɛ	-	0.5
ɛ_#>	ˈɑ	0.25
ɛ_#>	t_e	0.375
ɛ_#>	ɛ_#>	0.375
ɫ_#>	lʲ_#>	0.5
ɫ_#>	ɫ_#>	0.5
ˈa	ˈu	0.25
ˈa	ɔ	0.25
ˈo	ɔ	0.235
ˈo_ɫ	ˈɔ_ʋ	0.5
ˈo_ɫ	ˈɔ_ʍ	0.5
<#	<#_i	0.286
<#	<#_w	0.286
<#_n	<#_nʲ	0.6
<#_s	<#_sʲ	0.286
l	ɫ	0.6
ʦ	ʦ	0.6
ˈr̩	ˈɛ_r	0.556
o_#>	ˈɔ_#>	0.167
r	r	0.667
ˈa	ˈi	0.167
s	s	0.8
ˈi	ˈɪ	0.818
<#	<#_x	0.429
k_#>	ɦ_#>	0.429
n_#>	nʲ_#>	0.429
