Lithuanian	Proto-Slavic	probability
ˈɛ	e_z	1.0
ʑ	z	1.0
ɫ̌	l	1.0
ɫ	l	1.0
ɪ_s	ŭ	1.0
ɡʲ	ʒ	1.0
ɡ	ɡ	1.0
ɛ̂ʊ̯	ûː	1.0
ɛɪ̯	i	1.0
ɛ_sʲ	ẽː	1.0
ɐ̌ʊ̯	-	1.0
ɐʊ̯	-	1.0
ɐɪ̯	ɛː	1.0
ɐ_ŋ	õːˀ	1.0
ɐ_s	ŭ	1.0
ŋ	-	1.0
æ̂ː	eˀ	1.0
æ̂ɪ̯	iˀ	1.0
z	-	1.0
vʲ	v	1.0
ǔə̯	ɨ	1.0
ûː	ɨˀ	1.0
ûə̯	uː	1.0
uː	ɨ̂ː	1.0
uə̯	-	1.0
ř	r	1.0
rʲ_oː	rʲ	1.0
r	r	1.0
pʲ	p	1.0
ǒː	âː	1.0
ôː	-	1.0
oː	aˀ	1.0
ň	-	1.0
mʲ	m	1.0
m	m	1.0
lʲ	l	1.0
j	-	1.0
ǐː	-	1.0
îː	îː	1.0
îə̯	ǐ	1.0
iː	-	1.0
iə̯	î	1.0
ěː	ǎ	1.0
dʲ	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
ǎː_p	ŭ̌	1.0
âʊ̯	ŭ̂	1.0
âɪ̯	-	1.0
aː	õ̂ː	1.0
nʲ	-	0.89
ɕ	s	0.866
n	n	0.831
sʲ	s	0.767
t	t	0.728
ˈɪ_s	ĭ	0.727
k	k	0.708
rʲ	r	0.669
æ̌ː	-	0.652
tʲ	t	0.649
âː	oˀ	0.642
ˈʊ	ŭ	0.63
ʃ	s	0.629
ǎː	ô	0.612
ʒ	z	0.603
v	v	0.579
ɐ	-	0.54
ɛ	-	0.536
ˈɐ	ǎ	0.535
kʲ	ʧ	0.514
kʲ	ô	0.486
ˈɪ	ĭ	0.484
eː	a	0.427
s	-	0.425
v	-	0.421
ʒ	ɡ	0.397
ǎː	-	0.388
ʃ	x	0.371
ɐ	o	0.369
âː	-	0.358
ʊ	ŭ	0.352
tʲ	-	0.351
æ̌ː	ê	0.348
ʊ	-	0.336
rʲ	o_r	0.331
ʊ	ɨ̌	0.311
s	s	0.293
eː	ǎ	0.292
s	ŭ	0.282
eː	-	0.281
ˈɪ	-	0.276
ˈɪ_s	o	0.273
t	-	0.272
ˈɐ	-	0.267
ɪ	ĭ	0.261
ɛ	e	0.259
ˈʊ	-	0.244
ˈɪ	ĭˀ	0.24
sʲ	x	0.233
ɪ	-	0.228
ˈɐ	o	0.198
ɪ	ĭ̌	0.188
ɪ	ẽ	0.173
n	-	0.169
ɪ	ĭ̂	0.15
k	ʧ	0.146
k	-	0.146
ɛ	ê	0.14
ɕ	ʃ	0.134
ˈʊ	ǔ	0.126
nʲ	ɲ	0.11
ɐ	ôː	0.091
ɛ	êː	0.065
