Occitan	Brazilian Portuguese	probability
mː	m	1.0
nː	m	1.0
v	v	1.0
y	u	1.0
ð	d	1.0
ʎ	ʎ	1.0
d	-	0.081
d	d	0.631
e	u	0.181
l	u	0.101
l	l	0.491
u	-	0.111
w	u	0.131
z	ɡ	0.411
ɔ	ɐ	0.961
ɣ	h	0.051
ɥ	-	0.191
ɾ	z	0.101
ʒ	ɾ	0.081
ˈa	-	0.051
l	w	0.122
s	ʃ	0.392
w	v	0.172
z	z	0.472
ɡ	-	0.102
ɾ	-	0.252
ˈu	ˈo	0.372
ˈɔ	ˈɔ	0.262
ˈɛ	ˈẽ	0.192
ˈɛ	-	0.252
b	b	0.983
j	j	0.13
t	d	0.113
w	w	0.33
ŋ	ˈĩ	0.673
ɥ	ˈu	0.123
ɾ	ɾ	0.593
ʤ	ʒ	0.193
ˈa	ˈɐ̃	0.353
ˈa	ˈa	0.463
ˈy	ˈũ	0.383
ˈɔ	ˈõ	0.243
ˈɛ	j	0.13
e	e	0.314
f	f	0.94
i	i	0.184
j	-	0.504
k	-	0.054
lː	-	0.674
m	-	0.134
m	m	0.824
n	t	0.114
p	p	0.904
r	ɾ	0.104
t	t	0.584
ʧ	j	0.344
ˈi	ˈe	0.054
ˈu	ˈɔ	0.144
e	ˈe	0.135
n	n	0.335
r	ɦ	0.415
t	ʤ	0.115
u	o	0.535
ɲ	h	0.115
ɲ	j̃	0.885
ɾ	l	0.05
ʤ	ɡ	0.445
ʦ	s	0.325
ʦ	j	0.675
ˈa	a	0.05
ˈi	ˈĩ	0.325
ˈi	ˈi	0.465
ˈɔ	ˈo	0.495
a	-	0.136
lː	ʎ	0.326
s	s	0.556
t	-	0.066
w	-	0.106
ɥ	ˈo	0.686
ˈu	ˈõ	0.096
ˈy	ˈẽ	0.066
ˈɛ	ˈɛ	0.266
a	ɐ	0.057
e	i	0.17
j	t	0.057
k	k	0.807
r	h	0.467
u	õ	0.197
w	o	0.097
ʤ	ʃ	0.327
ˈe	-	0.107
ˈe	ˈe	0.7
ˈu	ˈu	0.207
ˈɛ	ʎ	0.077
β	b	0.747
e	-	0.098
i	ĩ	0.288
i	u	0.528
j	ˈe	0.288
l	-	0.208
n	ʧ	0.088
n	j̃	0.138
w	ˈɔ	0.088
z	-	0.098
ɡ	ɡ	0.898
ʧ	t	0.448
ˈe	ˈi	0.058
ˈy	ˈu	0.48
β	v	0.228
a	a	0.739
d	ʤ	0.249
e	ẽ	0.059
k	ɡ	0.139
n	-	0.319
t	ʧ	0.09
u	ɐ̃	0.069
ŋ	j̃	0.279
ɣ	ɡ	0.949
ʒ	ʒ	0.89
ʧ	-	0.059
ʧ	ʧ	0.149
ˈe	ˈẽ	0.09
ˈu	ˈɐ̃	0.089
