Dutch	Dutch	probability
χ_ɾ	ɦ_ɾ	1.0
χ_ə	ɦ	1.0
ˈɑu̯	ˈu	1.0
ˈøː	ˈøː	1.0
ˈyː	ˈiə̯	1.0
ˈu	ˈuə̯	1.0
ˈi	ˈiə̯	1.0
ʋ	ʋ	1.0
ɾ_t	ɾ_t	1.0
ɾ	ɾ	1.0
ɫ_ə	w	1.0
ɪ	ɪ	1.0
ə_ɫ	ə_l	1.0
ə_n	n	1.0
ə	ə	1.0
z	z	1.0
w	-	1.0
v	v	1.0
t	t	1.0
p	p	1.0
m	m	1.0
k	k	1.0
j	j	1.0
i	iə̯	1.0
d̥	d̥	1.0
d	d	1.0
b	b	1.0
<#_ˈɛi̯	<#_ˈɛː	1.0
<#_ɦ_ˈaː	<#_ˈɒː	1.0
<#_ɦ	<#	1.0
<#_n	<#_n	1.0
#>	ə_#>	1.0
n	n	0.962
ˈɑ	ˈɑ	0.897
ˈaː	ˈɒː	0.882
ˈɛ	ˈæ	0.875
ˈoː	ˈoː	0.867
ˈœy̯	ˈyː	0.818
ɫ	l	0.784
z̥	z̥	0.778
s	s	0.767
ˈɛi̯	ˈi	0.688
ˈeː	ˈeː	0.682
ˈʏ	ˈœ	0.667
ə_ɾ	ɾ	0.667
v̥	v̥	0.667
ˈɪ	ˈɪ	0.632
ˈɔ	ˈɔ	0.579
ŋ	ŋ	0.545
ŋ	ŋ_k	0.455
χ	ɦ	0.4
χ	h	0.375
ˈʏ	-	0.333
ə_ɾ	ə_ɾ	0.333
v̥	v_ə	0.333
ˈeː	ˈɛː	0.318
ˈɛi̯	-	0.312
ˈɔ	ˈu	0.263
s	ʃ	0.233
z̥	-	0.222
ɫ	w	0.216
ˈɪ	ˈɛ	0.211
χ	ɦ̥	0.2
ˈœy̯	-	0.182
ˈɪ	-	0.158
ˈɔ	ˈœ	0.158
ˈoː	ˈøː	0.133
ˈɛ	ˈɛ	0.125
ˈaː	-	0.118
ˈɑ	-	0.103
