Scots	Scots	probability
ˈɪ_ɡ	ˈœ_k	1.0
ˈɪ_t	ˈʊː_t	1.0
ˈɛː	ˈeː_ɣ	1.0
ˈɔɪ̯	ˈæː_ʀ	1.0
ˈøː	ˈʊː	1.0
ˈoː	-	1.0
ˈaːɪ̯	ˈiː	1.0
ʧ	-	1.0
ʤ	ɣ̊	1.0
ʍ	β	1.0
ʃ_#>	s_#>	1.0
ʃ	ʃ	1.0
ɪ	ə_k	1.0
ɡ	ɣ	1.0
ɛ	d_ə	1.0
ə_n	ə	1.0
ð_ə	ˈeː	1.0
ç_t	x	1.0
ç	ɣ̊	1.0
z	-	1.0
w_ˈa	β	1.0
v	v	1.0
s_t	s	1.0
r_n	ʀ_ə	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
l	l	1.0
j	-	1.0
h	ɦ	1.0
f_#>	v̥_#>	1.0
f	v	1.0
e	ɪ_ŋ	1.0
b	b	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
n	n	0.921
r	ʀ	0.892
w	β	0.826
ˈʌu̯	-	0.75
s_#>	z̥_#>	0.75
t	t	0.727
θ	d	0.722
ˈaɪ̯	-	0.667
ə	ə	0.667
s	z	0.667
i	ə_ɣ̊	0.667
ŋ	ŋ	0.636
k	k	0.619
x	x	0.6
ˈo	ˈɔ	0.556
ˈa	ˈaː	0.545
ˈʌ	-	0.538
ˈu	ˈuː	0.538
ˈe	ˈɛː	0.526
ˈəi̯	ˈiː	0.5
ˈəi̯	-	0.5
ˈø	-	0.5
ˈuː	ˈɔu̯	0.5
ˈuː	ˈɔ_l	0.5
ð	j	0.5
ð	-	0.5
d	d̥	0.478
ˈo	ˈʊː	0.444
#>	ɣ̊_#>	0.444
x	ɣ̊	0.4
ˈʌ	ˈʊː	0.385
d	d	0.37
ŋ	ŋ_k	0.364
ˈɑː	ˈɑː	0.357
ˈiː	ˈeː	0.333
ˈiː	-	0.333
ˈaɪ̯	ɡ	0.333
s	s	0.333
i	i	0.333
#>	v̥_#>	0.333
ˈu	-	0.308
ˈø	ˈʊː	0.3
ˈɪ	ˈɪː	0.286
ˈɑː	ˈaː	0.286
θ	d̥	0.278
ˈa	ˈɑ	0.273
ˈe	ˈaː	0.263
ˈʌu̯	w	0.25
s_#>	#>	0.25
#>	n_#>	0.222
ˈɑː	ˈi	0.214
ˈeː	ˈaː	0.214
ˈeː	-	0.214
ˈɛ	ˈɑ	0.211
ˈɛ	-	0.211
ə	-	0.208
ˈi	ˈøː	0.207
ˈi	ˈeː	0.207
ˈø	ˈoː	0.2
k	k_ə	0.19
ˈa	-	0.182
t	t_ə	0.182
ˈi	-	0.172
ˈɛ	ˈeː	0.158
ˈu	ˈoː	0.154
ˈɪ	-	0.143
ˈɑː	ˈɑ	0.143
ˈeː	ˈʊː_n	0.143
ˈeː	ˈɒː	0.143
ˈeː	ˈæː	0.143
ˈeː	ˈeː	0.143
ə	d_ə	0.125
ˈɪ	ˈeː	0.119
ˈiː	ˈɛːi̯	0.111
ˈiː	ˈiː	0.111
ˈiː	ˈeː_ɣ	0.111
r	ʀ_ə	0.108
ˈɛ	ˈɪ	0.105
ˈɛ	ˈɛː	0.105
ˈɛ	ˈæː	0.105
ˈɛ	ˈaː	0.105
ˈe	ˈu	0.105
ˈe	-	0.105
ˈi	ˈɒː	0.103
ˈi	ˈu	0.103
k	ə_k	0.095
k	s	0.095
t	-	0.091
w	β_ˈeː	0.087
w	v	0.087
d	j_ə	0.087
n	ə	0.079
ˈʌ	ˈʊ	0.077
ˈɪ	ˈɛː	0.071
ˈɪ	ˈɛ	0.071
ˈɪ	ˈoː	0.071
ˈi	ˈɛː	0.069
ˈi	ˈɔː	0.069
ˈi	ˈi	0.069
d	j	0.065
