Spanish	Spanish	probability
θ_ˈe	ʃ	1.0
ˈu_n	ˈɔ̃	1.0
ˈo_ð	ˈɔ	1.0
ˈo_n	ˈɔ̃	1.0
ˈo_m	ˈɔ	1.0
ˈi_ʝ	j	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ɣ	ˈi	1.0
ˈi_n	ˈẽ	1.0
ˈe_θ	ʃ	1.0
ˈe_ɾ	ˈa	1.0
ˈe_ɣ	ˈøː	1.0
ˈe_ð	w	1.0
ˈe_k	ˈɛ_ʧ	1.0
ˈa_ɾ	ˈe	1.0
ˈa_x	ˈa	1.0
ʧ	t	1.0
ʝ_a	j	1.0
ɾ_#>	#>	1.0
ɣ_w	w	1.0
ɣ_a	j	1.0
ŋ	-	1.0
ð_a	j	1.0
ð	-	1.0
x_o_#>	#>	1.0
x_a	j	1.0
x	j	1.0
u	-	1.0
t_ɾ	t	1.0
t_e_#>	#>	1.0
s_k	ʃ	1.0
r_o	ɲː	1.0
o_n	ɔ̃	1.0
o_#>	#>	1.0
n_θ	ɛ̃	1.0
n_a	n	1.0
l_#>	#>	1.0
k_a	ʧ	1.0
j_ˈo	j_ˈu	1.0
j_ˈe	ˈiː	1.0
j_#>	ˈɛ_#>	1.0
i_ŋ	ẽ	1.0
f	f	1.0
e_ɾ	ɛ_ʀ	1.0
b_ˈe	v	1.0
b_ɾ	m	1.0
b_w	b	1.0
b_j	v	1.0
a_ʝ	ɛː	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈuː	1.0
<#_x	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
#>	ˈɛ_#>	1.0
p	p	0.857
d	d	0.846
<#	<#_f	0.818
ɾ	ʀ	0.772
e	-	0.765
m	m	0.75
ˈe_n	ˈɛ̃	0.667
j	-	0.667
w_ˈe	ˈuː	0.636
ˈu	-	0.625
<#_e	<#	0.625
w	w	0.615
b	v	0.615
ˈa_n	ˈɑ̃	0.6
ɲ	ɲ	0.6
ɡ	ɡ	0.556
k	k	0.533
t	t	0.526
ˈa_ð	ˈɛː	0.5
ˈa_ð	ˈɛ	0.5
ʝ	l	0.5
ʝ	-	0.5
ɣ	-	0.5
ɟ͡ʝ	p_l	0.5
t	-	0.474
s	s	0.469
θ	s	0.455
β	f	0.45
ˈi	ˈɛ	0.429
l	l	0.421
β	-	0.4
ˈa_n	ˈɛ̃	0.4
ɲ	-	0.4
k	ʧ	0.4
b	b	0.385
ˈu	ˈu	0.375
<#_e	<#_ɛ	0.375
l	-	0.368
w_ˈe	ˈɔ	0.364
s	-	0.344
ˈo	ˈoː	0.333
ˈe_n	ˈɔ̃	0.333
n	-	0.333
i	ɛ	0.333
i	i	0.333
i	-	0.333
θ	-	0.318
w	-	0.308
o	ɔ	0.308
o	-	0.308
n	n	0.286
a	ɛ	0.267
a	a	0.267
ˈa	ˈa	0.257
ɣ	ɡ	0.25
ɣ	w	0.25
ɟ͡ʝ	l	0.25
ɟ͡ʝ	k_l	0.25
m	-	0.25
ˈi	ˈiː	0.238
ˈa	ˈɔː	0.229
ɡ	k	0.222
ɡ	-	0.222
ˈe	ˈɛ	0.214
l	j	0.211
ˈa	ˈiː	0.2
j	j	0.2
a	n	0.2
ɾ	-	0.193
ˈe	-	0.19
n	ˈɛ̃	0.19
<#	<#_ʤ	0.182
ˈo	ˈɔ	0.167
ˈo	ˈøː	0.167
ˈe	w	0.167
o	ˈa	0.154
d	-	0.154
β	v	0.15
ˈi	-	0.143
ˈe	ˈa	0.143
p	-	0.143
θ	ʒ	0.136
j	ˈiː	0.133
a	ɔː	0.133
a	j	0.133
s	ʃ	0.125
ˈe	ˈɛː	0.119
ˈa	ˈe	0.114
ˈi	ˈi	0.095
ˈi	ˈẽ	0.095
n	ˈɔ̃	0.095
n	ˈẽ	0.095
θ	ʃ	0.091
e	i	0.088
e	a	0.088
ˈa	ˈɑ̃	0.086
ˈo	ˈɔː	0.083
ˈo	ˈuː	0.083
ˈo	ˈu	0.083
ˈo	ɔ	0.083
w	u	0.077
o	ˈɛ	0.077
o	ˈẽ	0.077
o	ˈe	0.077
ˈe	ˈeː	0.071
k	-	0.067
s	z	0.062
e	ɛ	0.059
ˈa	ˈɛ	0.057
ˈa	w	0.057
