Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈœʏ̯	ˈoː	1.0
ˈuː_#>	ˈu_d̥_#>	1.0
ˈeː_#>	ˈi_#>	1.0
ʋ_#>	v̥_#>	1.0
ʋ	ʋ	1.0
ʈː	ɾ_t	1.0
ɾ_ˈœ	ɾ_ˈoː	1.0
ɡː	χ	1.0
ɡ	χ	1.0
ŋː	ŋ	1.0
ç	k	1.0
tʰ	d	1.0
t	t	1.0
s_l	s_ɫ	1.0
s_k_ə_#>	s_#>	1.0
s_#>	z̥_#>	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
nː_#>	n_d̥_#>	1.0
mː	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kː	ŋ_k	1.0
kʰ	k	1.0
i	ə	1.0
h	ɦ	1.0
f	v	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ˈeː	<#_ˈeː	1.0
<#_ɾ	<#_ɾ	1.0
<#_ɡ	<#_χ	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
n	n	0.909
l	ɫ	0.889
ɾ	ɾ	0.887
ˈɪ	ˈɪ	0.867
ˈyː	ˈi	0.833
ˈɑ	ˈɑ	0.8
ˈeː	ˈeː	0.75
ˈoː	ˈaː	0.733
k_#>	k_#>	0.727
#>	n_#>	0.727
ʂ	s_χ	0.667
ɳ	ɾ	0.667
nː	n	0.643
lː	ɫ	0.636
ə	ə	0.621
ˈʉ	ˈɔ	0.615
s	z	0.605
ˈɑː	ˈaː	0.6
ˈæː	-	0.6
<#	<#_ʋ	0.6
ˈuː	ˈu	0.571
k	χ	0.571
ˈʉː	ˈœy̯	0.562
ˈʏ	ˈʏ	0.556
ˈæɪ̯	ˈeː	0.556
ˈiː	ˈɛi̯	0.556
tː	t	0.545
ʋ_ə	ə	0.5
ʋ_ə	v_ə	0.5
ɾ_ə	ɾ	0.5
ɾ_ə	ə_ɾ	0.5
ˈɛ	ˈɛ	0.478
tː	χ_t	0.455
ˈʏ	-	0.444
ˈuː	ˈoː	0.429
k	k	0.429
j	χ	0.417
ˈøː	ˈoː	0.412
ˈæː	ˈeː	0.4
<#	<#_j	0.4
s	s	0.395
ˈɔ	ˈoː	0.364
ə	-	0.364
nː	n_d	0.357
ʂ	z	0.333
ɳ	ɾ_ə	0.333
j	-	0.333
ˈʉː	-	0.312
ˈɔ	ˈɔ	0.273
ˈœ	ˈɔ	0.273
ˈœ	ˈoː	0.273
ˈœ	-	0.273
k_#>	#>	0.273
ˈeː	ˈøː	0.25
j	ɦ	0.25
ˈøː	ˈoː_d̥	0.235
ˈʉ	ʋ_ˈɔ	0.231
ˈæɪ̯	χ	0.222
ˈæɪ̯	ˈɛi̯	0.222
ˈɛ	ˈɑ	0.217
ˈɑː	ˈɑ_d̥	0.2
ˈɑː	ˈɑ	0.2
ˈɑ	-	0.2
ˈɔ	ˈɑ	0.182
ˈɔ	-	0.182
ˈœ	ˈu	0.182
lː	ɫ_d̥	0.182
lː	d̥	0.182
ˈøː	ˈu	0.176
ˈøː	-	0.176
ˈyː	ˈyː	0.167
ˈiː	ˈɪ	0.167
ˈiː	ˈeː	0.167
ˈʉ	-	0.154
#>	d̥_#>	0.136
ˈɪ	-	0.133
ˈoː	ˈoː	0.133
ˈoː	-	0.133
ˈɛ	-	0.13
ˈʉː	ˈɔ	0.125
ˈiː	ˈi	0.111
l	-	0.111
n	-	0.091
ˈɛ	ˈi	0.087
ˈɛ	ˈeː	0.087
#>	v̥_#>	0.076
