Proto-Germanic	Proto-Germanic	probability
θ_i	d	1.0
β_ɑ_z_#>	f_#>	1.0
ˈɔː_x	ˈøː	1.0
ˈɑː	ˈiː	1.0
ˈɑu̯_ð	ˈe_d	1.0
ˈɑi̯_w	ˈɑː	1.0
ˈɑ_ɣ	ˈeː	1.0
ˈɑ_s	ˈɛ_s	1.0
ˈɑ_r	ˈeː_r	1.0
ˈɑ_n	ˈø	1.0
ˈɑ_l	ˈɑː	1.0
ˈuː_z	ˈuː	1.0
ˈu_lː	ˈuː	1.0
ˈu_l	ˈʌu̯	1.0
ˈĩː	ˈɪ	1.0
ˈiu̯	-	1.0
ˈi_n	ˈɪ_n	1.0
ˈi_m	ˈaːɪ̯	1.0
ˈi_j	ˈiː	1.0
ˈeː	ˈiː	1.0
ˈeu̯_ɣ	ˈiː	1.0
ˈe_ɣ	ˈɛː	1.0
ˈe_w	ˈiː	1.0
ˈe_l	ˈɛ_l	1.0
ˈe_k	ˈaː	1.0
ɸ_#>	#>	1.0
ɸ	f	1.0
ɣ_l	l	1.0
ɣ_j	ʤ	1.0
ɡʷ	-	1.0
ɛː	ə	1.0
ɔ̃ː	-	1.0
ɔːː	-	1.0
ɔːu̯	-	1.0
ɔː_#>	#>	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	ˈɪ_n	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ŋ	ŋ	1.0
z_#>	#>	1.0
u_n	n	1.0
tː	t	1.0
t_s	t	1.0
t	t	1.0
sː	r_s	1.0
s_ɔːː	r	1.0
s_w	s	1.0
s_k	ʃ	1.0
r_ɑ	ə	1.0
r_t	r_t	1.0
r_n	r_n	1.0
r_i	r	1.0
pː	-	1.0
nː	n	1.0
n_ˈɑ	n_ˈe	1.0
n_ɑ̃_#>	#>	1.0
n_s	s	1.0
n_i	n	1.0
n_d	n	1.0
mː	ˈu_m	1.0
m	m	1.0
l	l	1.0
k_i	k	1.0
jː	ɡ	1.0
i	-	1.0
d	d	1.0
b	b	1.0
<#_ˈɑu̯	<#_ˈiː	1.0
<#_ˈɑ	<#_ˈɛ	1.0
<#_x	<#	1.0
<#_w	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d	1.0
<#	<#_j	1.0
u	-	0.875
r	r	0.87
w	w	0.833
s	s	0.833
j	-	0.826
n	n	0.8
ɡ	-	0.778
p	p	0.769
ˈi	ˈɪ	0.75
k	k	0.75
iː	-	0.75
ˈiː	ˈəi̯	0.727
z	r	0.714
θ	θ	0.679
ð	d	0.667
e	ə	0.667
ˈɑi̯	ˈe	0.647
ˈeu̯	ˈi	0.6
x	h	0.6
ˈɑu̯	ˈi	0.583
xʷ	ʍ	0.571
ɣ	ɡ	0.56
ˈuː	ˈu	0.538
β	-	0.5
ˈɛː	ˈi	0.5
ˈɛː	-	0.5
ɑ	ə	0.5
ɑ	-	0.5
kʷ	kʰ	0.5
kʷ	k	0.5
ɔː	-	0.429
xʷ	-	0.429
ˈɔː	ˈø	0.353
ˈɔː	ˈi	0.353
e	ɛ	0.333
β	v	0.3
ɔː	ə	0.286
ɔː	r	0.286
z	-	0.286
ˈu	ˈo	0.282
ˈiː	-	0.273
ˈu	ˈɪ	0.256
ˈɑu̯	ˈiː	0.25
ˈi	-	0.25
iː	ɪ	0.25
ˈɑ	ˈa	0.243
ɣ	-	0.24
ˈuː	ˈuː	0.231
ˈuː	-	0.231
ˈu	ˈʌ	0.231
p	pʰ	0.231
ɡ	ə	0.222
ˈɑ	ˈɑː	0.216
ˈe	ˈɪ	0.208
β	f	0.2
ˈeu̯	ˈɪ	0.2
ˈeu̯	ˈiː	0.2
ˈɑ	ˈeː	0.189
θ	d	0.179
ˈɔː	ˈɪ	0.176
x	ç	0.175
ˈɑu̯	-	0.167
ð	ð	0.167
ð	-	0.167
w	-	0.167
k	-	0.15
θ	ð	0.143
ˈɑ	ˈɛ	0.135
ˈu	ˈu	0.128
ˈe	ˈʌ	0.125
ˈe	ˈɛ	0.125
ˈe	ˈi	0.125
ˈe	ˈa	0.125
ˈe	-	0.125
u	ə	0.125
ˈɔː	-	0.118
ˈɑi̯	ˈɛ	0.118
ˈɑi̯	ˈeː	0.118
ˈɑi̯	-	0.118
ˈɑ	ˈe	0.108
ˈu	-	0.103
x	-	0.1
n	ə_n	0.1
n	-	0.1
k	ʧ	0.1
s	-	0.093
j	ˈiː	0.087
j	j	0.087
ˈe	ˈiː	0.083
ˈe	ˈeː	0.083
ɣ	x	0.08
ɣ	j	0.08
x	x	0.075
s	z	0.074
r	ə_r	0.056
ˈɑ	ˈɪ	0.054
ˈɑ	ˈiː	0.054
