Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	j	1.0
ˈɛɪ̯	-	1.0
ˈɛ_l	ˈɛ_ð	1.0
ˈɔː	ˈɝ	1.0
ˈɔʏ̯	ˈi	1.0
ˈø	ˈɪ	1.0
ˈoː_ɐ	ˈɛ_ɚ	1.0
ˈiː_d	ˈaɪ̯_d	1.0
ˈiː_#>	ˈi_#>	1.0
ˈeɪ̯	-	1.0
ˈaʊ̯_x	ˈaɪ̯	1.0
ˈaʊ̯_d	ˈʌ_ð	1.0
ʒ	j	1.0
ɪ	i	1.0
ɡ_n	k	1.0
ɡ_l	ɫ	1.0
ç_#>	#>	1.0
z	s	1.0
x	-	1.0
v̥	f	1.0
tʰ	tʰ	1.0
r	ɹ	1.0
pʰ	pʰ	1.0
p	p	1.0
n_ˈoː	n_ˈeɪ̯	1.0
n_n	n	1.0
k	k	1.0
j	ɡ	1.0
i	i	1.0
h	h	1.0
d_ˈaʊ̯	d_ˈɛ	1.0
d_ˈaɪ̯	d_ˈi	1.0
d_n	ʔ	1.0
b_m	p	1.0
aɪ̯	t_i	1.0
#>	θ_#>	1.0
f	f	0.935
v	w	0.862
m	m	0.793
b	b	0.778
n	n	0.657
kʰ	kʰ	0.636
ˈɔ	ˈɑ	0.625
z̥_#>	s_#>	0.625
ŋ	ŋ	0.615
ˈuː	ˈaʊ̯	0.6
t	t	0.583
ɐ	ɚ	0.579
ˈʊ	ˈʌ	0.571
ˈʏ	ˈɪ	0.545
ʃ	ʃ	0.542
ˈœ	ˈɝ	0.5
ˈœ	ˈɛ	0.5
ˈyː	ˈɪ	0.5
ˈyː	ˈaɪ̯	0.5
ˈaː	ˈæ	0.5
ˈaː	-	0.5
ç	ʤ	0.5
ç	ʔ	0.5
s	s	0.5
l	l	0.478
ˈɪ	ˈɪ	0.464
ʃ	s	0.458
d	d	0.458
l	ɫ	0.457
ˈɛ	-	0.429
ˈøː	-	0.429
ˈoː	ˈi	0.389
ˈɔ	-	0.375
z̥_#>	#>	0.375
ˈiː	ˈaɪ̯	0.364
ˈeː	-	0.364
kʰ	ʧ	0.364
ɡ	ɡ	0.357
ɡ	k	0.357
ˈaɪ̯	ˈoʊ̯	0.3
ˈaɪ̯	ˈi	0.3
s	s_t	0.3
n	-	0.299
ˈɛ	ˈɛ	0.286
ˈɛ	ˈeɪ̯	0.286
ˈøː	ˈʌ	0.286
ˈøː	ˈoʊ̯	0.286
ˈʏ	ˈʌ	0.273
ˈiː	ˈʌɪ̯	0.273
ˈeː	ˈɛ	0.273
ˈa	ˈæ	0.273
t	ʔ	0.25
ŋ	-	0.231
ˈa	ˈɛə̯	0.227
d	θ	0.222
d	ʔ	0.222
b	p	0.222
ˈʊ	ˈʊ	0.214
ˈʊ	-	0.214
ˈɪ	ˈaɪ̯	0.214
ˈɪ	-	0.214
ˈaʊ̯	ˈi	0.208
m	v	0.207
ˈuː	ˈʌ	0.2
ˈuː	-	0.2
s	k_s	0.2
ɐ	ɹ	0.184
ˈʏ	ˈɛ	0.182
ˈiː	ˈi	0.182
ˈiː	-	0.182
ˈeː	ˈɪ	0.182
ˈeː	ˈi	0.182
ˈa	ˈeɪ̯	0.182
ˈa	-	0.182
ˈoː	ˈʌ	0.167
ˈoː	ˈɑ	0.167
ˈoː	-	0.167
ˈaʊ̯	ˈu	0.167
ˈaʊ̯	ˈoʊ̯	0.167
t	-	0.167
ŋ	ŋ_ɡ	0.154
ˈaɪ̯	ˈɛ	0.15
ˈaɪ̯	ˈaɪ̯	0.15
ɡ	ʧ	0.143
ˈa	ˈɑ	0.136
ˈaʊ̯	ˈɔ	0.125
ˈoː	ˈeɪ̯	0.111
ˈɪ	ˈʌɪ̯	0.107
ˈaɪ̯	-	0.1
ˈaʊ̯	ˈʊ	0.083
ˈaʊ̯	ˈɛ	0.083
ˈaʊ̯	ˈaʊ̯	0.083
ˈaʊ̯	-	0.083
ɐ	ˈɔ_ɹ	0.079
ɐ	d_ɚ	0.079
ɐ	-	0.079
ɡ	ʤ	0.071
ɡ	j	0.071
v	w_ˈɔ	0.069
v	v	0.069
l	ˈoʊ̯_ɫ	0.065
f	v	0.065
