Occitan	Italian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_t	<#_t	1.0
<#_u	<#_o	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈɔ	1.0
<#_ʤ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈe	<#	1.0
<#_ˈy	<#_ˈu	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a	a	1.0
a_l	a_l	1.0
a_ɾ	a_r	1.0
a_β	a_p	1.0
d	-	1.0
d_ɾ	e_r	1.0
e_l	e_l	1.0
e_n	e_n	1.0
e_ɣ	i_k	1.0
i	i	1.0
i_#>	o_#>	1.0
j_ɾ	d_r	1.0
k_#>	k_o_#>	1.0
k_ɔ	kː_a	1.0
l_s	l_s	1.0
l_ˈa	j_ˈa	1.0
m	m	1.0
p_#>	p_o	1.0
p_ˈa	p_ˈa	1.0
r	r	1.0
r_#>	r_n_o	1.0
r_k	r_k	1.0
r_t	r_t	1.0
s_#>	#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
t_ɾ	t_r	1.0
t_ˈa	t_ˈa	1.0
u	o	1.0
u_l	o_l	1.0
w_#>	e_#>	1.0
w_s	ʧː	1.0
y	u	1.0
ð	t	1.0
ŋ	ŋ	1.0
ɔ	-	1.0
ɔ_#>	a_#>	1.0
ɡ	w	1.0
ɣ_ˈu	ɡ_ˈo	1.0
ɥ_ˈɛ	ˈɔ	1.0
ɲ	ɲː	1.0
ɾ_ˈa	r_a	1.0
ɾ_ˈe	r_ˈe	1.0
ʎ	ʎː	1.0
ʧ	tː	1.0
ʧ_#>	o_#>	1.0
ˈa_#>	r_e	1.0
ˈa_j	ˈa	1.0
ˈa_l	ˈa_l	1.0
ˈa_n	ˈa_n	1.0
ˈa_t	ˈa_tː	1.0
ˈa_w	ˈɔ	1.0
ˈe_#>	ˈɛ_n	1.0
ˈe_j	ˈe	1.0
ˈe_k	ˈe_kː	1.0
ˈi_l	ˈi_lː	1.0
ˈu_n	w_ˈɔ	1.0
ˈu_t	ˈu_tː	1.0
ˈy	ˈu	1.0
ˈɔ_w	ˈɔ_v	1.0
ˈɛ_l	ˈɛ_lː	1.0
ˈɛ_r	ˈɛ_rː	1.0
β_l	bː_j	1.0
β_ɾ	p_r	1.0
l	ʎː	0.111
ɾ	l	0.061
ˈi	ˈi	0.781
ˈu	ˈo_n	0.1
ˈɔ	ˈo	0.1
ˈɛ	kː	0.061
ˈɛ	-	0.091
ˈɛ	j_ˈɛ	0.121
<#_s	<#_s	0.722
s	sː	0.312
t	tː	0.2
ɾ	e_r	0.212
ˈe	ˈi	0.192
ˈi	ˈu	0.062
ˈɛ	ˈe	0.152
β	p	0.2
#>	e_#>	0.43
e_#>	e_#>	0.533
l	j	0.333
n	n	0.923
t	d	0.133
t	-	0.133
t	t	0.533
ˈa	ˈa_r	0.263
ˈu	ˈu	0.133
ˈu	ˈo_r	0.133
ˈu	ˈo	0.633
β	b	0.3
<#_a	<#	0.444
e	e	0.444
j	-	0.444
j_ˈɛ	ˈɛ_tː	0.4
z	z	0.4
ɥ	ˈu	0.4
ʤ	ʤ	0.4
a_s	e	0.5
a_s	a_ʧː_ˈa	0.5
j_s	ʃː_e_r	0.5
j_s	ʃː	0.5
k	k	0.455
k	ɡ	0.545
l	lː	0.185
s	p	0.125
s	ʧ	0.125
w	l	0.25
w	v	0.25
w	-	0.5
ʦ_#>	ʦː_o_#>	0.375
ʦ_#>	ʧ_e	0.625
ˈu_l	ˈɔ_kː	0.5
ˈu_l	ˈo_l	0.5
β	v	0.5
<#_a	<#_a	0.556
e	i	0.556
j	j	0.556
j_ˈɛ	ˈɛ	0.6
z	d	0.6
ɥ	w	0.6
ʤ	j	0.6
ˈi	ˈi_r	0.156
ˈɛ	ˈɛ	0.576
#>	o_#>	0.527
e_#>	o_#>	0.467
l	l	0.37
n	nː	0.077
ɾ	r	0.727
ˈa	ˈa	0.737
<#_s	<#_ʧ	0.278
s	s	0.438
ˈe	ˈe	0.808
ˈɔ	ˈɔ	0.9
