Yiddish	Yiddish	probability
ˈɛ_n	n	1.0
ˈaɪ̯_ʦ	iə̯	1.0
ˈa_ʀ	ɾ	1.0
ˈa_ɫ	ˈu	1.0
ʧ	s	1.0
ʦ	t	1.0
ʃ_#>	s_#>	1.0
ɫ_#>	l_#>	1.0
ɪ_k	ç	1.0
ɪ	ɪ	1.0
ɡ_ʀ	ɦ_ɾ	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_ʀ	ɾ	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z_#>	z̥_#>	1.0
z	z	1.0
v_ˈɔ	ʋ	1.0
s_t	s_t	1.0
s	t	1.0
p	p	1.0
n_ə	n_d	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
b_#>	v̥_#>	1.0
<#_ʀ	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h	<#	1.0
n	n	0.952
v	ʋ	0.895
ʀ	ɾ	0.892
b	b	0.833
k	k	0.789
ɡ	ɦ	0.773
χ_#>	k_#>	0.714
f	v	0.714
ˈa	ˈɑ	0.692
χ	h	0.667
ɫ	l	0.625
ˈɔɪ̯	ˈoː	0.583
ʃ	s	0.5
d	d	0.474
ə	ə	0.471
ˈɛɪ̯	ˈɛː	0.462
#>	ɦ̥_#>	0.429
ˈʊ	ˈuə̯	0.423
d	d̥	0.421
ə	-	0.412
ˈɔ	ˈɒː	0.4
ˈaɪ̯	ˈi	0.389
ˈɪ	ˈɪ	0.364
t	d	0.364
t	d̥	0.341
χ	k_ə	0.333
ˈɛ	ˈæ	0.318
ˈɛ	ˈeː	0.318
ɫ	w	0.312
ˈɛɪ̯	ˈeː	0.308
ʃ	ʃ_h	0.3
t	t	0.295
ˈɔɪ̯	ˈyː	0.292
χ_#>	#>	0.286
#>	ʋ_ə_#>	0.286
#>	d̥_#>	0.286
ˈaɪ̯	ˈiə̯	0.278
ˈɪ	ˈiə̯	0.242
ˈɛɪ̯	-	0.231
f	p	0.229
ˈaɪ̯	-	0.222
k	-	0.211
ˈɔ	ˈɔ	0.2
ʃ	z	0.2
ˈa	ˈɒː	0.192
ˈɛ	-	0.182
b	-	0.167
ˈɔ	ˈɑ	0.16
ˈʊ	ˈɔ	0.154
ˈʊ	ˈu	0.154
ɡ	k	0.136
ˈɔɪ̯	-	0.125
ˈɪ	ˈuə̯	0.121
ˈɔ	ˈoː	0.12
ˈɔ	-	0.12
ə	ɾ	0.118
ˈʊ	ˈoː	0.115
ˈa	-	0.115
ˈaɪ̯	ˈyː	0.111
v	-	0.105
d	-	0.105
ˈɪ	ˈɛ	0.091
ˈɪ	ˈœ	0.091
ˈɪ	ˈæ	0.091
ˈɛ	ˈɒː	0.091
ˈɛ	ˈiə̯	0.091
ɡ	-	0.091
ˈʊ	ˈœ	0.077
ˈʊ	ˈøː	0.077
ɫ	ˈu	0.062
f	v_ˈøː	0.057
ʀ	ˈæ	0.054
ʀ	ə	0.054
