Québécois French	Québécois French	probability
ʣ	ʣ	1.0
ʏ	-	1.0
ɲ	ɲ	1.0
ɥ	o̯ˈa_p	1.0
ɛ_#>	#>	1.0
æɛ̯_d	a_ʤ	1.0
z	-	1.0
y	ˈu	1.0
w_ɛ_#>	ˈi_#>	1.0
w_ɛ	e̯ˈa	1.0
v_w	t	1.0
t	t	1.0
o	ˈo_s	1.0
l_a	ʎ	1.0
j_ɛ	ˈe	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_e	<#_s	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
p	p	0.812
ʁ	r	0.791
m	m	0.769
k	k	0.737
ʃ	k	0.714
<#	<#_a	0.714
ɪ	ˈi	0.7
ɡ	ɡ	0.667
øʏ̯	ˈo_k	0.667
l_#>	r_#>	0.667
#>	i_#>	0.615
ɑɔ̯	ˈo	0.6
u	ˈu	0.571
i	ˈi	0.571
l	l	0.5
f	f	0.5
ẽɪ̯̃	ˈɨ_n	0.5
ẽɪ̯̃	ˈi_n	0.5
e	ˈa_r	0.5
d	ʣ	0.5
d	n_i	0.5
a	ˈa	0.5
n	n_ə	0.471
ɔ	-	0.444
j	-	0.429
ʒ	ʣ	0.417
n	n	0.412
ɒ̃ʊ̯̃	ˈu	0.4
ɑɔ̯	u	0.4
œ	ˈo	0.375
oʊ̯	ˈa_l	0.375
oʊ̯	l	0.375
s	s	0.364
æɛ̯	ˈa	0.346
ʒ	-	0.333
ɡ	-	0.333
ɔ	u	0.333
øʏ̯	o̯ˈa	0.333
w	e̯ˈa	0.333
w	-	0.333
s	ʦ	0.333
l_#>	#>	0.333
v	v	0.316
v	j	0.316
œ	i	0.312
œ	-	0.312
ɪ	ˈa	0.3
ɒ̃ʊ̯̃	ˈu_n	0.3
ɒ̃ʊ̯̃	-	0.3
a	ə	0.3
ʃ	k_ə	0.286
u	u	0.286
i	-	0.286
<#	<#_t	0.286
ɛ	ˈe	0.261
ɛ	e̯ˈa	0.261
ʒ	ʤ	0.25
oʊ̯	ˈa	0.25
l	ʎ	0.25
l	r	0.25
ã	n_t	0.25
ã	n	0.25
#>	ə_#>	0.25
m	ɲ	0.231
ɔ	ˈu	0.222
j	ʎ	0.214
j	k_ʎ	0.214
s	ʃ	0.212
f	ç	0.2
f	w	0.2
a	e̯ˈa	0.2
æɛ̯	e̯ˈa	0.192
p	-	0.188
e	ˈa	0.188
e	r	0.188
w	i_d	0.167
w	i	0.167
ã	ˈi_m	0.167
ã	ˈi	0.167
ã	ɨ_n	0.167
v	p	0.158
k	ʦ	0.158
u	ˈo_j	0.143
j	k	0.143
i	i	0.143
ɛ	ˈa	0.13
e	-	0.125
n	-	0.118
æɛ̯	ˈɨ	0.115
æɛ̯	-	0.115
v	j_i	0.105
v	-	0.105
k	-	0.105
ʁ	i_r	0.104
f	-	0.1
s	-	0.091
ɛ	ˈi	0.087
ɛ	ˈa_p	0.087
ɛ	r	0.087
ɛ	i	0.087
æɛ̯	ˈe	0.077
æɛ̯	ˈa_t	0.077
æɛ̯	t_ˈi	0.077
ʁ	ə	0.06
