Yiddish	Yiddish	probability
χ_t	d̥	1.0
χ_#>	#>	1.0
ˈɪ_χ	ˈɑ_j	1.0
ˈɪ_n	ˈiˀ	1.0
ˈɔ_z	ˈɑː	1.0
ˈaɪ̯_ə	ˈyˀ	1.0
ˈa_ʀ	ɐ	1.0
ʧ	s_ɡ̊	1.0
ʦ_v	ʦʰ	1.0
ʦ_#>	d̥_#>	1.0
ʀ_ˈɛ	ˈɒː	1.0
ʀ_ˈaɪ̯	ʁ_ˈɑ	1.0
ʀ_#>	#>	1.0
ɫ_d	lˀ	1.0
ɫ_b	lˀ	1.0
ɫ_#>	l_#>	1.0
ɪ	e	1.0
ɡ_#>	#>	1.0
ɛ	-	1.0
ə_ʀ	ɐ	1.0
ə_n	ə	1.0
ŋ_ɡ	ŋˀ	1.0
z_#>	s_#>	1.0
z	s	1.0
v_ˈɔ	ˈu	1.0
t_#>	#>	1.0
s_t	s_d̥	1.0
s_n	ð̞ˠ_ə	1.0
s	ð̞ˠ	1.0
p	b̥	1.0
n_t	nˀ	1.0
n_d	n	1.0
n_#>	#>	1.0
j	-	1.0
h	h	1.0
f_n	b̥_ə	1.0
a	ə	1.0
<#_ˈɛɪ̯	<#_ˈeˀ	1.0
<#_ʀ	<#_ʁ	1.0
<#_ɫ	<#_l	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_v_ˈɔ	<#_ˈo	1.0
<#_v	<#	1.0
<#_t	<#_d̥	1.0
<#_n	<#_n	1.0
<#_h	<#_j	1.0
<#_d	<#_ʦʰ	1.0
v	ʋ	0.941
m	m	0.9
d	-	0.9
f	f	0.857
#>	ə_#>	0.833
b	b̥	0.75
ʦ	ʦʰ	0.714
k	kʰ	0.667
ʃ	s	0.609
ɫ	l	0.6
ə	-	0.6
ŋ	ŋ	0.6
f_#>	b̥_#>	0.571
ˈɛɪ̯	ˈeˀ	0.545
ˈaɪ̯	ˈiˀ	0.545
t	ð̞ˠ	0.517
n	n	0.512
ˈɛɪ̯	-	0.455
χ	ɡ̊	0.444
ˈa	ˈæ	0.433
f_#>	#>	0.429
ɡ	ə	0.417
ʀ	ʁ	0.412
ɫ	lˀ	0.4
ə	ə	0.4
ŋ	-	0.4
ʃ	s_ɡ̊	0.391
ˈɔɪ̯	ˈuˀ	0.364
χ	j	0.333
k	ɡ̊	0.333
ˈɪ	ˈe	0.306
ˈʊ	ˈu	0.304
ˈʊ	ˈoˀ	0.304
ˈɔ	-	0.304
ʀ	ɐ	0.294
ˈɛ	-	0.29
ʦ	d̥_ə	0.286
n	ə	0.279
t	d̥	0.276
ˈaɪ̯	ˈiː	0.273
ɡ	j	0.25
b	w	0.25
ʀ	ɐˀ	0.235
χ	w	0.222
ˈa	ˈɑ	0.2
ˈɛ	ˈe	0.194
ˈaɪ̯	-	0.182
ˈʊ	-	0.174
ɡ	jˀ	0.167
ɡ	-	0.167
#>	ɐ_#>	0.167
n	nˀ	0.163
ˈɛ	ˈɛ	0.161
ˈɪ	ˈø	0.139
ˈɪ	-	0.139
ˈɔɪ̯	ˈœˀ	0.136
ˈɔɪ̯	ˈøː	0.136
ˈʊ	ˈʌ	0.13
ˈɔ	ˈɔˀ	0.13
ˈɔ	ˈɒˀ	0.13
ˈɛ	ˈeˀ	0.129
ˈa	ˈʌ	0.1
m	mˀ	0.1
d	ʨ	0.1
ˈɛ	j	0.097
f	ʋ	0.095
ˈɔɪ̯	ˈʌˀ	0.091
ˈɔɪ̯	ˈɔ	0.091
ˈɔɪ̯	ˈøˀ	0.091
ˈɔɪ̯	-	0.091
ˈʊ	ˈœ	0.087
ˈɔ	ˈɛ	0.087
ˈɔ	ˈɔː	0.087
ˈɔ	ˈœ	0.087
ˈɔ	ˈæ	0.087
ˈɔ	ˈu	0.087
ˈɪ	ˈyː	0.083
ˈɪ	ˈyˀ	0.083
ˈɪ	ˈi	0.083
t	ʦʰ	0.069
t	s	0.069
t	-	0.069
ˈa	ˈɛː	0.067
ˈa	ˈɛ	0.067
ˈa	ˈɔˀ	0.067
ˈa	-	0.067
ˈɛ	ˈɑ	0.065
ˈɛ	ˈeː	0.065
ʀ	-	0.059
v	wˀ	0.059
ˈɪ	ˈɛ	0.056
ˈɪ	ˈœ	0.056
ˈɪ	ˈiː	0.056
