Corsican	Corsican	probability
ˈɛ_n	ˈɛ̃	1.0
ˈɔ_n	ˈɔ̃	1.0
ˈɔ_k	w_ˈa	1.0
ˈɔ_j	ˈo	1.0
ˈo_p	ˈy	1.0
ˈi_n	ˈĩ	1.0
ˈa_ŋ	ˈɑ̃	1.0
ˈa_tː	ˈa	1.0
ˈa_t	ˈaː_ð	1.0
ˈa_n	ˈɑ̃	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	s	1.0
ʦ	s	1.0
ʤ_i	ɛ̃	1.0
ʤ	-	1.0
ʎ	ʎ	1.0
ʃː	-	1.0
ʃ	-	1.0
ɲ_u	ˈɛ̃	1.0
ɲ	ɲ	1.0
ŋ	-	1.0
z	-	1.0
v_ˈa	v_ˈa	1.0
v_e	f	1.0
t_a	a	1.0
sː	-	1.0
s_ˈo	s	1.0
s_t	t	1.0
rː	-	1.0
r_t	ʁ	1.0
r_e	ə	1.0
r_a	ʁ_a	1.0
p_u_#>	#>	1.0
p_e	v	1.0
nː	-	1.0
mː	m	1.0
k_u	ˈe	1.0
k_r	k_ʁ	1.0
k_a	ʃ_ə	1.0
fː	-	1.0
f	f	1.0
dː	-	1.0
b	b	1.0
a_s	ɑː	1.0
a_n	ɑ̃	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈa	<#_ˈaː	1.0
<#_ɟ	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
u_#>	#>	0.958
e_#>	#>	0.897
p	p	0.879
v	v	0.852
m	m	0.812
i	-	0.789
r	ʁ	0.783
lː	l	0.778
l	l	0.765
s	s	0.76
ʧ	s	0.727
c	ʎ	0.714
ɡ	ɡ	0.7
n	n	0.696
a	a	0.682
ˈa_l	ˈoː	0.667
ʦː	-	0.667
w	-	0.667
tː	-	0.556
u	o	0.538
t	-	0.517
ˈo_n	ˈɔ̃	0.5
ˈo_n	j_ˈɔ̃	0.5
ʧ_e	ˈe_ʃ	0.5
ʧ_e	ʃ	0.5
ɟ	-	0.5
r_n	ʁ_n	0.5
r_n	ʁ	0.5
kː	ʃ	0.5
kː	t	0.5
e	-	0.5
d	d	0.5
d	-	0.5
ˈi	ˈi	0.474
k	k	0.459
tː	t	0.444
ˈa	ˈa	0.436
j	l	0.429
j	-	0.429
t	t	0.414
ˈɛ	ˈɛː	0.405
ˈo	w	0.385
u	-	0.385
ˈa_l	ˈɑː	0.333
ʦː	ʦ	0.333
w	w	0.333
k	ʃ	0.324
ɡ	-	0.3
ˈu	w	0.294
ˈu	-	0.294
ˈe	ˈe	0.292
c	k	0.286
ʧ	z	0.273
#>	ˈɛ_#>	0.273
ˈi	ˈe	0.263
ˈi	-	0.263
ɟ	ʒ	0.25
ɟ	ð	0.25
ˈɛ	ˈɛ	0.243
s	e	0.24
ˈu	ˈu	0.235
l	-	0.235
ˈo	ˈoː	0.231
ˈo	-	0.231
lː	-	0.222
a	ə	0.212
i	ə	0.211
ˈe	ˈɛ	0.208
ˈɔ	ˈoː	0.205
m	-	0.188
#>	ˈɛː_#>	0.182
#>	ˈe_#>	0.182
#>	ˈa_#>	0.182
#>	ʃ_#>	0.182
e	ə	0.179
ˈu	ˈo	0.176
k	-	0.162
ˈɔ	ˈɔ	0.159
ˈɔ	w	0.159
ˈo	w_ˈe	0.154
r	ð	0.152
v	-	0.148
j	ʃ	0.143
e	ˈe	0.143
ˈɔ	ˈø	0.136
ˈɔ	ˈu	0.136
ˈɛ	ˈe	0.135
n	ˈɛ̃	0.13
ˈe	ˈi	0.125
ˈe	j	0.125
p	v	0.121
e	ʁ_ə	0.107
ˈa	ˈe	0.103
e_#>	ˈi_#>	0.103
n	ˈĩ	0.087
n	j_ˈɔ̃	0.087
ˈe	ˈɛː	0.083
ˈe	j_ˈe	0.083
ˈe	-	0.083
ˈɛ	ˈi	0.081
ˈɛ	-	0.081
ˈa	ˈɑ̃	0.077
ˈa	ˈɑː	0.077
ˈa	ˈaː	0.077
ˈa	j	0.077
u	ɔ	0.077
e	ɛ	0.071
t	ð	0.069
ˈɔ	ˈo	0.068
r	-	0.065
a	-	0.061
ˈɛ	ˈɛ̃	0.054
k	j	0.054
ˈa	ˈɛː	0.051
ˈa	j_ˈe	0.051
ˈa	-	0.051
