Italian	Brazilian Portuguese	probability
ˈɛ_n	ˈẽ	1.0
ˈu_tː	ˈo_d	1.0
ˈu_n	ˈũ	1.0
ˈo_n	ˈõ	1.0
ˈo_l	ˈo	1.0
ˈo_j	ˈɔ_j	1.0
ˈi_ŋ	ˈĩ	1.0
ˈi_o	ˈe_w	1.0
ˈi_n	ˈĩ_j̃	1.0
ˈi_k	ˈi_ɡ	1.0
ˈe_n	ˈĩ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_n	ˈɐ̃	1.0
ʧː	s	1.0
ʦː	s	1.0
ʤː	-	1.0
ʣː	j	1.0
ʎː	ʎ	1.0
ɲː	j̃	1.0
ɡ	ɡ	1.0
ŋ_ɡ	j̃	1.0
ŋ	-	1.0
w_ˈɔ	ˈo	1.0
w_ˈa	w_ˈa	1.0
v_ˈa	v_ˈa	1.0
v_i	v_i	1.0
u	-	1.0
sː_o	ʃ_u	1.0
sː	s	1.0
s_t	ʃ_t	1.0
rː	h	1.0
r_n	ɦ_n	1.0
r_k	h_k	1.0
r_e	h	1.0
r_a	ɾ_ɐ	1.0
pː	j_b	1.0
p_j	ʃ	1.0
p_e	b	1.0
o_r	o_h	1.0
o_m	ũ	1.0
nː	n	1.0
n_o	w̃	1.0
n_e	w̃	1.0
mː	m	1.0
lː	l	1.0
l_ˈa	ˈa	1.0
l_s	w_s	1.0
kː_j	ʎ	1.0
kː	k	1.0
k_w	k	1.0
k_j	ʃ	1.0
k_a	k	1.0
j_ˈɛ	ˈɛ	1.0
i_k	e_ɡ	1.0
fː	f	1.0
f_j	ʃ	1.0
f	f	1.0
e_r	ˈe	1.0
dː	-	1.0
b_a	v_ɐ	1.0
a_j	a_ʒ	1.0
m	m	0.925
v	v	0.908
o	u	0.892
s	s	0.879
k	k	0.873
b	b	0.804
ʤ	ʒ	0.782
p	p	0.742
a	ɐ	0.723
ˈe	ˈe	0.707
r	ɾ	0.663
r_o	ɾ_u	0.654
ʧ_e	j_ʃ	0.609
ʧ	-	0.606
d	-	0.606
z	z	0.585
n	-	0.544
ˈa	ˈa	0.543
n_a	ɐ	0.541
ˈi	ˈi	0.539
ʃː	ʃ	0.5
ʃː	s	0.5
ˈu	ˈu	0.489
ˈɛ	ˈɛ	0.47
n_a	j_ɐ	0.459
l	-	0.447
w	w	0.443
z	-	0.415
tː	t	0.411
t	d	0.41
l	w	0.4
i	i	0.399
ˈɛ	ˈe	0.394
ʧ	s	0.394
ʧ_e	ʃ	0.391
ˈo	ˈo	0.378
e	i	0.377
j	-	0.364
t	t	0.349
ˈa	ˈɐ̃	0.345
tː	ʧ	0.34
j	ɾ	0.33
i	e	0.33
ˈɔ	ˈɔ	0.311
j	j	0.306
ˈu	ˈũ	0.28
w	ˈõ	0.28
w	-	0.276
ˈɔ	-	0.258
p	b	0.258
ˈɔ	ˈo	0.249
a	a	0.249
tː	j_t	0.248
ˈi	ˈĩ	0.243
t	ʧ	0.241
n	n	0.235
n	j̃	0.221
ʤ	-	0.218
d	d	0.199
r_o	ɾ	0.198
r	ɦ	0.197
b	v	0.196
d	ʤ	0.195
e	-	0.194
ˈo	ˈɔ	0.191
ˈe	ˈẽ	0.191
ˈi	ˈe	0.167
i	u	0.165
ˈu	ˈõ	0.163
ˈo	ˈɐ̃	0.152
l	l	0.152
r_o	u	0.149
ˈɛ	ˈẽ	0.135
ˈo	ˈõ	0.129
e	e	0.129
k	ɡ	0.127
s	e_ʃ	0.121
e	h	0.121
ˈo	ˈu	0.114
i	u_ʃ	0.107
v	-	0.092
r	h	0.077
m	-	0.075
ˈɔ	ˈõ	0.073
ˈu	ˈo	0.068
ˈe	ˈi	0.063
r	-	0.063
o	o	0.063
ˈɔ	ˈo_j	0.057
ˈɔ	ˈo_w	0.053
ˈa	a	0.053
ˈi	e	0.051
