Danish	Danish	probability
ˈʌˀ	ˈɔɪ̯	1.0
ˈɛː	ˈa	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈɔ	1.0
ˈɔ	ˈɔɪ̯	1.0
ˈɒː	ʀ_ˈɛ	1.0
ˈɒˀ	ˈɔ	1.0
ˈɑˀ_j	ɡ	1.0
ˈɑ_j	ˈɪ_χ	1.0
ˈøː	ˈɔɪ̯	1.0
ˈø	ˈɪ	1.0
ˈæˀ	ˈɔ	1.0
ˈyː	ˈɪ	1.0
ˈy	-	1.0
ˈuː	ˈɔɪ̯	1.0
ˈoː	-	1.0
ˈoˀ	ˈʊ	1.0
ˈi	ˈɪ	1.0
ˈeː	ˈɛ	1.0
ʨ	d	1.0
ʁ	ʀ	1.0
ɐˀ	ʀ	1.0
ŋˀ	ŋ_ɡ	1.0
ŋ	ŋ	1.0
ð̞ˠ_ə_#>	t_#>	1.0
ð̞ˠ_ə	s_n	1.0
ð̞ˠ_#>	t_#>	1.0
ð̞ˠ	s	1.0
s_d̥	s_t	1.0
s_#>	z_#>	1.0
pʰ	f	1.0
mˀ	m	1.0
m	m	1.0
l_#>	ɫ_#>	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
e	ɪ	1.0
d̥_ə	ʦ	1.0
b̥_ə	f_n	1.0
b̥_#>	f_#>	1.0
<#_ʦʰ	<#_d	1.0
<#_ʁ	<#_ʀ	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_d̥	<#_t	1.0
ʋ	v	0.882
b̥	b	0.875
l	ɫ	0.857
ˈæ	ˈa	0.812
ˈuˀ	ˈɔɪ̯	0.8
n	n	0.8
s_ɡ̊	ʃ	0.778
ˈiˀ	ˈaɪ̯	0.75
ʦʰ	ʦ	0.75
ˈeˀ	ˈɛɪ̯	0.667
ˈe	ˈɪ	0.647
ˈu	ˈʊ	0.636
ˈɔˀ	ˈɔ	0.6
ˈœˀ	ˈɔɪ̯	0.6
ˈøˀ	-	0.6
ˈyˀ	ˈɪ	0.6
ˈo	-	0.6
lˀ	ɫ	0.571
ˈɑ	ˈa	0.556
nˀ	n	0.538
d̥	t	0.5
ɐ	ʀ	0.467
ɐ	ə_ʀ	0.467
ˈɛ	-	0.462
ɡ̊	k	0.455
s	ʃ	0.444
s	z	0.444
ˈiː	ˈaɪ̯	0.429
ˈɔˀ	ˈa	0.4
ˈœˀ	-	0.4
ˈøˀ	ˈɔɪ̯	0.4
ˈyˀ	ˈaɪ̯_ə	0.4
ˈo	v_ˈɔ	0.4
ˈɛ	ˈɛ	0.385
ɡ̊	χ	0.364
ˈe	ˈɛ	0.353
#>	ʀ_#>	0.35
ˈʌ	ˈʊ	0.333
ˈʌ	ˈa	0.333
ˈʌ	-	0.333
ˈœ	ˈʊ	0.333
ˈœ	ˈɪ	0.333
ˈœ	ˈɔ	0.333
ˈeˀ	ˈɛ	0.333
w	b	0.333
<#	<#_ɫ	0.333
<#	<#_v	0.333
<#	<#_j	0.333
d̥	χ_t	0.312
nˀ	n_t	0.308
ˈiː	ˈɪ	0.286
ˈiː	-	0.286
j	χ	0.273
j	h	0.273
j	-	0.273
ˈiˀ	ˈɪ_n	0.25
ʦʰ	t	0.25
ə	n	0.25
ə	-	0.25
#>	n_#>	0.25
ə	ə_n	0.225
ˈɑ	ˈɛ	0.222
ˈɑ	ˈaɪ̯	0.222
w	χ	0.222
w	b_ə	0.222
w	-	0.222
s_ɡ̊	ʧ	0.222
lˀ	ɫ_d	0.214
lˀ	ɫ_b	0.214
ˈuˀ	-	0.2
ˈæ	ˈɔ	0.188
d̥	ʦ	0.188
ˈu	ˈɔ	0.182
ˈu	v_ˈɔ	0.182
ɡ̊	ʃ	0.182
j	ˈɛ	0.182
ˈɛ	ˈɔ	0.154
nˀ	-	0.154
#>	t_#>	0.15
#>	f_#>	0.15
l	ˈaɪ̯	0.143
n	n_d	0.133
b̥	p	0.125
ʋ	f	0.118
ə	ə	0.1
#>	χ_#>	0.1
ə	ɡ_n	0.075
ə	ɡ	0.075
ɐ	-	0.067
n	-	0.067
s	t	0.056
s	-	0.056
