Mecklenburgisch-Vorpommersch	West Flemish	probability
ˈʏ_n	n	1.0
ˈɔ_l	ˈu	1.0
ˈɔ	ˈɔ	1.0
ˈœː	ˈøː	1.0
ˈœ	-	1.0
ˈeː	-	1.0
ʃ_w	z_ʋ	1.0
ɾ_æ	ɾ	1.0
ɾ	d	1.0
ɪ	-	1.0
ɣ̊	ɦ̥	1.0
ɡ	ɦ	1.0
z̥	z̥	1.0
z	z	1.0
x	h	1.0
v̥	v̥	1.0
v	ʋ	1.0
t	t	1.0
s	s	1.0
p	p	1.0
nː	d_n	1.0
kʰ	k	1.0
k	k	1.0
f_#>	v_ə_#>	1.0
f	v	1.0
d	d	1.0
<#_tʰ	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_h_ˈʊ	<#_ˈu	1.0
#>	k_#>	1.0
n	n	0.964
d̥	d̥	0.926
b	b	0.889
r	ɾ	0.882
ˈa	ˈɑ	0.87
m	m	0.87
ˈɒː	ˈɒː	0.857
ŋ	ŋ	0.833
<#_h	<#	0.833
ˈɛ	ˈæ	0.778
æ	ɾ	0.778
l	l	0.763
ˈɛː	ˈeː	0.75
ˈɔʏ̯	ˈuə̯	0.714
ˈɪ	ˈɪ	0.7
ʃ	s	0.682
ˈaː	ˈæ_ɾ	0.667
ˈiː	ˈi	0.625
ˈaʊ̯	ˈuə̯	0.611
ˈyː	ˈiə̯	0.6
ˈʊ	-	0.571
ˈuː	ˈyː	0.529
ˈʏ	ˈœ	0.5
ˈoː	ˈɒː	0.5
ˈoː	-	0.5
j	ɦ	0.5
j	j	0.5
ˈae̯	ˈiə̯	0.476
ˈʊ	ˈu	0.429
ç	ɦ̥	0.417
ˈyː	-	0.4
ˈaʊ̯	ˈoː	0.389
ˈae̯	ˈɛː	0.381
ˈiː	-	0.375
ˈuː	ˈoː	0.353
ˈaː	ˈɒː	0.333
ʃ	ʃ_h	0.318
ˈɔʏ̯	-	0.286
ˈʏ	ˈɪ	0.25
ˈʏ	-	0.25
ˈɛː	-	0.25
ç	ɦ_ə	0.25
l	w	0.237
ˈɛ	ˈeː	0.222
ˈɪ	ˈɛ	0.2
ŋ	ɦ_n	0.167
ç	ə	0.167
ç	k	0.167
<#_h	<#_ˈoː	0.167
æ	ɾ_ə	0.148
ˈɒː	ˈoː	0.143
ˈae̯	ˈeː	0.143
ˈa	-	0.13
m	v_n	0.13
ˈuː	-	0.118
r	ɾ_ˈiə̯	0.118
b	-	0.111
ˈɪ	-	0.1
æ	d_ə	0.074
d̥	-	0.074
