Polish	Proto-Slavic	probability
ˈɛ_ɲ	ẽ̂ː	1.0
ˈɛ_w̃	ẽ	1.0
ˈɔ_d	o_d	1.0
ʦ	ʦ	1.0
ʥ	d	1.0
ʑ	z	1.0
ʈ͡ʂ	ʧ	1.0
ɲ	n	1.0
ɡ	ɡ	1.0
ɛ_ɲ	ẽ	1.0
ɛ_m	m_ĭ	1.0
ɕ	s	1.0
w_ɨ	l_ŭ	1.0
v	v	1.0
t_ɔ	t_o	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r_ˈɔ	r	1.0
r	r	1.0
m	m	1.0
l	l	1.0
j_ˈɛ	ĭ	1.0
f	v	1.0
d	d	1.0
b	b	1.0
<#_ʨ	<#_t	1.0
<#_v	<#_v	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
ɔ	o	0.846
k	k	0.842
t	t	0.812
x	x	0.778
w	l	0.778
p	p	0.778
j	-	0.733
z	z	0.714
n	n	0.714
ɛ	e	0.7
a	ǎ	0.65
ˈi	i	0.6
ʨ	t_ĭ	0.6
ʂ	ʒ_ĭ	0.6
<#	<#_s	0.6
ɨ	ŭ	0.591
i	j	0.556
#>	ĭ_#>	0.545
w_ˈɔ	ôː_l	0.5
w_ˈɔ	l	0.5
j_ˈa	ɛː	0.5
j_ˈa	ɛˀ	0.5
ʐ	ʒ	0.444
i	ŭ	0.444
ɨ	j	0.409
#>	ŭ_#>	0.409
ˈɛ	-	0.4
ˈi	ǐ	0.4
ʨ	t_i	0.4
ʂ	ĭ	0.4
<#	<#_ô	0.4
ˈu	-	0.364
ʐ	r	0.333
ɛ	-	0.3
ˈa	ɛ̂ː	0.286
z	ŭ	0.286
n	n_ŭ	0.286
ˈɔ	ô	0.28
ˈu	ûː	0.273
j	e	0.267
a	a	0.25
ʐ	r_ɛː	0.222
x	x_ŭ	0.222
w	l_ŭ	0.222
p	b	0.222
ˈɔ	-	0.2
t	d_ŭ	0.188
ˈu	ǔː	0.182
ˈu	ô	0.182
ˈɔ	ǒ	0.16
ˈɔ	o	0.16
k	ɡ_ŭ	0.158
ɔ	-	0.154
ˈa	ɛ̌ː	0.143
ˈa	ɛ̌	0.143
ˈa	ĭ̌ː	0.143
ˈa	ĭ̌	0.143
ˈa	aˀ	0.143
ˈɔ	e	0.12
ˈɛ	ŭ̂	0.1
ˈɛ	ĭ̌	0.1
ˈɛ	ĭˀ	0.1
ˈɛ	ě	0.1
ˈɛ	ê	0.1
ˈɛ	e	0.1
a	aˀ	0.1
ˈɔ	ě	0.08
