Palatine German	Palatine German	probability
β_ə	v	1.0
ˈɛ̃ː	ˈəʊ̯	1.0
ˈɛ_ɐ	ˈɑː	1.0
ˈɑ̃ː	-	1.0
ˈɑ̃ɪ̯	ˈaɪ̯_n	1.0
ˈɑːɪ̯	ˈe_ɡ	1.0
ˈɑː_ɐ	ˈɑː	1.0
ˈɑː_d̥	ˈɑː_θ	1.0
ˈɑ_x	ˈaɪ̯	1.0
ˈɑ_l	ˈɑː	1.0
ˈõː	ˈɐ_n	1.0
ˈo	ˈiː	1.0
ˈĩː	ˈiː_n	1.0
ˈi	ˈaɪ̯	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈau̯̯	ˈaɪ̯	1.0
ʃ_β	s	1.0
ʃ_#>	#>	1.0
ɪ_ʃ	ɪ	1.0
ɡ̊_ə	k	1.0
ɡ̊_#>	#>	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
x_d̥	t	1.0
s_ə	t	1.0
r_ˈaɪ̯	ɜː	1.0
r_ə	d	1.0
pʰ	pʰ	1.0
n_s	s	1.0
n_#>	#>	1.0
j_ə_#>	#>	1.0
j	j	1.0
h	h	1.0
f_ə	p	1.0
f_#>	#>	1.0
eː	ˈiː_n	1.0
b̥_#>	f_#>	1.0
<#_ˈɛ	<#	1.0
<#_ˈɑ	<#_ˈeɪ̯	1.0
m	m	0.931
b̥	b	0.905
n	n	0.9
ə	-	0.875
β	w	0.871
f	f	0.788
ˈaɪ̯	ˈaɪ̯	0.765
r	ɹ	0.759
ˈu	ˈɐ	0.75
ʃ_d̥	s_t	0.733
ˈau̯	ˈaʊ̯	0.727
kʰ	kʰ	0.727
x	k	0.714
d̥	d	0.661
ˈɪ	ˈɪ	0.656
s	s	0.622
n_ə	n	0.6
ɐ	ə	0.575
l	l	0.574
ʣ̥	tʰ	0.562
ɡ̊	ɡ	0.522
ˈɔ_ɐ	ˈɜː	0.5
ˈɔ_ɐ	ˈɔː	0.5
ˈɔ	-	0.5
ʃ	ʃ	0.5
ˈeː	ˈəʊ̯	0.455
ˈɛ	ˈe	0.45
ʣ̥	t	0.438
l	ɫ	0.426
ˈɛː	-	0.4
n_ə	n_d	0.4
ˈɑ	ˈæ	0.391
ˈiː	ˈiː	0.389
ˈɑː	ˈeɪ̯	0.375
ˈeː	ˈiː	0.364
ˈɑː	ˈiː	0.312
ˈɑː	-	0.312
s	t	0.311
ˈɔ	ˈʊ	0.3
ʃ	s	0.292
x	-	0.286
ˈuː	-	0.273
ˈau̯	ˈɐ	0.273
kʰ	ʧ	0.273
ˈɛː	ˈəʊ̯	0.267
ˈoː	ˈe	0.267
ʃ_d̥	t	0.267
d̥	θ	0.254
ˈu	-	0.25
ˈaɪ̯	-	0.235
ˈiː	ˈɪ	0.222
ˈɪ	ˈaɪ̯	0.219
ɡ̊	k	0.217
f	p	0.212
ʃ	k	0.208
ˈɛː	ˈe	0.2
ˈɛ	ˈɪ	0.2
ˈɛ	-	0.2
ˈɔ	ˈɒ	0.2
ˈoː	ˈɐ	0.2
ˈoː	ˈiː	0.2
ˈoː	-	0.2
ˈuː	ˈɐ	0.182
ˈuː	ˈuː	0.182
ˈuː	ˈiː	0.182
ˈuː	ˈaʊ̯	0.182
ˈeː	ˈɪ	0.182
ɡ̊	ʤ	0.174
r	ð	0.172
ˈiː	ˈaɪ̯	0.167
ˈɛ	ˈæ	0.15
ɐ	ˈɔː	0.15
ˈɛː	ˈeɪ̯	0.133
ˈoː	ˈɪ	0.133
ˈɑ	ˈɒ	0.13
ˈɑ	ˈe	0.13
β	v	0.129
ə	ə_n	0.125
ˈiː	w_ˈiː	0.111
ˈiː	-	0.111
ɐ	-	0.1
n	-	0.1
b̥	-	0.095
ˈɑ	ˈəʊ̯	0.087
ˈɑ	ˈɔː	0.087
ˈɑ	ˈeɪ̯	0.087
ˈɑ	-	0.087
ɡ̊	j	0.087
ɐ	d_ə	0.075
r	-	0.069
m	-	0.069
s	z	0.067
ˈɪ	ˈe	0.062
ˈɪ	-	0.062
d̥	t	0.051
