Yiddish	Yiddish	probability
ˈɛɪ̯_n	ˈeː	1.0
ˈɛɪ̯	ˈoɐ̯	1.0
ˈa_ʀ	ˈe_ɐ	1.0
ʧ	ʃ	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɫ_t	j_d̥	1.0
ɪ_k	ɡ̊	1.0
ɡ_ʀ	ɡ̊_r	1.0
ɡ_n	ŋ	1.0
ə_ʀ	a	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z_ˈa	s_ˈo	1.0
z	s	1.0
v	ʋ	1.0
t	d̥	1.0
s_t	ʃ_d̥	1.0
s_n	s_n	1.0
s	s	1.0
p	b̥	1.0
m	m	1.0
h	h	1.0
f_n	f_a	1.0
f	f	1.0
d_z	s	1.0
d	d̥	1.0
b_n	m	1.0
a	a	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_j	<#_j	1.0
ˈaɪ̯	ˈai̯	0.909
b	b̥	0.81
ɡ	ɡ̊	0.76
χ	x	0.75
n	n	0.667
ˈɛ	ˈe	0.655
ʀ	r	0.622
ə	a	0.583
ˈʊ	ˈu	0.577
ˈɪ	ˈi	0.541
ɫ	l	0.538
ɛ	ɑ	0.5
ɛ	-	0.5
k	ɡ̊	0.5
k	kʰ	0.5
ɫ	j	0.462
ˈɔ	ˈo	0.429
ə	-	0.417
ʀ	ɐ	0.378
ˈɔɪ̯	ˈau̯	0.36
ˈa	ˈɑ	0.36
ˈʊ	ˈuɐ̯	0.346
ˈɔ	ˈɒː	0.286
ˈɛ	ˈeː	0.276
ˈɪ	ˈiɐ̯	0.243
ˈɔɪ̯	ˈaː	0.24
ˈa	ˈo	0.24
ɡ	-	0.24
ˈɔɪ̯	ˈou̯	0.2
b	β	0.19
n	-	0.174
ˈa	ˈɒː	0.16
ˈa	ˈa	0.16
χ	-	0.15
ˈɔɪ̯	ˈoː	0.12
ˈɔ	ˈɑː	0.107
ˈɔ	ˈoː	0.107
χ	ç	0.1
ˈaɪ̯	-	0.091
ˈɪ	ˈu	0.081
ˈɪ	ˈiː	0.081
ˈɔɪ̯	ˈa	0.08
ˈa	ˈɑː	0.08
ˈʊ	ˈo	0.077
n	a	0.072
ˈɔ	ˈu	0.071
ˈɛ	-	0.069
ˈɪ	-	0.054
