West Flemish	West Flemish	probability
ˈɛː_w	w	1.0
ˈɛ	ˈə	1.0
ˈɔ_w	ɫ	1.0
ˈɔ	ˈɔ	1.0
ˈɒː	ˈɑː	1.0
ˈɑ	ˈa	1.0
ˈøː	ˈɪø̯	1.0
ˈuə̯	ˈu	1.0
ˈu_ʋ	ˈœu̯	1.0
ˈi	ˈəɪ̯	1.0
ʋ	v	1.0
ʃ_h	s_k	1.0
ɾ_t	r_t	1.0
ɪ	ə	1.0
ɦ̥	χ	1.0
ə_ɾ	ə_r	1.0
ŋ	ŋ	1.0
ç	χ	1.0
z̥	s	1.0
z_ˈɛ	s	1.0
z	s	1.0
w	ɫ	1.0
v̥	v̥	1.0
v_ˈøː	v̥	1.0
s	s	1.0
p	p	1.0
m	m	1.0
l	ɫ	1.0
iə̯	i	1.0
h_t	χ	1.0
h	χ	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_n	d̥	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#	<#_ɦ	1.0
n	n	0.933
t	t	0.927
ə	-	0.894
n_#>	#>	0.889
ˈoː	ˈʊə̯	0.885
k	k	0.879
ɾ	r	0.86
ˈeː	ˈɪə̯	0.857
v	v̥	0.833
ˈyː	ˈœɪ̯	0.818
ɦ	χ	0.808
ˈɪ	ˈə	0.8
ˈiə̯	ˈi	0.8
ˈɛː	ˈɪə̯	0.75
ˈu	ˈɔ	0.556
j	j	0.5
j	-	0.5
ˈœ	ˈœ	0.444
ˈu	ˈœu̯	0.444
ˈæ	ˈæ	0.385
ˈœ	ˈɔ	0.333
ˈæ	ˈæː	0.308
ˈæ	-	0.308
ˈɛː	-	0.25
ˈœ	-	0.222
ˈɪ	-	0.2
ɦ	-	0.192
ˈyː	-	0.182
ˈeː	ˈəɪ̯	0.143
ɾ	ə_r	0.14
k	-	0.121
ˈoː	-	0.115
n_#>	ə_#>	0.111
ə	ə	0.106
ˈiə̯	ˈyː	0.1
ˈiə̯	-	0.1
v	-	0.1
t	-	0.073
v	v	0.067
n	ə_ŋ	0.067
