Faroese	Faroese	probability
ˈʏ	-	1.0
ˈʊ_ʤ̊ː	n	1.0
ˈɛːi̯	ˈaʊ̯	1.0
ˈɔːu̯_w	ˈoː	1.0
ˈɔ_ɹ	ˈuːə̯	1.0
ˈuː	-	1.0
ˈoː	ˈɔː	1.0
ˈaːi̯	ˈeː	1.0
ˈai̯	ˈeː	1.0
ʰʧ	k	1.0
ʰt͡n̥	t_ɐ	1.0
ʰp	p	1.0
ʧ	k	1.0
ʤ̊ː	ɡ	1.0
ʤ̊	x	1.0
ʊ_ɹ_#>	#>	1.0
ʊ_#>	#>	1.0
ʈ	t	1.0
ʃ	ʃ	1.0
ɹ_ʊ	ˈyː	1.0
ɹ_ɪ	ɐ	1.0
ɹ_a	ɐ	1.0
ɹ_#>	#>	1.0
ɲ	-	1.0
ɪ_ɹ	ɐ	1.0
ɪ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_ʊ	ɐ	1.0
ɡ̊_a	ə	1.0
v̥	-	1.0
t͡n̥	-	1.0
t͡l̥	l	1.0
tʰ	d	1.0
t_a	t_n	1.0
sː	s	1.0
r_#>	#>	1.0
p	p	1.0
n̥	n	1.0
nː_a	n_n	1.0
nː	n	1.0
n_d̥	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
k_a	k_ə	1.0
j_ˈœ	ˈɛː	1.0
j_ʊ	d̥	1.0
h	h	1.0
d̥_ʊ	d̥	1.0
b̥	b	1.0
a_#>	#>	1.0
<#_ɹ	<#_r	1.0
<#_ɡ̊	<#_x	1.0
<#_tʰ	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
t	t	0.882
f	f	0.882
ŋ	ŋ	0.8
d̥	d	0.786
ˈʊ	ˈʊ	0.75
ˈɔːi̯	-	0.75
ʰt	t	0.75
k	k	0.75
<#_kʰ	<#_k	0.75
a	n	0.743
#>	d̥_#>	0.737
<#	<#_v	0.714
j	-	0.692
ˈɛːa̯_ɹ	ˈiː	0.667
ˈɔ̯aː	ˈɔː	0.667
ˈʊ̯iː	ˈiː	0.643
v	v	0.618
ˈa	ˈa	0.615
ɡ̊	-	0.6
w	d	0.6
ˈɔ	ˈa	0.583
ˈɔːu̯	ˈoː	0.571
ˈʉːu̯	ˈuː	0.556
ˈœ	-	0.556
ˈɪ	ˈɪ	0.526
ˈøː	ˈøː	0.5
ˈøː	-	0.5
ˈiː	-	0.5
ˈeː	-	0.5
ʰk	ŋ_k	0.5
ʰk	k	0.5
ʧʰ	k	0.5
ʧʰ	d	0.5
s	s	0.487
ɹ	ɐ	0.469
ˈɔːu̯	ˈaɪ̯	0.429
ˈɛ	ˈɛ	0.417
ˈɛ	-	0.417
ɹ	r	0.406
w	-	0.4
ˈiː	ˈɪ	0.375
ˈʊ̯iː	-	0.357
ˈɛːa̯_ɹ	ˈɒː	0.333
ˈɔ̯aː	-	0.333
s	ʃ	0.308
j	ˈɛ	0.308
ˈeː	ˈɪɛ̯	0.3
ʊ	ə	0.294
ʊ	ɐ	0.294
ʊ	ç	0.294
<#	<#_j	0.286
ˈɪ	ˈʏ	0.263
ˈɔːi̯	ˈœː	0.25
ˈɔ	ˈuːə̯	0.25
ʰt	x_t	0.25
k	-	0.25
<#_kʰ	<#	0.25
ˈɛːa̯	ˈaː	0.231
ˈɛːa̯	ˈa	0.231
ˈɛːa̯	-	0.231
ˈa	ˈaː	0.231
ˈʉːu̯	ˈʊ	0.222
ˈʉːu̯	ˈaɪ̯	0.222
ˈœ	ˈɔ	0.222
ˈœ	ˈa	0.222
d̥	d̥	0.214
v	ʋ	0.206
ˈeː	ˈɪ	0.2
ɡ̊	ɡ	0.2
ɡ̊	ŋ	0.2
ŋ	-	0.2
ˈʊ	-	0.188
a	ə	0.171
ˈɛ	ˈa	0.167
ˈɔ	-	0.167
#>	n_#>	0.158
ˈɛːa̯	ˈɛ	0.154
ˈɛːa̯	ˈa_x	0.154
ˈa	ˈɔ	0.154
ˈiː	ˈyːœ̯	0.125
ɹ	-	0.125
ʊ	-	0.118
v	-	0.118
t	-	0.118
f	-	0.118
ˈɪ	ˈuː	0.105
ˈɪ	-	0.105
#>	ə_#>	0.105
s	z̥	0.103
s	z	0.103
ˈʊ	ˈyə̯	0.062
v	b	0.059
a	m	0.057
