Brazilian Portuguese	Latin	probability
ˈɔ_j	ˈoː	1.0
ˈo_w	ˈau̯	1.0
ˈo_h	ˈoː_r	1.0
ˈo_d	ˈoː_t	1.0
ˈe_w	ˈe	1.0
ˈe_h	r_ɛ	1.0
ˈa_b	ˈa_p	1.0
ʧ	t	1.0
ʃ_t	s_t	1.0
ɾ_ɐ	r_ãː	1.0
ɾ_u	r_ʊ̃ː	1.0
ɦ_n	r_n	1.0
ɦ	r	1.0
ɡ_w	kʷ	1.0
ɐ̃	-	1.0
ũ	ʊ_m	1.0
p	p	1.0
õ	ɔ	1.0
k_ɾ	k_r	1.0
j_ʃ	k_ɛ̃ː	1.0
j_ɾ	i	1.0
j_t	k_t	1.0
ĩ	ĩː	1.0
h_k	r_k	1.0
f	f	1.0
d_ɐ	t_ãː	1.0
m	m	0.982
ˈɛ	ˈɛ	0.958
ɐ	ãː	0.833
u	ʊ̃ː	0.826
ʒ	ɡ	0.772
ɾ	r	0.772
ɡ	k	0.76
d	t	0.749
ˈi	ˈiː	0.747
ˈu	ˈuː	0.73
v	w	0.708
n	n	0.707
ˈĩ	ˈiː	0.674
i	ɛ̃ː	0.669
l	lʲː	0.645
ẽ	ɛ	0.621
ʤ	d	0.583
j̃	n	0.535
ˈɔ	ˈɔ	0.527
h	ɛ	0.527
ʃ	s	0.525
ˈo	ˈɔ	0.511
w̃	n_ʊ̃ː	0.5
w	ɫ	0.485
k	kː	0.463
b	p	0.456
o	ɔ	0.453
ˈa	ˈa	0.451
a	a	0.447
t	t	0.443
ˈũ	ˈuː	0.431
ʤ	t	0.417
ʎ	lʲ_i	0.403
w	-	0.385
ẽ	ɪ	0.379
z	s	0.375
ˈũ	ˈʊ	0.374
ʎ	k_ʊ	0.371
z	k_ɛ	0.351
ˈe_j	ˈa_k	0.348
ˈe_j	ˈeː_n	0.344
ˈɐ̃	ˈaː	0.34
ˈẽ	ˈɛ_n	0.336
w̃	ɛ̃ː	0.333
s	k	0.331
a	aː	0.324
ˈõ	ˈʊ	0.315
ˈa	ˈaː_r	0.315
ˈẽ	ˈɛ	0.313
k	k	0.312
ˈe_j	ˈeː	0.308
b	p_ɛ	0.301
ˈe	ˈɛ	0.3
n	nː	0.293
ˈe	ˈɪ	0.286
e	ɪ	0.28
z	k	0.274
e	ɛ	0.271
ˈu	ˈʊ	0.27
o	oː	0.27
s	s	0.268
h	r_ɛ	0.266
ˈẽ	-	0.265
j	i	0.265
ˈõ	ˈɔ	0.259
ˈõ	ˈoː	0.259
v	b	0.254
b	b	0.242
j	-	0.239
t	tː	0.23
ˈɐ̃	ˈa	0.229
ʒ	j	0.228
ʎ	ʊ_ɫ	0.226
k	kʷ	0.225
d	d	0.203
ˈɔ	-	0.202
ˈũ	ˈuː_n	0.195
ˈo	ˈʊ	0.195
l	lʲ	0.195
ˈɔ	ˈoː	0.194
j	d_i	0.181
ˈa	ˈaː	0.176
j	ɛ̃ː	0.172
h	r	0.172
t	n_t	0.17
ˈõ	ˈɔ_n	0.167
w̃	n	0.167
l	ɫ	0.16
ˈɐ̃	ˈa_n	0.158
t	k_t	0.158
ˈe	ˈeː	0.155
ɡ	ɡ	0.154
ʃ	sː	0.146
o	-	0.143
j	k	0.143
ˈĩ	ˈiː_n	0.142
e	s	0.141
j̃	n_i	0.14
j̃	-	0.136
ɾ	ɛ_r	0.133
o	au̯	0.133
w	ɫ_ɛ̃ː	0.13
e	-	0.124
s	t_i	0.123
a	-	0.122
ʃ	k_ɛ̃ː	0.115
ˈi	ˈi	0.112
j̃	e	0.11
s	sː	0.109
e	eː	0.109
a	ˈa	0.107
ˈɐ̃	ˈaː_n	0.101
ˈĩ	n	0.101
ˈɐ̃	n	0.098
i	ɪ	0.092
ʃ	oː_s	0.09
ˈe	r	0.087
ˈẽ	ˈɛ̃ː	0.086
ɡ	ɡʷ	0.086
ˈo	ˈau̯	0.083
ˈĩ	ˈyː	0.083
j̃	ɛ̃ː	0.08
ʃ	k_ɫ	0.079
ˈɔ	ˈoː_d	0.078
ˈe	ɛ_r	0.075
ɐ	a	0.075
e	ˈɪ	0.075
ˈɐ̃	ˈa_ŋ	0.074
u	oː	0.072
ˈi	ˈɪ	0.07
ˈi	ˈiː_w	0.07
i	iː	0.069
i	-	0.069
ˈo	ˈoː	0.068
ˈo	-	0.066
ˈa	ɫ_ˈaː	0.058
ɾ	ɛ	0.053
ɐ	ɫ_ãː	0.053
