Bulgarian	Proto-Slavic	probability
ˈɤ_r	r	1.0
ˈɛ_#>	e_#>	1.0
ˈɔ_#>	o_#>	1.0
ʧ	ʧ	1.0
ʒ	ʒ	1.0
ɫ_ˈa	ôː_l	1.0
ɫ_ɐ	o_l	1.0
ɫ_#>	l_ŭ_#>	1.0
ɡ	ɡ	1.0
ɛ_n	n	1.0
ɛ_m	m_ĭ	1.0
ɐ_t	ŭ_t	1.0
ɐ_#>	a_#>	1.0
z	z	1.0
x	x	1.0
vʲ	v	1.0
v	v	1.0
t_ɐ	t	1.0
t_o	t_o	1.0
t_#>	t_ĭ_#>	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r	r	1.0
n	n	1.0
m	m	1.0
lʲ	-	1.0
l	l	1.0
j	t	1.0
f	v_ŭ	1.0
d	d	1.0
b	b	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
k	k	0.821
t	t	0.8
p	p	0.769
o	o	0.75
ɫ	l	0.733
ʦ	ʦ	0.667
<#	<#_s	0.6
ɛ	e	0.571
ˈɛ	ê	0.556
r_ˈa	r	0.5
r_ˈa	oˀ_r	0.5
ˈa	ǎ	0.464
#>	ŭ_#>	0.455
ˈi	ǐ	0.444
ˈɔ	ǒ	0.438
ˈɤ	ĭ̂	0.429
<#	<#_ô	0.4
ˈɔ	ô	0.375
ˈi	i	0.333
ʦ	k	0.333
#>	ŭ_j_ĭ_#>	0.318
ˈɤ	ĭˀ	0.286
ˈɤ	-	0.286
ɐ	ĭ	0.25
ɐ	i	0.25
p	b	0.231
#>	ĭ_#>	0.227
ˈɛ	ě	0.222
ˈɛ	ẽ	0.222
ˈi	ɨˀ	0.222
t	d_ŭ	0.2
ɛ	ẽ	0.19
ˈɔ	ôː	0.188
ˈa	ɛ̂ː	0.179
k	ɡ	0.179
ɐ	t_i	0.167
ɐ	õː	0.167
ɐ	l	0.167
ˈa	aˀ	0.143
ɛ	ɛː	0.143
ɫ	ŭ	0.133
ɫ	d_l	0.133
o	ǒ	0.125
o	ô	0.125
ˈa	ɛˀ	0.107
ˈa	l	0.107
ɛ	ĭ	0.095
