American English	Mecklenburgisch-Vorpommersch	probability
θ	d	1.0
ˈɝ	-	1.0
ˈɛə̯	ˈa	1.0
ˈɛ_d	ˈaʊ̯_d̥	1.0
ˈɔ_ɹ	æ	1.0
ˈɑ_ɹ	ˈaː	1.0
ˈi_n	ˈɔʏ̯_n	1.0
ˈeɪ̯_ʔ	t	1.0
ʤ	ç	1.0
ʃ	ʃ	1.0
ɾ	-	1.0
ɪ	-	1.0
ɚ	æ	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
w_ˈɛ	v	1.0
tʰ	tʰ	1.0
t	t	1.0
pʰ	pʰ	1.0
p	p	1.0
oʊ̯	-	1.0
n	n	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k_s	s	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_ɚ	æ	1.0
b	b	1.0
ʔ	t	0.948
ɫ	l	0.911
ɡ	ɡ	0.843
ð	ɾ	0.768
w	v	0.739
v	m	0.679
ɹ	r	0.676
ˈaʊ̯	ˈuː	0.668
ˈɔ	ˈuː	0.667
i	ɪ	0.649
z	-	0.642
s	z	0.584
ʧ	kʰ	0.562
ˈoʊ̯	ˈae̯	0.535
ˈɪ	ˈɪ	0.53
ˈʌɪ̯	ˈɪ	0.508
ˈʊ	ˈʊ	0.5
ˈʊ	ˈaʊ̯	0.5
ˈeɪ̯	ˈɒː	0.5
ˈeɪ̯	ˈa	0.5
d	d	0.494
ˈʌɪ̯	ˈiː	0.492
ˈu	ˈaʊ̯	0.449
ˈɑ	ˈɔ	0.444
ʧ	k	0.438
ˈʌ	ˈʊ	0.408
d	d̥	0.406
ˈæ	ˈa	0.399
ˈæ	ˈaː	0.392
z	z̥	0.358
ˈu	-	0.356
i	ae̯	0.351
ˈɔ	-	0.333
ˈaɪ̯	ˈiː	0.325
ˈɛ	ˈɛ	0.324
ˈaɪ̯	ˈɪ	0.322
v	f	0.321
ˈɑ	-	0.315
s	ʃ	0.246
ˈɑ	ˈa	0.241
ɹ	æ	0.24
ð	-	0.232
ˈæ	ˈa_l	0.209
ˈaʊ̯	-	0.197
ˈu	ˈae̯	0.195
w	w	0.187
ˈɪ	ˈʏ	0.186
ˈi	ˈɔʏ̯	0.185
ˈɛ	ˈoː	0.172
s	s	0.17
ˈi	ˈaʊ̯	0.166
ɡ	-	0.157
ˈɛ	ˈae̯	0.15
ˈɛ	-	0.143
ˈaʊ̯	ˈaʊ̯	0.135
ˈi	ˈae̯	0.127
ˈi	ˈɒː	0.124
ˈoʊ̯	ˈɔ	0.123
ˈʌ	ˈɒː	0.12
ˈaɪ̯	ˈyː	0.119
ˈoʊ̯	ˈɪ	0.116
ˈoʊ̯	ˈaʊ̯	0.116
ˈoʊ̯	ˈeː	0.111
ˈɪ	-	0.11
ˈɛ	ˈʏ	0.11
ˈi	ˈoː	0.104
ˈɛ	ˈɛː	0.101
ˈʌ	ˈuː	0.099
ˈʌ	-	0.099
ˈʌ	ˈɔ	0.092
ɫ	ɡ_l	0.089
ˈi	ˈyː	0.087
ˈi	ˈiː	0.087
ɹ	-	0.084
ˈaɪ̯	ˈaʊ̯_x	0.081
ˈaɪ̯	ˈae̯_ŋ	0.081
ˈɪ	ˈɛ	0.076
w	-	0.074
ˈaɪ̯	ɣ	0.073
ˈʌ	ˈœː	0.071
ˈʌ	ˈʏ	0.069
ˈi	-	0.061
d	n	0.056
ʔ	ç	0.052
