Proto-Slavic	Belarusian	probability
ʧ	ʧ	1.0
ʦ	ʦ	1.0
ɨ̌	ˈɨ	1.0
ɨˀ	ˈɨ	1.0
ɡ_ŭ	x	1.0
ɡ	ɣ	1.0
ɛ̌	ˈe	1.0
ɛ̂ː	ˈe	1.0
ɛː	æ	1.0
ɛˀ	ˈe	1.0
v_ŭ	w	1.0
ŭ̌	ˈo	1.0
ŭ̂	ˈo	1.0
ŭ_#>	#>	1.0
t_ŭ_#>	t_#>	1.0
t_o	t_a	1.0
t_ĭ	ʦʲ	1.0
s_ŭ_#>	s_#>	1.0
r_ɛː	r_a	1.0
õː	u	1.0
ôː	ˈo	1.0
ô	ˈo	1.0
o_l	ɫ_a	1.0
o_#>	a_#>	1.0
o	a	1.0
n_ĭ	nʲ	1.0
l_ĭ_#>	lʲ_#>	1.0
k_t	ʧ	1.0
j	-	1.0
ǐ	ˈi	1.0
ĭ̂	ˈo	1.0
ĭˀ	ˈo	1.0
ĭ_#>	#>	1.0
i	ˈi	1.0
ẽ̂ː	ˈæ	1.0
ẽː	æ	1.0
ê	ˈe	1.0
d_ŭ	t	1.0
d_l	ɫ	1.0
ǎ	ˈa	1.0
a	a	1.0
<#_x	<#_x	1.0
<#_t	<#_ʦʲ	1.0
<#_s	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#	<#_v	1.0
r	r	0.929
n	n	0.818
k	k	0.818
ǒ	ˈo	0.75
i_#>	#>	0.714
d	d	0.611
ʒ	ʐ	0.6
t	t	0.6
m	m	0.6
l_ŭ	ɫ_ɨ	0.6
z	zʲ	0.556
ĭ	-	0.556
s	s	0.524
x	xʲ	0.5
x	x	0.5
v	vʲ	0.5
v	v	0.5
p	pʲ	0.5
p	p	0.5
ẽ	ˈæ	0.5
ẽ	æ	0.5
s	sʲ	0.476
ŭ	ɨ	0.474
z	z	0.444
ʒ	ʂ	0.4
t	ʦʲ	0.4
m	mʲ	0.4
l_ŭ	ɫ	0.4
b	p	0.4
b	b	0.4
d	ʣʲ	0.389
l	ɫ	0.368
e	a	0.333
i_#>	ˈɨ_#>	0.286
e	æ	0.278
ŭ	i	0.263
l	lʲ	0.263
ǒ	a	0.25
ĭ	ˈe	0.222
ĭ	nʲ	0.222
l	w	0.211
b	bʲ	0.2
n	nʲ	0.182
k	kʲ	0.182
e	e	0.167
ŭ	a	0.158
l	ɫ_a	0.158
e	ʌ	0.111
e	ɨ	0.111
ŭ	-	0.105
r	r_a	0.071
