Yiddish	Yiddish	probability
ˈɪ_ʀ	ˈʌ	1.0
ˈaɪ̯_n	ˈae̯_n	1.0
ˈa_n	ˈaː	1.0
ʃ	ʃ	1.0
ɫ	l	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
ə_ʀ	ʌ	1.0
ə_n	a	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	s	1.0
v	ʋ	1.0
s_t	ʃ_d	1.0
s	s	1.0
p	b	1.0
n_#>	#>	1.0
m	m	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d	d	1.0
a	a	1.0
#>	e_#>	1.0
t	d	0.94
ʦ	ʦ	0.933
b	b	0.926
ˈa	ˈa	0.774
ˈɛɪ̯	ˈɔe̯	0.75
ˈaɪ̯	ˈəi̯	0.722
ɪ	ɪ	0.667
ˈɔɪ̯	ˈao̯	0.64
χ	x	0.588
k	ɡ	0.583
ʀ	ʁ	0.553
ˈɛ	ˈɛ	0.517
n	a	0.493
n	n	0.448
k	kʰ	0.417
χ	ç	0.412
ʀ	ʕ	0.404
ˈɪ	ˈi	0.395
ˈʊ	ˈo	0.37
ˈɔɪ̯	ˈoː	0.36
ɪ	i	0.333
ˈʊ	ˈuə̯	0.296
ˈaɪ̯	ˈae̯	0.278
ˈɔ	ˈaː	0.226
ˈɛ	ˈɛː	0.207
ˈɔ	ˈɔː	0.194
ˈɔ	ˈo	0.194
ˈɔ	ˈɔ	0.161
ˈʊ	ˈu	0.148
ˈɛ	ˈeː	0.138
ˈɪ	ˈiː	0.132
ˈɪ	ˈiə̯	0.132
ˈɪ	ˈe	0.132
ˈɔ	ˈa	0.129
ˈa	ˈɛ	0.129
ˈɛɪ̯	ˈae̯	0.125
ˈɛɪ̯	-	0.125
ˈɪ	ˈɪ	0.105
ˈɔ	ˈoː	0.097
ˈa	-	0.097
ˈʊ	ˈɔ	0.074
ˈʊ	ˈuː	0.074
b	-	0.074
ˈɛ	ˈeə̯	0.069
ˈɛ	ˈe	0.069
ʦ	ʣ	0.067
t	t	0.06
ˈɪ	ˈɛ	0.053
ˈɪ	ˈu	0.053
