Brazilian Portuguese	Brazilian Portuguese	probability
ˈɛ	ˈɛ	1.0
ˈũ	ˈy	1.0
ˈo_h	l_ˈu	1.0
ˈĩ_j̃	ˈi	1.0
ˈĩ	ˈi	1.0
ˈe_h	e	1.0
ˈa_h_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧ_i_#>	n_#>	1.0
ʧ	t	1.0
ʒ	ʒ	1.0
ʎ_u	ˈe_ʎ	1.0
ʎ	ʎ	1.0
ʃ_t	s_t	1.0
ʃ_#>	s_#>	1.0
ɾ_i	e	1.0
ɦ_n	r	1.0
ɡ_w	ɣ	1.0
ɡ_u	k	1.0
ɐ̃	-	1.0
ɐ_#>	a_#>	1.0
z	z	1.0
w̃	ŋ	1.0
v_i_#>	w_#>	1.0
ũ	m_e	1.0
u_#>	#>	1.0
t_u_#>	n_#>	1.0
t	t	1.0
s_u	ʦ	1.0
s_a	s_a	1.0
õ	u_n	1.0
n_ˈɔ	n_ˈu	1.0
n	n	1.0
l_u	t	1.0
l_i	t	1.0
k	k	1.0
j̃_u	ŋ	1.0
j_ʃ	ʦ	1.0
j_u	ˈe_j	1.0
ĩ	-	1.0
i_#>	#>	1.0
h_#>	#>	1.0
f	h	1.0
ẽ	-	1.0
d_ˈe	d_ˈi	1.0
d_u	t	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_p_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_o	<#_a_w	1.0
<#_l	<#_ʎ	1.0
<#_h	<#_a_r	1.0
<#_e	<#_e	1.0
ɐ	ɔ	0.972
s	s	0.949
p	p	0.935
m	m	0.882
l	l	0.833
a	a	0.81
ˈẽ	ˈe	0.778
w	w	0.769
ˈu	ˈy	0.765
ɦ	r	0.75
ɡ	ɣ	0.75
w_#>	w_#>	0.75
ˈe	ˈe	0.733
ˈi	ˈi	0.731
o	u	0.727
ɾ	ɾ	0.706
e	e	0.706
ʤ	t	0.667
<#_ˈo	<#_w	0.667
ˈɐ̃	ˈa	0.654
i	e	0.636
j̃	ɲ	0.625
ˈe_j	ˈe	0.6
j	j	0.588
ɾ_u_#>	#>	0.571
v	b	0.556
#>	w_#>	0.556
b	b	0.538
u	-	0.5
d	d	0.48
ʃ	s	0.467
ˈɔ	ˈɔ	0.45
ˈõ	ˈu	0.444
ɾ_u_#>	r_#>	0.429
ˈe_j	j_ˈɛ	0.4
b	β	0.385
i	i	0.364
d	ð	0.36
ˈõ	ˈu_ŋ	0.333
ʤ	d	0.333
<#_ˈo	<#_ˈa	0.333
h	r	0.312
u	u	0.3
ˈo	ˈu	0.294
j	-	0.294
e	-	0.294
o	-	0.273
ʃ	ʃ	0.267
ɦ	-	0.25
ɡ	k	0.25
w_#>	#>	0.25
ˈu	-	0.235
ˈo	ˈɔ	0.235
w	-	0.231
ˈõ	-	0.222
ˈẽ	ˈe_n	0.222
v	β	0.222
#>	r_#>	0.222
#>	e_#>	0.222
u	ŋ	0.2
a	-	0.19
j̃	ŋ	0.188
j̃	-	0.188
h	ð_e	0.188
ˈɐ̃	ˈa_ŋ	0.154
ˈi	-	0.154
ˈɔ	ˈu	0.15
ˈɔ	ˈa	0.15
ˈɔ	-	0.15
ʃ	k_l	0.133
ʃ	e_h	0.133
h	ɾ	0.125
h	e	0.125
h	d_ɾ	0.125
h	-	0.125
ˈo	ˈa	0.118
ɾ	-	0.118
j	z_ˈa	0.118
ˈɐ̃	ˈu	0.115
ˈi	ˈe	0.115
v	w	0.111
v	-	0.111
ˈɔ	u	0.1
l	ɾ	0.1
ˈo	ˈy	0.088
ˈo	ˈu_n	0.088
ˈo	w_ˈe	0.088
ˈo	w	0.088
ɾ	r	0.088
ɾ	e	0.088
m	-	0.088
d	t	0.08
d	-	0.08
ˈɐ̃	ˈa_n	0.077
b	-	0.077
ˈe	ˈɛ	0.067
ˈe	ˈi	0.067
ˈe	j_ˈe	0.067
ˈe	-	0.067
l	-	0.067
p	s	0.065
s	ʃ	0.051
