Ladin	Ladin	probability
ˈɛ_ɡ	ˈa_ɣ	1.0
ˈɛ_n	ˈẽ	1.0
ˈɛ_k	ɣ_u	1.0
ˈɛ_f	v_u	1.0
ˈɔ_n	ˈõ	1.0
ˈu_n	ˈũ	1.0
ˈu	ˈu	1.0
ˈo_n	ˈõ	1.0
ˈi_n	ˈĩ	1.0
ˈe_j	ˈe	1.0
ˈa_w	ˈo_w	1.0
ˈa_n	ˈɐ̃	1.0
ʧ	s	1.0
ʥ	-	1.0
ʒ_ɡ	v	1.0
ʃ_#>	#>	1.0
z	z	1.0
w_ˈɛ	ˈɔ	1.0
w_ʃ	ʃ	1.0
u	-	1.0
t_a	t_ɐ	1.0
r_a	ɾ_ɐ	1.0
r_#>	u_#>	1.0
p	p	1.0
n_a	ɐ	1.0
m_#>	m_ɨ_#>	1.0
m	m	1.0
k_l	ʃ	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	ɾ_#>	1.0
f_l	ʃ	1.0
e_s	ɐ_ʃ	1.0
e_r	ɾ_ɨ	1.0
e_n	ẽ	1.0
d_l	ʎ_u	1.0
b_a	v_ɐ	1.0
b	b	1.0
a_v	ɐ_β	1.0
a_d	ɐ_ð	1.0
a_#>	#>	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ɐ	1.0
k	k	0.92
ˈi	ˈi	0.913
a	ɐ	0.868
w	ˈo	0.867
v	v	0.857
f	f	0.85
r	ɾ	0.809
ˈe_#>	ˈa_ɾ_#>	0.8
ʨ	k	0.8
#>	u_#>	0.778
ʒ	ʒ	0.75
ɲ	ɲ	0.75
t	t	0.744
n_#>	w̃_#>	0.714
ɡ	ɡ	0.667
s	ʃ	0.667
ˈɔ	ˈo	0.6
l	l	0.593
o	u	0.5
l_#>	u_#>	0.5
l_#>	#>	0.5
e_#>	j_#>	0.5
e_#>	#>	0.5
d	d	0.5
ʃ	i_ʃ	0.467
ˈa	ˈa	0.459
ˈe	ˈe	0.448
ʦ	s_u	0.429
ŋ	-	0.429
ʃ	ʃ	0.4
ˈɛ	ˈɛ	0.368
ɡ	ɣ	0.333
o	-	0.333
j	ˈe	0.333
i	ĩ	0.333
i	i	0.333
i	-	0.333
<#	<#_ɡ	0.333
<#	<#_v	0.333
<#	<#_i	0.333
ˈo	ˈɔ	0.308
ˈɔ	ˈɔ	0.3
n	ɲ	0.292
n	n	0.292
ʦ	s	0.286
ʦ	-	0.286
ŋ	ˈĩ	0.286
ŋ	ɡ	0.286
n_#>	#>	0.286
ˈo	-	0.269
j	-	0.267
ʒ	-	0.25
ɲ	-	0.25
n	-	0.25
ˈa	ˈɐ̃	0.243
e	ɾ	0.231
e	ɨ	0.231
d	ð	0.227
s	s	0.222
l	ɫ	0.222
ˈa	ˈɐ	0.216
ˈɛ	ˈa	0.211
ˈe	-	0.207
t	ð	0.205
ˈe_#>	#>	0.2
ʨ	s	0.2
j	ˈɐ	0.2
j	j	0.2
ˈo	ˈo	0.192
e	-	0.192
l	-	0.185
ˈɛ	-	0.184
d	-	0.182
ˈo	ˈu	0.154
e	ˈe_ɾ	0.154
f	v_ɨ	0.15
v	β	0.143
ʃ	-	0.133
w	-	0.133
e	ɐ	0.115
s	j_ʃ	0.111
r	-	0.106
ˈɛ	ˈɐ_j	0.105
ˈe	ˈɐ_j	0.103
ˈe	ˈɐ	0.103
ˈɔ	u	0.1
d	z	0.091
ˈi	-	0.087
r	ʁ	0.085
o	ɔ	0.083
o	o	0.083
n	ˈɐ̃	0.083
n	ˈẽ	0.083
ˈa	-	0.081
k	-	0.08
ˈɛ	j	0.079
ˈo	ˈõ	0.077
e	j	0.077
ˈe	ˈɨ	0.069
ˈe	j	0.069
a	ɨ	0.057
#>	ʃ_#>	0.056
#>	ɐ_#>	0.056
ˈɛ	ˈɐ̃	0.053
t	-	0.051
