English	English	probability
ˈɛ	ˈɒː	1.0
ˈəʊ̯_n_#>	ˈæi̯_#>	1.0
ˈəʊ̯_#>	ˈeː_#>	1.0
ˈiː_n	æ	1.0
ˈiː_#>	#>	1.0
ˈaɪ̯_#>	ˈyː_ɡ̊_ə_#>	1.0
ʤ	kː	1.0
ʃ_#>	ʃː_#>	1.0
ɹ	r	1.0
ɜː	r_ˈiː	1.0
əʊ̯	ɡ̊	1.0
ə_n	ə	1.0
ŋ	ŋ	1.0
z	z̥	1.0
w_ˈe	ʋ	1.0
tʰ	ʦ	1.0
s_t	ʃː_tː	1.0
pʰ	p͡f	1.0
p	fː	1.0
n_d_#>	ŋ_#>	1.0
m	m	1.0
l	l	1.0
kʰ	ɣ̊	1.0
j	-	1.0
h	h	1.0
d_ˈe	tː_ˈoː	1.0
d_ɹ	tː_r	1.0
b_ˈɛ	b̥	1.0
b	b̥	1.0
<#_ɹ	<#_r	1.0
<#	<#_ˈæ	1.0
#>	r_#>	1.0
f	v̥	0.917
w	ʋ	0.909
n	n	0.878
ɡ	ɡ̊	0.857
θ	d̥	0.824
ʃ	ʒ̊	0.75
ɫ	l	0.737
ɪ	i	0.714
f_#>	b̥_#>	0.714
ˈeɪ̯	ˈɒ	0.667
ˈaʊ̯	ˈuː	0.667
d	tː	0.649
ˈæ	ˈɒ	0.625
ˈʊ	ˈuə̯	0.6
ʧ	ɣ̊	0.6
s	z̥	0.6
ˈuː	-	0.571
ə	ə_r	0.52
ˈɜː	ˈu_r	0.5
ˈɜː	r	0.5
ˈəʊ̯	ˈæi̯	0.5
ð	tː_ə	0.5
ð	d̥	0.5
t	sː	0.5
k	χː	0.5
ˈɐ	ˈu	0.474
ˈɪ	ˈi	0.464
ˈɒ	-	0.429
ˈɑː	ˈɒː	0.429
ˈuː	ˈuə̯	0.429
ˈʊ	ˈo	0.4
ʧ	χː	0.4
ə	r	0.4
ˈe	ˈæ	0.381
ˈæ	-	0.375
v	fː	0.375
v	b̥_ə	0.375
ˈeɪ̯	ˈɒː	0.333
ˈaɪ̯	ˈiː	0.333
k	kː	0.312
ˈɔː	ˈo_r	0.308
ˈɔː	r	0.308
d	d̥	0.297
ˈɒ	ˈɒ	0.286
ˈɒ	ˈo	0.286
ˈɑː	ˈɒ_l	0.286
ˈɑː	ˈɒ	0.286
ɪ	-	0.286
f_#>	#>	0.286
ˈəʊ̯	ˈɒ	0.25
ˈiː	-	0.25
ʃ	ʃː_ə	0.25
v	b̥	0.25
s	ʒ̊	0.25
ˈɔː	ˈɒ	0.231
ˈaɪ̯	ˈi	0.222
ˈɐ	ˈoː	0.211
ˈɐ	-	0.211
k	χː_ə	0.188
t	tː	0.184
ˈɪ	ˈy	0.179
ˈiː	ˈyː	0.179
ˈiː	ˈau̯	0.179
θ	tː	0.176
ˈəʊ̯	-	0.167
ˈaʊ̯	ˈuə̯	0.167
ˈaʊ̯	ˈu	0.167
ɫ	l_ə	0.158
ˈɔː	ˈo	0.154
ˈaɪ̯	ˈyː	0.148
ˈiː	ˈyə̯	0.143
ˈe	ˈæi̯	0.143
ˈe	ˈe	0.143
ˈe	-	0.143
ɡ	-	0.143
t	χː_tː	0.132
t	ʦ	0.132
ˈɪ	ˈyː	0.107
ˈɪ	-	0.107
ˈiː	ˈɒː	0.107
ˈɐ	ˈuə̯	0.105
ɫ	ɡ̊_l	0.105
s	sː	0.1
ˈe	ˈy	0.095
ˈe	ˈoː	0.095
w	ʋ_ˈu	0.091
ˈəʊ̯	w	0.083
f	v̥_ˈo	0.083
ə	r_ə	0.08
ˈaɪ̯	χː	0.074
ˈaɪ̯	ˈɒ_χː	0.074
ˈaɪ̯	ˈiə̯	0.074
ˈaɪ̯	ə	0.074
n	-	0.073
ˈɪ	ˈæ	0.071
ˈɪ	ˈu	0.071
ˈiː	ˈoː	0.071
ˈiː	ˈeː	0.071
d	d̥_ə	0.054
t	r_ʦ	0.053
