Westphalian	Westphalian	probability
ˈɪɛ̯_l	ɫ	1.0
ˈɛː	-	1.0
ˈɒː	-	1.0
ˈœː	-	1.0
ˈøː	ˈi	1.0
ˈø	ˈɛ	1.0
ˈyːœ̯	ˈoʊ̯	1.0
ˈyː	-	1.0
ˈyə̯	ˈɛə̯	1.0
ˈuːə̯	-	1.0
ˈuə̯	-	1.0
ˈiː_#>	ˈi_#>	1.0
ˈaɪ̯_ɡ	ˈaɪ̯	1.0
ˈaɪ̯_#>	#>	1.0
ˈa_x	ˈeɪ̯	1.0
ʋ	w	1.0
ʃ_l	s_l	1.0
ʃ_k	ʃ	1.0
ɪ_ç	i	1.0
ɡ_l	ɫ	1.0
ɡ	-	1.0
ə	-	1.0
z̥_#>	s_#>	1.0
z	z	1.0
v̥	f	1.0
v_n	v	1.0
t_n	ʔ	1.0
s	s	1.0
r	ɹ	1.0
p	p	1.0
n_n	n	1.0
l_ʋ_#>	f_#>	1.0
l_ə	ɫ	1.0
k_ə	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d_n	d	1.0
aɪ̯	t_i	1.0
<#_ˈɔː	<#_ˈi	1.0
<#_z	<#_s	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
#>	f_#>	1.0
m	m	0.913
b	b	0.913
ŋ	ŋ	0.833
d̥	d	0.828
ɐ	ɚ	0.818
ˈaɪ̯	ˈi	0.727
x	ɡ	0.688
ˈʏ	ˈɪ	0.667
ç	-	0.667
v	w	0.63
ˈʊ	ˈʌ	0.625
ˈɪə̯	-	0.6
ˈɔ	ˈɑ	0.6
t	ʔ	0.562
ˈuː	ˈaʊ̯	0.556
ˈeː	ˈoʊ̯	0.545
l	ɫ	0.543
ˈɪɛ̯	ˈɛ	0.5
ˈɪɛ̯	-	0.5
ˈɪ	ˈɪ	0.5
ˈiɛ̯	ˈɛ	0.5
ˈiɛ̯	-	0.5
ʃ	ʃ	0.5
ʃ	s	0.5
n	n	0.485
d	d	0.467
ˈiː	ˈaɪ̯	0.462
l	l	0.457
ˈeː	-	0.455
n	-	0.424
ˈɔː	ˈi	0.417
ˈɔː	-	0.417
ˈɪə̯	ˈɪ	0.4
ˈɔ	ˈoʊ̯	0.4
k	k	0.37
ˈɛ	ˈɛ	0.364
ˈaʊ̯	ˈɛ	0.364
ˈaʊ̯	ˈi	0.364
t	t	0.344
ˈʏ	-	0.333
ˈoː	ˈʌ	0.333
ˈoː	ˈu	0.333
ˈoː	-	0.333
ˈaː	ˈɑ	0.333
ˈaː	ˈeɪ̯	0.333
ˈaː	-	0.333
ç	ʔ	0.333
d	θ	0.333
x	-	0.312
ˈa	ˈæ	0.304
k	ʧ	0.296
ˈɛ	-	0.273
ˈaʊ̯	-	0.273
ˈaɪ̯	-	0.273
k	kʰ	0.259
ˈɪ	ˈaɪ̯	0.231
ˈiː	ˈʌɪ̯	0.231
ˈuː	ˈʌ	0.222
ˈuː	-	0.222
ˈa	ˈɛə̯	0.217
ˈɪ	-	0.192
ˈʊ	ˈʊ	0.188
ˈʊ	ˈaʊ̯	0.188
ˈɛ	ˈɪ	0.182
ˈɛ	ˈeɪ̯	0.182
ɐ	ɹ	0.182
ˈa	ˈɑ	0.174
d̥	θ	0.172
ˈɔː	ˈeɪ̯	0.167
ŋ	-	0.167
ˈiː	ˈɪ	0.154
ˈiː	ˈi	0.154
v	v	0.148
d	ð	0.133
ˈa	-	0.13
t	ɾ	0.094
ˈa	ˈʌ	0.087
ˈa	ˈeɪ̯	0.087
m	ɹ_m	0.087
b	-	0.087
ˈɪ	ˈʌɪ̯	0.077
v	w_ˈɝ	0.074
v	w_ˈi	0.074
v	-	0.074
k	-	0.074
d	θ_ˈɝ	0.067
n	n_d	0.061
