Faroese	Faroese	probability
ˈʏ	-	1.0
ˈʊ_ʤ̊ː	n	1.0
ˈʉːu̯	ˈuː	1.0
ˈɛːa̯_ɹ	ˈiː	1.0
ˈɔːu̯_w	d	1.0
ˈɔ_l	ˈaː	1.0
ˈœ_l̥	l	1.0
ˈuː	-	1.0
ˈaːi̯	ˈɪ	1.0
ˈai̯	ˈaɪ̯	1.0
ˈa_ɹ	ˈaː	1.0
ʰʧ	-	1.0
ʰt͡n̥	-	1.0
ʰp	p	1.0
ʰk	ɡ	1.0
ʧ	ɡ	1.0
ʊ_ɹ_#>	#>	1.0
ʊ_#>	#>	1.0
ʃ	ʃ	1.0
ɹ_ʈ	d	1.0
ɹ_ɪ	ɐ	1.0
ɹ_a	ɐ	1.0
ɹ_#>	#>	1.0
ɲ	ŋ	1.0
ɪ_ɹ	ɐ	1.0
ɪ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_ʊ	ɐ	1.0
ŋ_ɡ̊	ŋ	1.0
v̥	-	1.0
v_a	m	1.0
t͡n̥	ɐ_n	1.0
t͡l̥	l	1.0
tʰ_ˈɛːa̯	ˈɛː	1.0
t_a	d_n	1.0
sː	n_s	1.0
s_t	s	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
r	-	1.0
pʰ	pʰ	1.0
p	b	1.0
n̥	-	1.0
nː	n	1.0
n_d̥	n	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l̥	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k_#>	ɡ_#>	1.0
k	ɡ	1.0
h	h	1.0
f	f	1.0
d̥_ɹ	d_r	1.0
d̥	d	1.0
a_ɹ	ɐ	1.0
a_#>	#>	1.0
<#_ɹ	<#_r	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_kʰ	<#	1.0
<#_j	<#_h	1.0
<#_d̥	<#_d	1.0
b̥	b	0.9
v	v	0.875
ˈɛːi̯	ˈaʊ̯	0.778
ˈɔːu̯	ˈaʊ̯	0.75
<#	<#_v	0.714
ˈɔ̯aː	ˈoː	0.667
a	n	0.64
ˈʊ̯iː	ˈiː	0.625
ˈeː	-	0.625
ʤ̊ː	n	0.6
ŋ	ŋ	0.6
t	d	0.6
ˈʊ	ˈʊ	0.579
s	z	0.576
v_ʊ_ɹ_#>	f_#>	0.571
ˈœ	-	0.556
ˈøː	ˈɔʏ̯	0.556
tʰ	d	0.556
ˈɛːa̯	ˈa	0.545
ˈɛ	-	0.545
ˈa	ˈa	0.529
ˈɔːi̯	ˈɔʏ̯	0.5
ˈɔːi̯	ˈaʊ̯	0.5
ˈoː	ˈoː	0.5
ˈoː	ˈaʊ̯	0.5
ʧʰ	kʰ	0.5
ʧʰ	d	0.5
ʤ̊	ɡ	0.5
ʤ̊	-	0.5
ʊ	ç	0.5
w	d	0.5
w	-	0.5
#>	n_#>	0.5
#>	f_#>	0.5
ˈɔ	-	0.462
ʰt	d	0.462
ˈɪ	ˈɪ	0.455
tʰ	tʰ	0.444
ˈiː	ˈɪ	0.429
v_ʊ_ɹ_#>	#>	0.429
j	d	0.429
j	-	0.429
ɹ	ɐ	0.417
ʤ̊ː	-	0.4
ŋ	ɪ	0.4
t	t	0.4
ˈeː	ˈeː	0.375
ɹ	r	0.375
ˈɔ̯aː	ˈaʊ̯	0.333
ˈɪ	-	0.318
ˈɔ	ˈa	0.308
ʰt	t	0.308
ɡ̊	ɡ	0.308
ɡ̊	ç	0.308
ʊ	ɐ	0.3
ˈiː	ˈøː	0.286
ˈiː	ˈeː	0.286
<#	<#_ʒ	0.286
ˈɛːa̯	ˈoː	0.273
ˈɛ	ˈɪ	0.273
ˈɔːu̯	ˈaɪ̯	0.25
s	ʃ	0.242
ˈa	ˈoː	0.235
ˈa	-	0.235
ʰt	x_d	0.231
ˈɪ	ˈʏ	0.227
ˈɛːi̯	-	0.222
ˈœ	ˈɔ	0.222
ˈœ	ˈa	0.222
ˈøː	ˈøː	0.222
ˈøː	ˈeː	0.222
ʊ	-	0.2
ˈʊ̯iː	ˈyː	0.188
ˈʊ̯iː	ˈaɪ̯	0.188
ˈɛːa̯	ˈɛ	0.182
ˈɛ	ˈa	0.182
s	s	0.182
ˈɔ	ˈœ	0.154
ɡ̊	ŋ	0.154
ɡ̊	-	0.154
j	ˈɛ	0.143
ɹ	ɐ_d	0.125
v	f	0.125
a	ŋ	0.12
a	-	0.12
ˈʊ	ˈʏ	0.105
ˈʊ	ˈuː	0.105
ˈʊ	ˈaɪ̯	0.105
ˈʊ	-	0.105
b̥	-	0.1
ɹ	-	0.083
a	m	0.08
ˈɔ	ˈɔː	0.077
ɡ̊	j	0.077
