Scots	Scots	probability
ˈɪ_t	ˈʊ_s	1.0
ˈɛː	ˈɛ_ɡ	1.0
ˈəi̯	ˈaɪ̯	1.0
ˈɑː_#>	ˈɛɪ̯_#>	1.0
ˈøː	ˈʊ_χ	1.0
ˈuː_#>	ˈʊ_#>	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈiː_#>	ˈaɪ̯_#>	1.0
ˈaːɪ̯	ˈɪ	1.0
ˈaː	ˈɪ_χ	1.0
ʧ	-	1.0
ʤ	k	1.0
ʍ	v	1.0
ʃ	ʃ	1.0
ɪ	ə_χ	1.0
ɛ	ə	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
ç	χ	1.0
z	z	1.0
x	χ	1.0
w	v	1.0
v	-	1.0
tʰ	ʦ	1.0
s_t	s_t	1.0
p_#>	f_#>	1.0
p	f_n	1.0
m	m	1.0
l	ɫ	1.0
kʰ	k	1.0
j	-	1.0
i	ɪ_k	1.0
h	h	1.0
f_#>	b_#>	1.0
f	f	1.0
e	ɪ_k	1.0
b	b	1.0
<#_ˈiː	<#_ˈɔɪ̯	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
r	ʀ	0.964
n	n	0.917
ɡ	ɡ	0.818
ə	ə	0.783
ˈu	ˈɔɪ̯	0.75
θ	d	0.727
ˈø	ˈʊ	0.714
ˈo	ˈɔ	0.714
ˈʌ	ˈʊ	0.692
d	t	0.675
ˈɑː	ˈa	0.667
#>	ɡ_#>	0.636
ˈeː	ˈɔ	0.625
s	z	0.595
ˈa	ˈa	0.583
ð	d	0.571
ˈɪ	ˈɪ	0.553
ˈʌu̯	ˈɔ_ɫ	0.5
ˈʌu̯	-	0.5
ˈe	ˈɛɪ̯	0.5
k	χ	0.471
ˈɛ	ˈɛ	0.444
ð	t	0.429
<#	<#_t	0.429
t	t	0.421
ˈa	ˈɛ	0.417
k	k	0.412
t	s	0.395
ˈeː	ˈɔ_ɡ	0.375
s	ʃ	0.351
ˈɑː	ˈa_ɫ	0.333
ˈiː	ˈɛ	0.333
ˈʌ	-	0.308
ˈi	ˈɪ	0.3
ˈø	-	0.286
ˈo	-	0.286
<#	<#_ˈɔɪ̯	0.286
<#	<#_ɡ	0.286
d	d	0.275
ˈiː	ˈɪ	0.267
ˈu	ˈɔɪ̯_ɡ	0.25
ˈi	ˈɔɪ̯	0.25
ˈɛ	ˈa	0.222
ˈe	ˈa	0.222
ˈi	ˈɔ	0.2
t	ʦ	0.184
θ	-	0.182
ɡ	-	0.182
#>	f_#>	0.182
#>	b_#>	0.182
ˈɛ	ˈɛɪ̯	0.167
ˈɛ	-	0.167
ˈe	ˈɔɪ̯	0.167
ˈi	ˈɛ	0.15
ˈiː	ˈɪ_ʀ	0.133
ˈiː	ˈɔɪ̯	0.133
ˈiː	ˈaɪ̯	0.133
ə	-	0.13
k	k_ə	0.118
ˈe	ˈɔ	0.111
ˈɪ	ˈʊ	0.105
ˈɪ	ˈɛ	0.105
ˈɪ	ˈɔ	0.105
ˈi	ˈʊ	0.1
θ	a	0.091
ə	ɡ_ə	0.087
n	n_ə	0.083
ˈɪ	ˈaɪ̯	0.079
s	s	0.054
ˈɪ	ˈa	0.053
