West Flemish	Elfdalian	probability
ˈɪ_w	ˈœ	1.0
ˈɪ_n	nː	1.0
ˈoː_v	ʏ	1.0
ʃ	s	1.0
ɾ_n	nː	1.0
ɪ	ʉ	1.0
ɦ_ɾ	ɡ_r	1.0
ɦ_ə	ɡː	1.0
ŋ	ŋ	1.0
ç	n	1.0
v̥	v	1.0
t_ʋ	tʰ	1.0
s_l	l̥	1.0
m	m	1.0
j	-	1.0
iə̯	ɔ̃	1.0
b	b	1.0
ɾ	r	0.927
l	ɽ	0.905
z	s	0.904
ɦ̥	ɣ	0.869
ˈɪ	ˈɪ	0.861
ˈu	ˈʉ	0.847
t	t	0.834
ˈyː	ˈɑːu̯	0.775
s	s	0.761
h_t	tː	0.695
ˈuə̯	ˈʉːə̯	0.691
ˈɔ	-	0.678
p	p	0.673
ˈɛː	ˈiːe̯	0.642
v	f	0.641
ʋ	w	0.605
k	k	0.579
ˈøː	-	0.574
ˈɛ	-	0.561
d̥	ð	0.545
h	ʨ	0.53
ˈɑ	ˈɑ	0.506
ˈœ	ˈʏ	0.5
ˈœ	ˈʉ	0.5
w	-	0.487
ˈi	ˈɑːi̯	0.482
ə	ɑ	0.471
h	-	0.47
d̥	d	0.455
d	d	0.448
ˈɛ	ˈɪ	0.439
ˈi	ˈɪː	0.436
n	n	0.436
ˈøː	ˈʉː	0.426
ˈæ	-	0.389
ˈɒː	ˈɔː	0.387
ɦ	ɣ	0.367
ˈɛː	j	0.358
ə	ɛ	0.33
ˈɔ	ˈo	0.322
ˈoː	-	0.318
d	tʰ	0.313
ˈuə̯	ˈyːœ̯	0.309
h_t	k_t	0.305
ˈoː	ˈœː	0.299
w	ˈɔː	0.295
ˈiə̯	j_ˈʉːə̯	0.294
ʋ	-	0.256
ˈɒː	ˈɑ	0.25
k	ʨ	0.249
ˈoː	ˈʉə̯	0.248
n	ɑ	0.244
s	s_k	0.239
ˈɒː	ˈɑː	0.234
ɦ	-	0.226
ˈyː	ˈʉː	0.225
w	ˈʉːə̯	0.218
ˈæ	ˈɛ	0.217
ˈeː	ˈiːe̯	0.21
ˈɑ	ˈɑː	0.208
ˈeː	-	0.202
ɦ	ɡ	0.202
ˈiə̯	j	0.196
ˈeː	ɛ	0.189
v	v	0.183
ˈɑ	-	0.179
p	pː	0.177
ˈiə̯	ˈʏː	0.176
v	-	0.176
k	kː	0.171
ˈæ	j_ˈæ	0.168
ˈu	ˈo_l	0.153
ˈiə̯	ˈɪː	0.152
ɦ	ʥ	0.152
p	pʰ	0.15
ˈæ	j	0.143
ˈɪ	-	0.139
ʋ	w_ˈɛː	0.139
ˈeː	ˈɪː	0.135
ˈeː	ˈɛ	0.135
ˈoː	ˈæː	0.134
ɦ̥	rː	0.131
ˈeː	ˈæ	0.13
ˈɒː	-	0.128
ə	ʉ	0.122
d	-	0.12
d	ð	0.118
t	tː	0.115
ˈɑ	ˈɔ̃ː	0.106
ˈiə̯	-	0.106
n	-	0.104
z	s_j	0.096
l	lː	0.095
n	nː	0.092
ˈæ	ˈyœ̯	0.083
ˈi	ˈɪ̃ː	0.081
ə	-	0.078
ˈiə̯	ˈʉːə̯	0.077
ɾ	ɛ_r	0.073
n	ɔ	0.055
ɦ	ʥː	0.053
t	-	0.051
