Ukrainian	Polish	probability
ˈɪ_j	i	1.0
ʧ	ʈ͡ʂ	1.0
ʦ	ʦ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɫ_#>	w_#>	1.0
ɔ_ɫ	w	1.0
ɔ_d	ˈɔ_d	1.0
ɔ_#>	ɔ_#>	1.0
z_ɛ	ʑ	1.0
z	z	1.0
x	x	1.0
t_e	ʨ	1.0
t_#>	t_#>	1.0
sʲ	ɕ	1.0
s_#>	s_#>	1.0
rʲ	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ_#>	ɲ_#>	1.0
n_e	n	1.0
m_#>	m_#>	1.0
m	m	1.0
lʲ_#>	l_#>	1.0
lʲ	l	1.0
kʲ	k	1.0
k	k	1.0
e_j	ɨ	1.0
e	-	1.0
d_#>	t_#>	1.0
bʲ	b	1.0
b_#>	p_#>	1.0
b	b	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_nʲ	<#_n	1.0
<#	<#_j	1.0
ʋ	v	0.818
tʲ	ʨ	0.818
r	r	0.8
ɦ	ɡ	0.786
ɫ	w	0.769
t	t	0.75
n	n	0.714
ˈɑ	a	0.706
s	s	0.692
d	d	0.692
ˈɛ	ˈɛ	0.667
ʋʲ	v_j	0.667
ɛ	ɛ	0.667
ˈu	ˈɔ	0.6
w	v	0.6
i	ɛ	0.6
ˈɔ	ˈɔ	0.526
ɐ	a	0.462
ˈɪ	ˈɨ	0.455
ɔ	ˈɔ	0.438
j	ɨ	0.412
j	j	0.412
ˈu	ˈu	0.4
w	f	0.4
i	j_ˈa	0.4
ˈɪ	ˈi	0.364
ˈi	ˈa	0.357
ˈɛ	j_ˈɛ	0.333
ʋʲ	v	0.333
ɛ	ˈɛ	0.333
ɔ	-	0.312
s	ɕ	0.308
d	ʥ	0.308
ˈi	ˈɔ	0.286
n	ɲ	0.286
t	ʨ	0.25
ɫ	l	0.231
ɐ	ˈa	0.231
ɦ	k	0.214
ˈɪ	-	0.182
ʋ	f	0.182
tʲ	ɲ_ʨ	0.182
ˈi	ˈɛ	0.179
ˈi	ˈu	0.179
ˈɑ	ˈa	0.176
j	i	0.176
ˈɔ	ˈɛ	0.158
ˈɔ	ˈu	0.158
ˈɔ	ɛ	0.158
ɐ	ˈɛ_w̃	0.154
ɐ	ɛ_ɲ	0.154
ɔ	ˈu	0.125
ɔ	ɔ	0.125
r	ʐ	0.12
ˈɑ	ɛ_w̃	0.118
r	ʂ	0.08
