Ligurian	Ligurian	probability
ˈøː_ɡ	ˈøː	1.0
ˈøː	ˈuː	1.0
ˈyː	-	1.0
ˈy_ɲ	ˈœ̃	1.0
ˈy_t	ˈɔ	1.0
ˈu_ŋ	ˈɔ̃	1.0
ˈi_ŋ	ˈẽ	1.0
ˈeː_ʤ	ˈiː	1.0
ˈe_ŋ	ˈɛ̃	1.0
ˈe_k	ˈɛ_ʧ	1.0
ˈaː_r	ˈɔː	1.0
ʤ_a	j	1.0
ʒ_e	ˈɛ	1.0
ʃ	ʃ	1.0
ɲ_a	ɲ	1.0
ɡ_a	j	1.0
ɔː	-	1.0
ŋ_#>	#>	1.0
z_e_n	ɲː	1.0
y	uː	1.0
w_ˈɛː	ˈɛ_ʀ	1.0
w_ˈiː	ˈɔ	1.0
v_j	f	1.0
v_e	ʀ	1.0
u_ŋ	ɔ̃	1.0
t_r	t	1.0
sː	ʧ	1.0
s_t	ˈɛ_s	1.0
s_a	t	1.0
r_t	ˈa	1.0
o	-	1.0
l	l	1.0
k_a	ʧ	1.0
i_ŋ	ẽ	1.0
i	-	1.0
f	f	1.0
e_#>	#>	1.0
b	b	1.0
a_ŋ	ɑ̃	1.0
a_v	f	1.0
a_#>	#>	1.0
<#_ʃ	<#_f_l	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
u_#>	#>	0.946
p	p	0.903
ɡ	-	0.857
m	m	0.846
v	v	0.767
l_u_#>	ˈa_#>	0.75
j	-	0.75
s	s	0.739
ʤ	-	0.727
ŋ_a	n	0.714
ˈɛ	ˈɛ	0.667
ˈɔː	w	0.667
u	-	0.667
r	ʀ	0.647
d	d	0.619
ˈu	ˈɔ	0.583
n	-	0.583
ˈa_ŋ	ˈɑ̃	0.571
ˈeː	-	0.538
t	t	0.52
k	k	0.514
ˈɔ	ˈɔ	0.5
ˈy	ˈy	0.5
ˈy	-	0.5
ˈe_j	ˈøː_ʀ	0.5
ˈe_j	w	0.5
ɲ	ɲ	0.5
ɲ	-	0.5
z	ʤ	0.5
#>	ʀ_#>	0.5
t	-	0.48
ˈiː	ˈi	0.462
ˈuː	ˈøː	0.455
ʒ	-	0.444
ˈø	-	0.429
ˈa_ŋ	ˈɛ̃	0.429
ŋ	ˈɛ̃	0.429
ˈaː	ˈe	0.423
w	w	0.417
n	n	0.417
ˈi	ˈi	0.4
a	j	0.4
d	-	0.381
ˈe	j	0.368
ˈuː	w	0.364
k	ʧ	0.351
ˈɛ	j	0.333
ˈɔː	ˈoː	0.333
ʧ	p_l	0.333
ʧ	k_l	0.333
ʧ	-	0.333
ʒ	ʒ	0.333
z	-	0.333
w	ɔ	0.333
u	j	0.333
a	a	0.333
ˈiː	ˈiː	0.308
ˈeː	ˈiː	0.308
ˈi	ˈɛ	0.3
ˈi	-	0.3
ˈɛː	ˈɛː	0.286
ˈɛː	ˈɛ	0.286
ˈø	ˈɔ	0.286
ˈø	ˈuː	0.286
ŋ_a	ˈɛ̃ː_n	0.286
e	ʀ	0.286
e	-	0.286
ˈa	ˈa	0.28
ʤ	ʤ	0.273
r	-	0.265
ˈɔ	ɔ	0.25
ˈɔ	-	0.25
ˈu	ˈuː	0.25
w	-	0.25
l_u_#>	#>	0.25
ˈiː	-	0.231
ʒ	ʃ	0.222
ˈɛː	ˈe	0.214
ˈɛː	-	0.214
ˈe	ˈɛ	0.211
ˈe	w	0.211
ˈe	-	0.211
ˈaː	ˈiː	0.192
e	ɛ	0.19
ˈuː	-	0.182
ˈu	ˈu	0.167
z	s	0.167
ˈa	ˈɔː	0.16
ˈa	-	0.16
ˈeː	ˈeː	0.154
m	-	0.154
s	-	0.152
ɡ	ɡ	0.143
ŋ	ˈɔ̃	0.143
ŋ	ˈẽ	0.143
ŋ	n	0.143
ŋ	-	0.143
e	j	0.143
k	-	0.135
v	-	0.133
a	ɛ	0.133
a	n	0.133
j	ˈɛː	0.125
j	ɔ	0.125
#>	ˈẽ_#>	0.125
#>	ˈa_#>	0.125
#>	t_#>	0.125
#>	j_#>	0.125
ˈa	w	0.12
ˈa	l	0.12
ˈaː	ˈɔː	0.115
ˈaː	-	0.115
s	ʃ	0.109
v	f	0.1
p	-	0.097
e	i	0.095
r	ˈa	0.088
ˈa	ˈɛ̃	0.08
ˈa	ˈɑ̃	0.08
ˈaː	z	0.077
ˈaː	a	0.077
u_#>	ˈɛ_#>	0.054
