Yiddish	Yiddish	probability
χ_t	ʔ	1.0
ˈʊ_#>	ˈaʊ̯_#>	1.0
ˈɪ_χ	ˈʌɪ̯	1.0
ˈɪ_ʀ	ˈi	1.0
ˈɪ_ɡ	ˈaɪ̯	1.0
ˈɛ_ɡ	ˈeɪ̯	1.0
ˈɔ_ʀ	ˈɝ	1.0
ˈɔ_ɡ	ˈeɪ̯	1.0
ˈɔ_n	ˈʌ_n	1.0
ˈɔ_f	ˈi_p	1.0
ˈaɪ̯_n	ˈaɪ̯_n	1.0
ˈa_χ	ˈʌɪ̯	1.0
ˈa_ɫ	ˈæ	1.0
ʀ_ˈʊ	ɹ	1.0
ʀ_n	ɹ_n	1.0
ɫ_d	ɫ_d	1.0
ɪ_k	i	1.0
ə_ʀ	ɚ	1.0
ə	-	1.0
ŋ	ŋ	1.0
t_ə	ð	1.0
s_ə	ɾ	1.0
s_n	ʔ	1.0
p	p	1.0
n_ə	n	1.0
k_ə	k	1.0
k_s	k_s	1.0
j	j	1.0
h	h	1.0
f_n	p	1.0
d_ə	ð	1.0
b_n	v	1.0
b_#>	f_#>	1.0
a	-	1.0
<#_ʀ	<#_ɹ	1.0
<#_n	<#_n	1.0
v	w	0.929
m	m	0.923
z	s	0.875
b	b	0.842
f	f	0.821
s	ʔ	0.692
ˈʊ	ˈʌ	0.682
t	d	0.623
ˈɛɪ̯	ˈoʊ̯	0.615
ʀ	ɹ	0.561
ʃ	s	0.56
ʦ	tʰ	0.545
ɫ	ɫ	0.524
n	-	0.519
ˈɛ	ˈɛ	0.5
ɡ	ɡ	0.5
ɡ	-	0.5
ɛ	ɹ	0.5
ɛ	-	0.5
d	θ	0.5
d	d	0.5
n	n	0.481
ɫ	l	0.476
χ	k	0.467
ʦ	ʔ	0.455
ˈɪ	ˈɪ	0.444
ʃ	ʃ	0.44
k	kʰ	0.421
ˈaɪ̯	ˈaɪ̯	0.375
ˈɔɪ̯	ˈaʊ̯	0.364
ʀ	ɚ	0.341
χ	-	0.333
ˈaɪ̯	ˈʌɪ̯	0.312
s	s	0.308
ˈɔ	ˈɑ	0.278
ˈɔɪ̯	ˈɛ	0.273
ˈɔɪ̯	ˈi	0.273
ˈa	ˈeɪ̯	0.241
ˈɛɪ̯	ˈɛ	0.231
ˈɪ	ˈi	0.222
ˈɔ	-	0.222
k	ʧ	0.211
ˈa	ˈɑ	0.207
χ	ʧ	0.2
ˈɛ	ˈi	0.192
t	t	0.189
ˈaɪ̯	ˈi	0.188
ˈʊ	ˈʊ	0.182
f	p	0.179
ˈa	ˈɛə̯	0.172
ˈɪ	ˈaɪ̯	0.167
ˈɔ	ˈi	0.167
k	k	0.158
b	v	0.158
ˈɛɪ̯	ˈi	0.154
ˈɛ	ˈɪ	0.154
ˈɛ	-	0.154
ˈa	ˈæ	0.138
ˈʊ	ˈu	0.136
ˈaɪ̯	-	0.125
z	z	0.125
ˈɪ	-	0.111
ˈɔ	ˈʊ	0.111
ˈɔ	ˈɔ	0.111
ˈɔ	ˈoʊ̯	0.111
k	ʤ	0.105
k	-	0.105
ˈa	ˈɔ	0.103
ʀ	-	0.098
t	ʔ	0.094
ˈɔɪ̯	-	0.091
m	-	0.077
v	-	0.071
ˈa	ˈɛ	0.069
ˈa	ˈoʊ̯	0.069
t	θ	0.057
ˈɪ	ˈɛ	0.056
