West Flemish	West Flemish	probability
ˈɔ_ɾ	r_ˈu	1.0
ˈɑ_s	ˈɑ_s	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈɑ	ˈɑ	1.0
ˈøː	ˈu	1.0
ˈæ_ɾ	r_ˈi	1.0
ˈyː	ˈuː	1.0
ˈuə̯	ˈɔː	1.0
ˈiə̯_n	ɑi̯	1.0
ˈeː_v	ˈe_β	1.0
ʃ_h	s_k	1.0
ɾ_#>	#>	1.0
ɪ	i	1.0
ɦ_ɾ	ɣ_r	1.0
ə_l	l_ɑ	1.0
ə_#>	#>	1.0
ç	ɣ	1.0
z̥	s	1.0
z	s	1.0
w	l	1.0
s_l	s_l	1.0
j	-	1.0
iə̯	e_x	1.0
h	x	1.0
b	b	1.0
<#_ˈɒː	<#_x_ˈɑ	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɾ	<#_r	1.0
<#_ɦ	<#_ɣ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_x	1.0
m	m	0.955
v	ɸ	0.903
ˈɛː	ˈɑi̯	0.9
t	t	0.897
ʋ	w	0.87
ˈɪ	ˈi	0.846
s	s	0.833
p	p	0.833
ˈɔ	ˈu	0.818
ɦ	ɣ	0.818
ŋ	ŋ	0.818
ˈæ	ˈe	0.8
ˈi	ˈiː	0.8
ɾ	r	0.782
l	l	0.778
ɦ̥	ɣ_ɑ	0.75
k	k	0.714
ˈœ	ˈu	0.667
v̥	β_ɑ	0.625
n	n	0.603
ˈoː	ˈɑu̯	0.593
ˈɒː	ˈɑ	0.529
ˈɛ	ˈi	0.5
d	d	0.452
ˈu	ˈu	0.444
ˈiə̯	ˈeu̯	0.429
d	θ	0.419
ˈeː	ˈɑi̯	0.417
ˈeː	ˈe	0.417
#>	ɑ̃_#>	0.378
v̥	β	0.375
n	ɑ_n	0.368
ˈu	ˈɑ_l	0.333
ˈoː	ˈu	0.333
d̥	ð	0.333
#>	z_#>	0.297
d̥	θ	0.296
ˈɒː	ˈɛː	0.294
ˈɛ	ˈɑ_ɣ	0.25
ˈɛ	-	0.25
ɦ̥	ɣ	0.25
ˈœ	-	0.222
ˈu	ˈu_ŋ	0.222
ə	ɔ̃ː	0.22
#>	ɑ_z_#>	0.215
ˈæ	ˈi	0.2
ˈi	-	0.2
ˈiə̯	ˈe	0.19
k	ɡ_ɑ	0.19
d̥	d_ɑ	0.185
ˈɔ	ˈɑ	0.182
ɦ	j	0.182
ŋ	ɡ	0.182
ˈɒː	ˈɑː	0.176
ə	ɔːː	0.171
ˈeː	ˈi	0.167
p	pː	0.167
ˈɪ	-	0.154
ˈiə̯	ˈiu̯	0.143
ˈiə̯	-	0.143
ʋ	xʷ	0.13
ə	-	0.122
ˈœ	ˈĩː	0.111
s	s_k	0.111
l	lː	0.111
l	l_ɑ	0.111
d̥	d	0.111
ˈɛː	jː	0.1
ə	ɔː	0.098
ə	u	0.098
v	β	0.097
ˈiə̯	ˈi_j	0.095
ɾ	r_ɑ	0.091
ˈoː	-	0.074
d̥	d_u	0.074
ə	i_z	0.073
d	ð_ɛː	0.065
d	-	0.065
s	sː	0.056
ɾ	ɛː	0.055
#>	s_#>	0.052
t	tː	0.051
t	t_u	0.051
