Brazilian Portuguese	Brazilian Portuguese	probability
ˈũ_j̃	ˈœ̃	1.0
ˈo_ɡ	ˈøː	1.0
ˈo_w	ˈoː	1.0
ˈo_v	ˈuː	1.0
ˈo_d	ˈɔ	1.0
ˈĩ_j̃	ˈẽ	1.0
ˈi_l	ˈɛ	1.0
ˈẽ_j̃	ˈẽ	1.0
ˈa_ɦ	ˈɔː	1.0
ˈa_w	ˈɔː	1.0
ˈa_h	ˈe	1.0
ˈa_d	ˈɛː	1.0
ʧ_i_#>	#>	1.0
ʧ	t	1.0
ʒ_u	ɲː	1.0
ʎ_ɐ	j	1.0
ʎ_u_#>	#>	1.0
ʎ	j	1.0
ʃ_ɐ	ʃ	1.0
ʃ_t	ˈɛ_s	1.0
ʃ_#>	#>	1.0
ɡ_ɐ	j	1.0
ɡ_w	w	1.0
ɡ_u_#>	#>	1.0
ɐ̃	ɑ̃	1.0
ɐ_#>	#>	1.0
w̃	-	1.0
w_#>	#>	1.0
u_#>	#>	1.0
t_u_#>	#>	1.0
õ	ɔ̃	1.0
l_u	ˈa	1.0
k_ˈo	k_w	1.0
k_ɐ	ʧ	1.0
k_a	ʧ	1.0
ĩ	ẽ	1.0
h_ʧ	ˈa_ʀ	1.0
h_#>	#>	1.0
f	f	1.0
e_ʃ	s	1.0
d_ɐ	j	1.0
b_ɾ	f	1.0
a_ʒ	ɛː	1.0
<#_ˈɐ̃	<#_ˈɑ̃	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_h	<#_ʀ	1.0
<#	<#_a	1.0
#>	ˈɛ_#>	1.0
i	-	0.923
p	p	0.9
t	t	0.889
o	ɔ	0.818
n	n	0.789
u	-	0.778
ˈẽ	ˈɛ̃	0.75
ɦ	ʀ	0.75
ẽ	-	0.75
ɾ	ʀ	0.73
ʒ	ʤ	0.727
m	m	0.72
h	ʀ	0.706
ˈõ	ˈɔ̃	0.7
v	v	0.697
s	s	0.69
j	-	0.636
b	b	0.619
ˈũ	ˈɔ̃	0.6
ʤ	-	0.6
ɾ_i_#>	#>	0.6
j_ʃ	ˈɛ	0.6
d	d	0.571
j̃	ɲ	0.533
k	k	0.515
ˈe_j	ˈiː	0.5
ˈe_j	ɛ	0.5
ɐ	n	0.5
ɐ	j	0.5
z	-	0.429
d	-	0.429
ˈɛ	j	0.421
e	ɛ	0.421
e	-	0.421
a	a	0.412
ˈũ	ˈu	0.4
ʤ	d	0.4
ɾ_i_#>	p_#>	0.4
ɡ	k	0.4
ɡ	-	0.4
j_ʃ	ˈoː_t	0.4
ˈi	ˈi	0.368
ˈu	-	0.364
l	l	0.364
l	-	0.364
k	ʧ	0.364
j	ˈɛ	0.364
ˈɔ	w	0.333
ˈĩ	ˈɛ̃	0.333
ˈĩ	ˈɛ	0.333
ˈĩ	ˈẽ	0.333
w	l	0.333
j̃	n	0.333
ˈõ	ˈɔ	0.3
a	-	0.294
ˈo	ˈɔ	0.292
ˈe	w	0.286
z	ʒ	0.286
z	s	0.286
ˈɐ̃	ˈɛ̃	0.278
ˈɐ̃	ˈɑ̃	0.278
ˈu	ˈuː	0.273
ʒ	-	0.273
l	j	0.273
ɾ	-	0.27
ˈi	ˈɛ	0.263
ʃ	ʃ	0.263
ʃ	s	0.263
ˈa	ˈiː	0.259
ˈa	ˈa	0.259
ˈo	ˈuː	0.25
ˈẽ	ˈɛ	0.25
ɦ	-	0.25
ẽ	ɛ̃	0.25
b	-	0.238
ˈɐ̃	ˈɔ̃	0.222
ˈɐ̃	ˈa	0.222
ˈa	ˈɔː	0.222
w	ˈoː	0.222
w	w	0.222
w	-	0.222
u	ˈa	0.222
ˈɛ	ˈiː	0.211
ˈi	ˈiː	0.211
n	-	0.211
ɡ	ɡ	0.2
ˈu	ˈøː	0.182
ˈu	ˈy	0.182
v	-	0.182
o	-	0.182
h	ˈɛː_ʀ	0.176
a	ɛ	0.176
ˈe	ˈɛ	0.171
s	ʃ	0.167
m	-	0.16
ˈɛ	-	0.158
ˈi	ˈe	0.158
ʃ	p_l	0.158
e	a	0.158
ˈa	-	0.148
ˈɔ	ˈøː	0.143
ˈɔ	ˈuː	0.143
ˈe	-	0.143
s	-	0.143
b	f	0.143
j̃	-	0.133
ˈo	ˈøː	0.125
ˈo	ˈu	0.125
ˈo	-	0.125
v	f	0.121
k	-	0.121
m	m_w	0.12
h	ˈe	0.118
a	ɔː	0.118
ˈe	ˈi	0.114
ˈa	ˈe	0.111
t	-	0.111
ˈɛ	ˈɛ	0.105
ˈɛ	j_ˈɛ	0.105
ʃ	k_l	0.105
ʃ	f_l	0.105
ʃ	-	0.105
p	-	0.1
ˈɔ	ˈoː	0.095
ˈɔ	ɔ_z	0.095
ˈɔ	ɔ	0.095
ˈɔ	-	0.095
ˈe	ˈiː	0.086
ˈe	ˈeː	0.086
ˈo	ɔ	0.083
i	i	0.077
ˈe	ˈɔ	0.057
ˈe	j	0.057
