Proto-Slavic	Russian	probability
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʒ_ĭ	ʂ	1.0
ʒ	ʐ	1.0
ɨ̌	ˈɨ	1.0
ɨˀ	ˈɨ	1.0
ɡ_ŭ_#>	k_#>	1.0
ɡ	ɡ	1.0
ɛ̌	ˈe	1.0
ɛ̂ː	ˈe	1.0
ɛː	ɪ	1.0
ɛˀ	ˈe	1.0
ɛ	ɪ	1.0
x	x	1.0
ŭ̌	ˈo	1.0
ŭ̂	ˈo	1.0
ŭ_t	ə_tʲ	1.0
ŭ_#>	#>	1.0
t_ŭ_#>	t_#>	1.0
t_ĭ	tʲ	1.0
t_i	tʲ	1.0
t	t	1.0
õː	ʊ	1.0
ôː	ˈo	1.0
ô	ˈo	1.0
n_ĭ	nʲ	1.0
k_r	k_r	1.0
j	j	1.0
ǐ	ˈi	1.0
ĭ̂	ˈo	1.0
ĭˀ	ˈo	1.0
ĭ_ʦ	ʦ	1.0
ĭ_#>	#>	1.0
i	ˈi	1.0
ě	ˈɵ	1.0
ẽ̂ː	ˈæ	1.0
ẽː	ɪ	1.0
ẽ	ɪ	1.0
ê	ˈe	1.0
d_ŭ	t	1.0
b_ŭ_#>	p_#>	1.0
ǎ	ˈa	1.0
aˀ	ˈa	1.0
a	ə	1.0
<#_s	<#	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
n	n	0.818
l	ɫ	0.767
ǒ	ˈo	0.75
r	r	0.741
k	k	0.72
d	d	0.667
e	ɪ	0.647
<#_t	<#_tʲ	0.625
s	s	0.615
p	pʲ	0.583
o	ə	0.579
z	z	0.556
v	vʲ	0.533
m	mʲ	0.533
ŭ	ɨ	0.5
ĭ̌	ˈɵ	0.5
ĭ̌	ˈe	0.5
b	bʲ	0.5
b	b	0.5
<#_v	<#_vʲ	0.5
<#_v	<#_v	0.5
<#_d	<#_dʲ	0.5
<#_d	<#_d	0.5
v	v	0.467
m	m	0.467
z	zʲ	0.444
ĭ	-	0.429
o	ɐ	0.421
p	p	0.417
s	sʲ	0.385
<#_t	<#_t	0.375
d	dʲ	0.333
ĭ	ˈe	0.286
ĭ	nʲ	0.286
r	rʲ	0.259
ŭ	ɪ	0.25
ǒ	ɐ	0.25
l	lʲ	0.233
n	nʲ	0.182
ŭ	ɨ_j	0.15
k	kʲ	0.12
e	ə	0.118
e	ɐ	0.118
e	e	0.118
ŭ	-	0.1
k	ʦ	0.08
k	-	0.08
