Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɛ_ʀ	ˈa_r	1.0
ˈɛ_j	ˈi_l	1.0
ˈœ̃	j_ˈu	1.0
ˈy	ˈu	1.0
ˈi_#>	ˈi_#>	1.0
ˈi	ˈiː	1.0
ˈeː	-	1.0
ˈa_#>	#>	1.0
ʤ	ʤ	1.0
ʒ	ʧ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛː	j_u	1.0
ɔ̃	o_n	1.0
ɔː	-	1.0
ɑ̃	a	1.0
z	-	1.0
w_ˈɛ_#>	ˈe_#>	1.0
w_ˈa	w_ˈa	1.0
v	v	1.0
uː	-	1.0
t_ˈɔ	d_ˈu	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	l_e_#>	1.0
j_ˈɛ	j_ˈɛ	1.0
j_#>	#>	1.0
f_#>	#>	1.0
ẽ	i_ŋ	1.0
d	d	1.0
b	b	1.0
<#_ʤ	<#	1.0
<#_ʀ	<#_r	1.0
<#_ɔ	<#_o	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_a	<#	1.0
<#	<#_a	1.0
p	p	0.935
ʀ	r	0.907
l	l	0.889
k	k	0.885
ˈe	ˈaː	0.867
ʧ	c	0.85
ʃ	s	0.833
f	f	0.833
<#_n	<#_n	0.818
t	t	0.789
a	a	0.75
ˈẽ	ˈi_ŋ	0.714
ɛ	-	0.7
ˈu	-	0.667
ʀ_#>	i_#>	0.667
s	s	0.667
i	i	0.667
n	n_e	0.571
ɔ	-	0.556
ˈɛː	ˈɛ	0.5
ˈɛː	ˈa_d	0.5
ˈɔ	ˈo	0.5
ˈɑ̃	ˈa_ŋ	0.5
ˈɑ̃	ˈa_n	0.5
ˈa	ˈa	0.5
w_ˈɛ	ˈoː_s	0.5
w_ˈɛ	ˈeː_t	0.5
#>	e_#>	0.456
ˈøː	ˈoː	0.455
ɔ	o	0.444
w	-	0.438
ˈoː	ˈa_l	0.429
ˈɔ̃	ˈo_ŋ	0.417
ˈɔ̃	ˈo_n	0.417
ˈɔː	ˈa	0.417
ˈa	ˈɛ_l	0.375
ˈiː	ˈaː	0.368
ˈøː	ˈuː	0.364
ˈuː	ˈuː	0.364
ˈɛ̃	ˈi_n	0.357
ˈɛ	ˈe	0.333
ˈɔː	-	0.333
ˈu	ˈu	0.333
ʀ_#>	#>	0.333
i	-	0.333
ˈiː	ˈi	0.316
j	j	0.31
ɛ	i	0.3
ˈoː	ˈa	0.286
ˈoː	-	0.286
ˈẽ	ˈɛ_ŋ	0.286
ˈuː	ˈo	0.273
ˈɔː	ˈa_l	0.25
a	-	0.25
s	ʧ	0.222
ˈɛ̃	n	0.214
ˈɔ	w_ˈɛ	0.214
t	t_r	0.211
j	e	0.207
ˈɛ	ˈi	0.19
w	ˈa	0.188
ˈøː	-	0.182
ˈuː	w_ˈi	0.182
ˈuː	-	0.182
<#_n	<#_ɲ	0.182
ˈɔ̃	ˈu_ŋ	0.167
ʃ	s_i	0.167
#>	s_#>	0.162
ˈiː	ˈiː	0.158
ˈiː	j_ˈɛ	0.158
ʧ	-	0.15
ˈɛ̃	ˈe_ŋ	0.143
ˈɛ̃	ˈa_n	0.143
ˈɛ̃	ŋ	0.143
ˈɛ	ˈa	0.143
ˈɛ	j_ˈɛ	0.143
ˈɔ	ˈɔ	0.143
ˈɔ	ˈoː	0.143
n	ɲ	0.143
n	n	0.143
n	e	0.143
j	-	0.138
ˈe	i	0.133
ˈa	l	0.125
w	ˈe	0.125
w	ɡ_e	0.125
w	e	0.125
#>	i_#>	0.118
k	ɡ	0.115
l	-	0.111
j	ˈɛ	0.103
j	l_e	0.103
f	e	0.1
ˈɛ	ˈaː_s	0.095
ˈɛ	j	0.095
ʀ	r_t	0.093
#>	k_#>	0.088
#>	l_#>	0.074
j	ˈi	0.069
j	j_e	0.069
f	a_v	0.067
p	-	0.065
#>	r_#>	0.059
s	t	0.056
s	s_t	0.056
