Piedmontese	Piedmontese	probability
ˈɛ_ŋ	ˈẽ	1.0
ˈɛ_j	ˈe_l	1.0
ˈə	-	1.0
ˈu_ŋ	ˈõ	1.0
ˈu_r	ˈo_h	1.0
ˈu_n	ˈo	1.0
ˈu_l	ˈɔ_w	1.0
ˈi_ŋ	ˈĩ	1.0
ˈa_ŋ	ˈɐ̃	1.0
ɲ	j̃	1.0
ɡ	ɡ	1.0
ŋ_a	ɐ	1.0
y	-	1.0
w	w	1.0
v_r	b_ɾ	1.0
s_t	ʃ_t	1.0
r_t	h_ʧ	1.0
r_#>	ɾ_u_#>	1.0
p	p	1.0
n_a_#>	#>	1.0
n_#>	n_u_#>	1.0
m_#>	m_i_#>	1.0
m	m	1.0
i_#>	u_#>	1.0
f_j	ʃ	1.0
f	f	1.0
e_r	ɾ_i	1.0
e_#>	j_#>	1.0
dː	-	1.0
a_m	ũ	1.0
<#_ˈø	<#_ˈo	1.0
<#_ɡ	<#_ɡ	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_s	<#	1.0
<#_r	<#_h	1.0
<#_p_j	<#_ʃ	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
k	k	0.936
v	v	0.838
a	ɐ	0.768
ʤ	ʒ	0.75
s	s	0.733
b	b	0.714
ŋ_#>	w̃_#>	0.7
<#_ˈa	<#_ˈa	0.667
n	n	0.643
ə	-	0.6
d	d	0.588
#>	u_#>	0.581
ˈø	ˈo	0.571
ˈa	ˈa	0.545
ˈɛ	ˈɛ	0.536
ˈy	ˈu	0.526
ʧ	ʃ	0.5
ʧ	s	0.5
u	-	0.467
t	t	0.459
ˈi	ˈi	0.452
ə	ɾ	0.4
j	ʎ	0.4
ˈɛ	ˈe	0.393
l	l	0.393
ˈu	ˈo	0.391
ŋ	j̃	0.385
r	ɾ	0.378
z	j_ʃ	0.375
i	e	0.375
i	-	0.375
ˈu	ˈɔ	0.348
<#_ˈa	<#_ˈɐ̃	0.333
e	ˈe_h	0.318
ˈe	ˈa_h	0.317
ˈy	ˈũ	0.316
ˈɔ	ˈo	0.308
ŋ	n	0.308
ŋ	-	0.308
ŋ_#>	#>	0.3
ˈa	ˈɐ̃	0.295
ˈø	ˈɔ	0.286
n	-	0.286
l	w	0.286
b	v	0.286
u	o	0.267
ˈi	ˈĩ	0.258
ʤ	-	0.25
z	z	0.25
i	i	0.25
#>	i_#>	0.237
d	-	0.235
ˈɔ	ˈɔ	0.231
j	j	0.229
ˈi	ˈe	0.226
r	ɦ	0.222
t	ʧ	0.216
ˈɔ	-	0.192
z	ʒ	0.188
z	ʃ	0.188
e	e	0.182
r	h	0.178
d	ʤ	0.176
ˈe	ˈɛ	0.171
v	b	0.162
a	a	0.159
ˈy	-	0.158
ˈɔ	ˈõ	0.154
ˈø	o	0.143
l	-	0.143
e	i	0.136
u	õ	0.133
u	ẽ	0.133
s	ʃ	0.133
ˈu	ˈu	0.13
ˈu	-	0.13
ˈe	ˈe	0.122
ˈɔ	ˈo_w	0.115
j	-	0.114
t	j_t	0.108
l	u	0.107
s	e_ʃ	0.1
ˈe	ˈi	0.098
e	ˈi_h	0.091
e	ɐ_ʃ	0.091
e	h	0.091
e	-	0.091
r	u	0.089
r	-	0.089
j	ˈe	0.086
j	u	0.086
j	h	0.086
t	d	0.081
t	-	0.081
#>	ʃ_#>	0.075
ˈe	ˈe_j	0.073
ˈe	h	0.073
a	-	0.073
ˈɛ	-	0.071
n	ˈẽ	0.071
l	ˈa	0.071
ˈa	-	0.068
ˈi	ˈu	0.065
#>	ɐ_#>	0.065
k	ɡ	0.064
t	d_u	0.054
