Occitan	Québécois French	probability
<#	<#_ɔ	1.0
<#_b	<#_b	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_ʁ	1.0
<#_s	<#_s	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_œ	1.0
<#_ʤ	<#_ʒ	1.0
<#_ˈa_n	<#_ã	1.0
<#_ˈɔ	<#_ɔ	1.0
a_l	a_l	1.0
a_n	ã	1.0
a_s	a_s	1.0
a_z	æɛ̯_z	1.0
d	d	1.0
e_#>	ʁ_#>	1.0
e_n	œ_n	1.0
e_r	æɛ̯_ʁ	1.0
j_#>	ɛ	1.0
j_ˈɛ	j	1.0
j_ˈɛ_ʧ	i	1.0
k_#>	#>	1.0
l	l	1.0
lː	l	1.0
n_ɔ_#>	n_#>	1.0
s_#>	s_#>	1.0
s_t	t	1.0
t_#>	ɛ_#>	1.0
u_l	ɔ_l	1.0
w_#>	f_#>	1.0
w_t	t	1.0
ð	-	1.0
ŋ	ɒ̃ʊ̯̃	1.0
ɔ_#>	#>	1.0
ɡ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɔ_k	øʏ̯	1.0
ɥ_ˈɛ	ɥ	1.0
ɲ	ɲ	1.0
ɾ	ʁ	1.0
ɾ_e_#>	ʁ_#>	1.0
ɾ_ˈa	ʁ_æɛ̯	1.0
ʎ_ɔ_#>	j_#>	1.0
ʤ_e	ʒ_#>	1.0
ʦ_#>	ɛ_#>	1.0
ʧ_#>	i_#>	1.0
ˈa_j	æɛ̯	1.0
ˈa_l	oʊ̯	1.0
ˈa_w	oʊ̯	1.0
ˈa_ŋ	ã	1.0
ˈa_ɲ	ẽɪ̯̃	1.0
ˈa_ʦ	æɛ̯	1.0
ˈe_#>	ẽɪ̯̃	1.0
ˈe_j	æɛ̯	1.0
ˈi_w	y	1.0
ˈu_n	ɒ̃ʊ̯̃	1.0
ˈu_r	u_ʁ	1.0
ˈu_s	u	1.0
ˈy_t	y	1.0
ˈy_ɲ	w_ẽɪ̯̃	1.0
ˈɔ	-	1.0
ˈɔ_r	ɑɔ̯_ʁ	1.0
ˈɔ_s	o	1.0
ˈɔ_w	œ_f	1.0
ˈɛ_l	oʊ̯	1.0
ˈɛ_n	ã	1.0
ˈɛ_r	æɛ̯_ʁ	1.0
ˈɛ_s	ɛɪ̯	1.0
ˈɛ_ʦ	i	1.0
<#_a	<#_a	0.571
r	-	0.231
z	-	0.571
ʤ	-	0.571
ˈi	ẽɪ̯̃	0.111
ˈi	i_#>	0.111
<#_t	<#_ʦ	0.2
w	øʏ̯	0.2
w	ɑɔ̯	0.2
ˈa	-	0.222
ˈy	ɥ	0.182
ˈɛ	j_ɛ	0.2
ˈɛ	ɛ	0.2
<#_d	<#_d	0.643
<#_ˈa	<#_oʊ̯	0.333
a	œ	0.143
p	p	0.333
u	u	0.583
ˈa	e	0.133
ˈe	w_ɛ	0.423
ˈi_#>	ẽɪ̯̃	0.333
ˈy	ʏ	0.273
ˈɛ	-	0.133
ˈɛ	w	0.133
ˈɛ	j	0.333
<#_k	<#_k	0.564
i	-	0.4
l_#>	l_#>	0.44
m	m	0.714
s	s	0.304
ˈa_#>	ẽɪ̯̃	0.304
ˈe	æɛ̯	0.154
ˈi	-	0.074
ˈi	ɪ	0.444
ˈu	ʊ	0.174
ˈu	-	0.174
ˈu	w	0.174
ˈu	ɔ	0.174
ˈu	u	0.304
ˈu_#>	aœ̯_ʁ	0.444
a	-	0.5
k	k	0.375
k	ʃ	0.625
n	n	0.25
n	-	0.25
t	-	0.455
t	t	0.545
u	-	0.25
ɣ	ɡ	0.375
ɣ	-	0.625
ˈe	ɛ	0.115
ˈy	y	0.545
β	-	0.235
β	b	0.235
<#_k	<#_ʃ	0.436
e	œ	0.316
e	-	0.526
i	i	0.6
l_#>	#>	0.56
m	-	0.286
w	-	0.6
ˈa_#>	e_#>	0.696
ˈu_#>	ɒ̃ʊ̯̃_#>	0.556
<#_d	<#_ʣ	0.357
<#_ˈa	<#	0.667
a	a	0.357
j	ɪ	0.167
j	ɛ	0.417
j	-	0.417
n	ɒ̃ʊ̯̃	0.167
n	ẽɪ̯̃	0.167
n	ã	0.167
p	-	0.667
s	t	0.087
u	ɔ	0.167
ˈa	æɛ̯	0.267
ˈi_#>	i_ʁ	0.667
<#_t	<#_t	0.8
e	w_ɛ	0.158
ˈe	w	0.308
<#_a	<#_æɛ̯	0.429
r	ʁ	0.769
s	-	0.609
z	z	0.429
ʤ	ʒ	0.429
ˈa	ɛ	0.089
ˈa	a	0.289
ˈi	i	0.259
β	v	0.529
