Old English	Proto-Germanic	probability
a	ɔːː	1.0
b	b	0.966
bː	β	1.0
d	ð	0.453
d	d	0.432
d	θ	0.077
dː	ð	1.0
e	i	0.215
e	ɔ̃ː	0.193
e	-	0.139
e	ɔː	0.095
e	u	0.089
e	ɑ	0.077
e	e	0.071
e	ɔːː	0.054
eo̯	i	1.0
f	ɸ	0.796
f	β	0.204
h	x	0.928
h	k	0.051
i	i	0.429
i	ɑ	0.404
i	ɑː	0.114
i	ɔː	0.053
iːy̯	e	1.0
j	ɣ	0.714
j	j	0.144
j	jː	0.055
j	i	0.053
k	k	0.715
k	kʷ	0.114
k	x	0.079
k	kː	0.055
kː	k	1.0
l	l	0.956
lː	lː	1.0
l̥	x_l	1.0
m	m	0.98
mː	mː	1.0
n	n	0.92
nː	nː	1.0
o	ɛː	0.39
o	u	0.344
o	-	0.187
o	ɑ	0.079
p	p	0.91
p	ɸ	0.053
pː	p	0.816
pː	pː	0.184
r	r	0.901
r	-	0.093
rː	r	0.893
rː	n	0.107
r̥	x	1.0
s	s	0.988
t	t	0.978
tː	j	1.0
u	u	0.39
u	ɔː	0.39
u	w	0.136
u	-	0.083
v	β	0.731
v	ɸ	0.189
v	pː	0.08
w	w	0.946
x	x	0.918
x	j	0.082
z	s	1.0
ç	x	1.0
ð	θ	1.0
ŋ	ŋ	0.919
ŋ	n	0.081
ɑ	ɑ	0.524
ɑ	j_ɑ	0.225
ɑ	ɔːː	0.121
ɑ	-	0.092
ɡ	ɣ	0.543
ɡ	ɡ	0.414
ɣ	ɣ	0.9
ɣ	w	0.081
ɫ	l	0.932
ɫ	n	0.053
ʃ	s	0.961
ʃː	s	1.0
ʍ	xʷ	1.0
ʤ	ɣ	1.0
ʤː	ɣ	1.0
ʧ	k	1.0
ʧː	kː	1.0
ˈe	ˈe	0.524
ˈe	ˈɑ	0.295
ˈe	-	0.057
ˈeo̯	ˈe	1.0
ˈeː	ˈɔː	0.456
ˈeː	ɑi̯	0.117
ˈeː	ˈuː	0.092
ˈeː	ˈɑu̯	0.087
ˈeː	ˈɔ	0.087
ˈeː	ˈi	0.074
ˈeːo̯	ˈeu̯	0.539
ˈeːo̯	ˈi	0.219
ˈeːo̯	ˈe	0.129
ˈi	ˈi	0.759
ˈi	ˈe	0.147
ˈiy̯	ˈe	0.67
ˈiy̯	ˈɑ	0.33
ˈiː	ˈiː	0.771
ˈiː	ˈi	0.229
ˈiːy̯	ˈɑu̯	0.593
ˈiːy̯	ˈiu̯	0.26
ˈiːy̯	ˈe	0.147
ˈo	ˈu	0.965
ˈoː	ˈɔː	0.614
ˈoː	ˈɛː	0.229
ˈoː	ˈɑ	0.157
ˈu	ˈu	0.863
ˈu	ˈe	0.084
ˈuː	ˈuː	0.832
ˈuː	ˈu	0.139
ˈy	ˈu	0.962
ˈyː	ˈu	0.347
ˈyː	ˈuː	0.288
ˈyː	ˈɔː	0.223
ˈyː	ˈɑu̯	0.142
ˈæ	ˈɑ	1.0
ˈæɑ̯	ˈɑ	1.0
ˈæː	ˈɛː	0.583
ˈæː	ˈɑi̯	0.208
ˈæː	ˈɑ	0.118
ˈæː	ˈe	0.069
ˈæːɑ̯	ˈɑu̯	0.597
ˈæːɑ̯	ˈɑ	0.219
ˈæːɑ̯	ˈɛː	0.095
ˈɑ	ˈɑ	1.0
ˈɑː	ˈɑi̯	0.853
ˈɑː	ˈɑː	0.147
ˈɛ	ˈɑ	0.846
ˈɛ	ˈe	0.154
θ	θ	0.957
