Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	ˈoː	1.0
ˈœʏ̯	ˈoː	1.0
ˈœ	-	1.0
ˈæʉ̯	ˈoː	1.0
ˈæ	ˈæ	1.0
ˈyː	ˈiə̯	1.0
ʰpː	p	1.0
ʰkː	ŋ_k	1.0
ʋ_#>	v̥_#>	1.0
ʉ	-	1.0
ɲ	ŋ	1.0
ɪ	-	1.0
ɡː	ɦ_ə	1.0
ɡ_ɾ	ɦ_ɾ	1.0
ɛ	-	1.0
ə	ə	1.0
ŋː	ŋ	1.0
ŋ	ɪ	1.0
v	ʋ	1.0
tʰ	d	1.0
t	t	1.0
s_k	s	1.0
s_#>	z̥_#>	1.0
p	p	1.0
n	n	1.0
mː	m	1.0
m	m	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
jː	ʋ	1.0
j_ɑ	n	1.0
f	v	1.0
d	d	1.0
b	b	1.0
<#_ɾ	<#_ɾ	1.0
<#_tʰ	<#_t	1.0
<#_pʰ	<#_p	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_h	<#	1.0
ɾ	ɾ	0.902
ɑ	n	0.759
ˈuː	ˈuə̯	0.75
ˈiː	ˈi	0.75
<#_kʰ	<#_k	0.727
ʋ	ʋ	0.722
ˈeː	ˈeː	0.714
ˈɪ	ˈɪ	0.7
nː	n	0.692
ˈøː	ˈuə̯	0.667
j	ɦ	0.667
ˈɑ	ˈɑ	0.65
ɡ	ɦ	0.632
ç	k	0.625
lː	d̥	0.6
s	z	0.588
#>	d̥_#>	0.553
l	l	0.524
e	ə	0.517
ˈɔ	ˈɔ	0.5
ˈɑː	ˈɒː	0.5
ˈɑː	ˈɑ	0.5
ʰtː	t	0.5
ʰtː	h_t	0.5
ʂ	ʃ	0.5
ʂ	z	0.5
<#	<#_ʋ	0.5
<#	<#_j	0.5
ˈʏ	-	0.462
e	-	0.448
ˈæɪ̯	ˈɛː	0.444
ˈʉː	ˈyː	0.438
ˈʉ	ˈu	0.417
ˈʉ	-	0.417
ˈoː	ˈɒː	0.417
s	s	0.412
lː	l	0.4
ˈʉː	ˈiə̯	0.375
ˈɛ	ˈæ	0.375
ç	-	0.375
ˈøː	-	0.333
ˈæɪ̯	ˈeː	0.333
l	w	0.333
j	-	0.333
ɡ	-	0.316
ˈʏ	ˈœ	0.308
ˈɪ	ˈɛ	0.3
ˈeː	-	0.286
ʋ	v	0.278
<#_kʰ	<#	0.273
ˈɔ	ˈɑ_h	0.25
ˈɔ	ˈøː	0.25
ˈuː	ˈoː	0.25
ˈoː	n	0.25
ˈiː	ˈiə̯	0.25
ɑ	ə	0.241
ˈʏ	ˈɪ	0.231
ˈæɪ̯	ˈɛ	0.222
#>	ɦ̥_#>	0.211
ˈɑ	ˈɒː	0.2
ˈʉː	-	0.188
ˈʉ	ˈœ	0.167
ˈoː	ˈɒː_n	0.167
ˈoː	ˈoː	0.167
#>	k_#>	0.158
nː	n_ə	0.154
nː	n_d	0.154
ˈɑ	-	0.15
l	-	0.143
ˈɛ	ˈɪ	0.125
ˈɛ	ˈɛ	0.125
ˈɛ	ˈɑ	0.125
ˈɛ	ˈœ	0.125
ˈɛ	-	0.125
#>	ɾ_#>	0.079
ɾ	-	0.059
ɡ	ç	0.053
