Walloon	Walloon	probability
ˈɛ̃ː	-	1.0
ˈɛ_ʧ	ˈɛ_k	1.0
ˈɛ_j	ˈi_l	1.0
ˈœ̃	ˈy_ɲ	1.0
ˈy	ˈy	1.0
ˈiː_#>	ˈe_#>	1.0
ˈeː	-	1.0
ˈa_s	r_s	1.0
ˈa_#>	#>	1.0
ʒ	z	1.0
ʀ_#>	#>	1.0
ɲː	ʤ_ˈi	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛː	a_j	1.0
ɔ̃	u_ŋ	1.0
ɔː	a	1.0
ɑ̃	a_ŋ	1.0
w_ˈa	ˈɔ	1.0
w_#>	a_#>	1.0
v	v	1.0
uː	u	1.0
u	-	1.0
p	p	1.0
n_#>	ŋ_a_#>	1.0
m_w	m_ˈa	1.0
m	m	1.0
k_l	ʧ	1.0
j_ˈɛ	ˈɛ	1.0
j_#>	#>	1.0
ẽ	i_ŋ	1.0
d	d	1.0
b	b	1.0
<#_ˈuː	<#_ˈø	1.0
<#_ʀ	<#_r	1.0
<#_ɔ	<#_u	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ʀ	r	0.949
t	t	0.882
k	k	0.875
s	s	0.853
ʤ	ʤ	0.75
n	n	0.75
a	a	0.75
f	f	0.742
ˈɔ̃	ˈu_ŋ	0.692
ˈɑ̃	ˈa_ŋ	0.667
ˈoː	ˈɔ	0.667
ˈe	ˈe	0.625
ˈu	ˈu	0.6
ˈɔː	ˈa	0.583
ʃ	s	0.583
ˈøː	ˈu	0.571
ˈi	ˈi	0.571
ˈɛ̃	ŋ	0.538
l	l	0.522
ˈøː_ʀ	ˈɛ_j	0.5
ˈøː_ʀ	r	0.5
ˈa	ˈa	0.5
w_ˈɛ	ˈu_z	0.5
w_ˈɛ	ˈe	0.5
i	i	0.5
i	-	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
ˈɔ	ˈɔ	0.471
ˈiː	ˈi	0.467
ˈɛ̃	ˈɛ_ŋ	0.462
ʧ	k	0.444
ˈøː	ˈø	0.429
ˈi	e	0.429
ˈẽ	ˈi_ŋ	0.429
ɔ	u	0.417
#>	a_#>	0.411
ˈuː	ˈø	0.4
ˈuː	ˈu	0.4
ˈu	ˈy	0.4
l	j	0.348
ˈɛː	ˈɛ	0.333
ˈɛː	j	0.333
ˈɛː	-	0.333
ˈɑ̃	ˈa_n	0.333
ˈoː	ˈa_w	0.333
ɛ	e	0.333
ˈa	l	0.318
w	ˈe	0.3
ˈɛ	ˈi	0.294
ˈɔ	ˈu	0.294
ˈẽ	ˈi_n	0.286
ˈẽ	ŋ	0.286
ʧ	k_a	0.278
j	ˈɛ	0.267
ˈɔː	-	0.25
ˈe	ˈa	0.25
ʤ	z	0.25
ʃ	s_k	0.25
ɔ	ˈɔ	0.25
n	a	0.25
a	-	0.25
ˈɛ	ˈɛ	0.235
ˈɛ	ˈa	0.235
ɛ	i	0.222
ɛ	a	0.222
ɛ	-	0.222
ˈuː	ˈø_v	0.2
ˈiː	ˈɛ	0.2
ˈiː	ˈe	0.2
w	ˈɔ	0.2
w	w	0.2
j	-	0.2
f	v	0.194
ˈɛ	j	0.176
ˈɔː	ˈa_w	0.167
ʧ	k_ˈa	0.167
ʃ	s_e	0.167
ɔ	ˈu	0.167
ɔ	-	0.167
j	j_a	0.167
#>	t_#>	0.158
ˈɔ̃	ˈu	0.154
ˈɔ̃	ŋ	0.154
ˈiː	-	0.133
j	j	0.133
j	a	0.133
l	-	0.13
ˈe	-	0.125
k	ɡ	0.125
ˈɔ	ˈy	0.118
ˈɔ	-	0.118
t	-	0.118
ʧ	-	0.111
w	ˈɛ	0.1
w	ˈa	0.1
w	-	0.1
ˈa	r	0.091
ˈa	-	0.091
s	s_t	0.088
#>	e_#>	0.084
#>	l_#>	0.074
#>	j_#>	0.074
j	ˈi	0.067
f	v_r	0.065
#>	s_#>	0.063
#>	r_#>	0.063
ˈɛ	ˈə	0.059
s	z	0.059
ʀ	e	0.051
