Yiddish	Yiddish	probability
χ_n	k_n	1.0
χ	χ	1.0
ˈɪ_ʀ	ˈiː	1.0
ˈɛɪ̯_n	n	1.0
ˈɔ_z	z̥	1.0
ˈaɪ̯_ʦ	ɑɪ̯	1.0
ʦ	t	1.0
ʃ_#>	s_k_#>	1.0
ʀ_ə	ɐ	1.0
ʀ_n	ɐ_n	1.0
ɫ	l	1.0
ɪ_ɡ	ɡ̊	1.0
ɪ_k	ɐ_ɣ̊	1.0
ɛ	-	1.0
ə_ʀ	ɐ	1.0
ə_#>	#>	1.0
ə	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z_#>	z̥_#>	1.0
z	z	1.0
v_ˈɔ	v	1.0
t_ʀ	d_r	1.0
s_t	s_t	1.0
s	t	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
k_s_#>	s_#>	1.0
j	j	1.0
h	h	1.0
f_n	p_n	1.0
d_#>	d̥_#>	1.0
d	d	1.0
b_#>	v̥_#>	1.0
a	-	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
m	m	0.923
n	n	0.906
ɡ	ɡ	0.905
k	k	0.9
v	v	0.852
ˈɛɪ̯	ˈæɪ̯	0.818
χ_#>	k_#>	0.8
f	f	0.8
b	b	0.789
ʃ	s	0.682
ɡ_#>	ɣ̊_#>	0.545
#>	ˈɛːɪ̯_#>	0.5
#>	d̥_#>	0.5
ˈɪ	ˈɪ	0.487
ʀ	ɐ	0.469
ɡ_#>	#>	0.455
ʀ	r	0.438
ˈɔɪ̯	ˈoː	0.407
ˈaɪ̯	ˈiː	0.4
ˈa	ˈɑ	0.389
t	d̥	0.388
t	t	0.327
ʃ	s_k	0.318
ˈɔ	ˈɒː	0.31
ˈɛ	ˈeː	0.276
ˈʊ	ˈɑʊ̯	0.259
ˈɔɪ̯	ˈuː	0.259
ˈaɪ̯	-	0.25
t	d	0.245
ˈʊ	ˈʊ	0.222
b	v	0.211
ˈɛ	ˈɛ	0.207
ˈɛ	-	0.207
ˈɔ	ˈɔ	0.207
χ_#>	#>	0.2
f	p	0.2
ˈa	ˈɑː	0.194
ˈɛɪ̯	-	0.182
ˈaɪ̯	ˈɛːɪ̯	0.15
v	w	0.148
ˈɔ	-	0.138
ˈɪ	ˈæɪ̯	0.128
ˈɪ	-	0.128
ˈʊ	-	0.111
ˈɔɪ̯	ˈøː	0.111
ˈa	ˈɒː	0.111
ˈa	ˈɑːɑ̯	0.111
ˈɪ	ˈʏ	0.103
ˈɛ	ˈøː	0.103
ˈɛ	ˈeːe̯	0.103
ˈɔ	ˈoː	0.103
ˈaɪ̯	ˈɪ	0.1
ˈaɪ̯	ˈyː	0.1
k	ɣ̊	0.1
ɡ	-	0.095
ʀ	-	0.094
ˈɪ	ˈœy̯	0.077
m	-	0.077
ˈʊ	ˈɔ	0.074
ˈʊ	ˈœ	0.074
ˈʊ	ˈøːø̯	0.074
ˈʊ	ˈøː	0.074
ˈɔɪ̯	ˈuːu̯	0.074
ˈɔɪ̯	ˈoːo̯	0.074
ˈɔɪ̯	-	0.074
ˈɛ	ˈɑ	0.069
ˈɔ	ˈʊ	0.069
ˈɔ	ˈɔː	0.069
ˈɔ	ˈɑ	0.069
n	-	0.062
ˈa	ˈɔ	0.056
ˈa	ˈɒːɒ̯	0.056
ˈa	-	0.056
ˈɪ	ˈɛ	0.051
