Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʁ_#>	#>	1.0
ɲ	ɲː	1.0
ɪ	ˈi	1.0
ɥ	ˈo	1.0
ɡ	ɡ	1.0
ɛ_t	ˈe_tː	1.0
ɛ_l	r_u	1.0
ɛ_#>	dː_u_#>	1.0
ɑ	ˈa	1.0
œ̃ʏ̯̃	ˈu_n	1.0
œ_n	i_n	1.0
æɛ̯_ʁ	ˈɛ_j	1.0
z	ʦ	1.0
p_w	p_ˈu	1.0
p_a	p_a	1.0
o	ˈɔ	1.0
n	n	1.0
l_æɛ̯	l_ˈa	1.0
k_l	ʧ	1.0
i_ʁ	ˈi	1.0
e_#>	ˈa_#>	1.0
d_ʁ	ˈi	1.0
d	d	1.0
b	b	1.0
aœ̯	ˈo	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_e	<#_i	1.0
<#	<#_r	1.0
p	p	0.913
f	f	0.88
m	m	0.818
y	ˈu	0.727
w_ɛ	ˈe	0.7
k	k	0.688
v	v	0.654
ʒ	ʤ	0.643
ʁ	r	0.61
ɔ	ˈɔ	0.6
ɛ	i	0.583
øʏ̯	ˈɔ_ɡː	0.571
s	s	0.545
#>	a_#>	0.519
a	a	0.474
t	ɬ_t	0.462
ɑɔ̯	ˈɔ	0.429
øʏ̯	u	0.429
u	u	0.421
a	ˈa	0.421
ɒ̃ʊ̯̃	ˈo_n	0.417
ɔ	-	0.4
ã	ˈɛ_n	0.4
t	t	0.385
ʃ	k	0.381
æɛ̯	ˈa	0.381
#>	i_#>	0.375
œ	ˈɔ	0.364
œ	ˈo	0.364
w	-	0.364
l	l	0.359
ẽɪ̯̃	ˈi_n	0.333
oʊ̯	ˈɛ	0.308
oʊ̯	ˈa	0.308
w_ɛ	ˈi	0.3
ɑɔ̯	ˈɔ_ɬ	0.286
ɑɔ̯	-	0.286
œ	-	0.273
y	-	0.273
w	ˈe	0.273
e	ˈa	0.273
ẽɪ̯̃	ˈa_n	0.267
ã	-	0.267
l	r	0.256
ɛ	ˈɛ	0.25
ɒ̃ʊ̯̃	ˈɔ_n	0.25
j	ʎː	0.25
ʃ	k_a	0.238
i	ˈi	0.235
i	i	0.235
oʊ̯	-	0.231
ʒ	j_u	0.214
s	ʦ	0.212
ã	n	0.2
v	b	0.192
æɛ̯	ˈe	0.19
æɛ̯	-	0.19
j	ˈɛ	0.188
j	ˈe	0.188
w	ˈɔ_ʦ	0.182
w	ˈi	0.182
m	mː	0.182
e	ˈi	0.182
e	ˈa_z	0.182
e	u	0.182
e	i	0.182
l	j	0.179
i	ˈe	0.176
i	u	0.176
i	tː_u	0.176
ɛ	ˈa	0.167
ɒ̃ʊ̯̃	ˈo	0.167
ɒ̃ʊ̯̃	u_n	0.167
u	ˈo	0.158
t	tː	0.154
oʊ̯	u	0.154
ʒ	i	0.143
æɛ̯	ˈɛ	0.143
ẽɪ̯̃	ˈi_ŋ	0.133
ẽɪ̯̃	ɲː_u	0.133
ẽɪ̯̃	n	0.133
ã	ˈɛ	0.133
k	k_ˈɔ	0.125
k	-	0.125
j	ʧː_i	0.125
j	i	0.125
j	-	0.125
u	ˈu	0.105
u	ˈo_ʧː	0.105
u	ˈo_tː	0.105
u	ˈo_j	0.105
a	w_ˈa	0.105
ʁ	ˈi	0.102
ʃ	xː	0.095
ʃ	kː	0.095
ʃ	k_ˈa	0.095
ʃ	-	0.095
æɛ̯	a	0.095
s	ʦː	0.091
s	sː_u	0.091
p	pː	0.087
ʁ	rː	0.085
f	β_u	0.08
v	β	0.077
v	bː	0.077
l	r_u	0.077
l	dː	0.077
#>	dː_u_#>	0.077
ʁ	a_r	0.068
k	x	0.062
s	-	0.061
ʁ	t	0.051
ʁ	-	0.051
l	lː	0.051
