East Franconian	Proto-Germanic	probability
β	β	1.0
ˈɒː	ˈɑ_kʷ	1.0
ˈɒ_n	ɑi̯	1.0
ˈaː_ŋ	ˈɑi̯_k	1.0
ˈaʊ̯	ˈuː	1.0
ˈa	k_ˈɑ	1.0
ʃ_l	s_l	1.0
ʃ_d̥	s_t	1.0
ɾ	ð_ɛː	1.0
ɪ	-	1.0
ɣ	ɣ	1.0
ɡ̊_s	x_s	1.0
ə	n_ɑ	1.0
ɐ_ʦ	r_t	1.0
ɐ_n	r_n	1.0
ç_d̥	x_t	1.0
v̥	p	1.0
r	r	1.0
n_s	n_s	1.0
l_d̥	l_d	1.0
j	j	1.0
i	ɑ	1.0
h	x	1.0
eː	e_x	1.0
v	w	0.942
ʦ	t	0.884
m	m	0.884
ˈɔ	ˈu	0.883
ˈɒ	ˈɑ	0.861
ˈɛː	-	0.821
f	ɸ	0.805
l	l	0.76
b̥͡v̥	p	0.75
b̥	b	0.744
ʃ	s_k	0.692
ç	k	0.688
s	s	0.651
ɐ	r	0.625
ˈʊ	ˈu	0.617
ɡ̊	ɣ	0.612
ˈɛ	ˈe	0.606
x	x	0.585
n	n	0.585
ˈoː	ˈɑ	0.583
ˈɪ	ˈi	0.57
ɣ̊	ɣ_ɑ	0.564
ˈeː	ˈe	0.536
ˈaː	ˈɑi̯	0.536
ˈaɪ̯	ˈiː	0.512
ˈuː	ˈɔː	0.502
a	ɑ_n	0.471
ŋ	ɡ	0.468
ˈaː	ˈɑu̯	0.464
z̥	t_ɑ	0.454
d̥	ð	0.448
z̥	s	0.445
ɣ̊	ɣ	0.436
ˈoː	ˈɛː	0.417
x	k_i	0.415
ˈɛ	ˈɑ	0.394
ɡ̊	-	0.388
ˈiː	ˈeu̯	0.37
ç	ɣ	0.312
ʃ	s	0.308
ˈuː	ˈɑu̯	0.295
s	t	0.274
a	ɔːː	0.269
ŋ	ɣ_ɑ	0.264
a	ɔ̃ː	0.26
b̥	β	0.256
ˈʊ	ˈu_ŋ	0.254
ˈeː	-	0.254
b̥͡v̥	pː	0.25
ˈiː	ˈe	0.243
d̥	θ	0.238
ˈɪ	ˈu	0.232
ˈeː	ˈɑu̯	0.209
f	p	0.195
ˈɛː	jː	0.179
d̥	d	0.168
ˈiː	ˈi	0.154
l	ɑ_l	0.152
ˈiː	ˈɔː	0.151
d̥	t	0.146
n	ɑ_n	0.145
ˈɒ	ˈɑ_ŋ	0.139
ŋ	ɣ_j	0.134
ŋ	ɣ	0.134
ˈɪ	ˈi_ŋ	0.132
ˈʊ	-	0.129
ˈuː	ˈu	0.126
ˈaɪ̯	ˈiu̯	0.121
ˈɔ	ˈɑ	0.117
ˈaɪ̯	ˈi_j	0.117
ˈaɪ̯	-	0.117
ʦ	tː	0.116
ɐ	ɑ	0.11
ɐ	r_ɑ	0.109
n	nː	0.108
z̥	t	0.101
ˈuː	-	0.077
s	t_s	0.076
ˈaɪ̯	ˈi	0.07
ˈɪ	ˈe	0.065
v	xʷ	0.058
m	β_ɑ	0.058
m	mː	0.058
ˈiː	ˈɑi̯_w	0.054
n	n_θ	0.054
l	lː	0.051
