Pennsylvania German	Pennsylvania German	probability
ˈɪ_ç	ˈaː	1.0
ˈɪ_n	ˈaːɪ̯	1.0
ˈɛ_j	ˈɛː	1.0
ˈɔː_ɣ	ˈeː	1.0
ˈɔɪ̯	ˈɛ_ɡ	1.0
ˈaː_ɾ	r	1.0
ˈaɪ̯_ç	ʧ	1.0
ˈaɪ̯_#>	ˈiː_#>	1.0
ˈa_l	ˈɑː	1.0
ʦ_#>	t_#>	1.0
ɣ_l	l	1.0
ɡ̊_#>	#>	1.0
ɡ̊	x	1.0
ŋ	ŋ	1.0
t	t	1.0
s_ə	t	1.0
n_ə	n	1.0
n_s	s	1.0
m_ˈoː	m	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
k_#>	ɡ_#>	1.0
h	h	1.0
f_ə	p	1.0
f_#>	#>	1.0
eː	i	1.0
d_ə	d	1.0
b̥	f	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#	<#_r	1.0
n	n	0.927
ˈɪ	ˈɪ	0.917
d̥	d	0.833
ʦ	tʰ	0.818
ə	-	0.788
ˈɛː	-	0.778
ɡ	ɡ	0.733
f	f	0.724
#>	n_#>	0.714
ʋ	w	0.71
ɾ	r	0.682
ʃ	s	0.677
ˈɔ	ˈo	0.6
ˈaː	r	0.6
s	s	0.595
ˈaɪ̯	ˈəi̯	0.579
ˈʊ	ˈʌ	0.556
ɪ	-	0.556
ˈaʊ̯	ˈu	0.538
k	kʰ	0.533
ɑ	r	0.528
ˈɔ_l	ˈʌu̯	0.5
ˈɔ_l	ˈuː	0.5
ˈoː	ˈi	0.5
j	j	0.5
j	-	0.5
ɑ	ə_r	0.472
d	d	0.447
ˈɛ	ˈɛ	0.412
ˈiː	ˈi	0.412
ˈɔ	-	0.4
ˈaː	ˈo_r	0.4
x	k	0.4
k	k	0.4
ˈeː	ˈe	0.36
ç	k	0.357
ç	-	0.357
s	t	0.357
ˈiː	ˈiː	0.353
ˈuː	ˈø	0.333
ˈoː	-	0.333
ʃ	ʃ	0.323
ˈaɪ̯	-	0.316
d	θ	0.316
ˈaʊ̯	ˈuː	0.308
x	ç	0.3
x	x	0.3
ç	ç	0.286
#>	θ_#>	0.286
ˈɔː	ˈeː	0.278
ˈuː	-	0.25
ˈa	ˈɑː	0.241
ˈɛ	ˈɪ	0.235
ˈɛ	ˈa	0.235
ˈiː	-	0.235
ˈʊ	ˈɪ	0.222
ˈʊ	-	0.222
ˈɛː	ˈʌ	0.222
ˈɔː	ˈiː	0.222
ˈɔː	-	0.222
ɪ	i	0.222
ˈa	ˈa	0.207
f	p	0.207
ʦ	t	0.182
ˈa	ˈɪ	0.172
ˈa	ˈe	0.172
ˈɔː	ˈi	0.167
ˈuː	ˈuː	0.167
ˈuː	ˈi	0.167
ˈoː	ˈe	0.167
d̥	θ	0.167
ˈeː	ˈiː	0.16
d	ð	0.158
ˈaʊ̯	-	0.154
ɾ	r_ˈɛ	0.136
ɡ	j	0.133
ɡ	-	0.133
ʋ	-	0.129
ˈeː	ˈɛ	0.12
ˈeː	ˈɑː	0.12
ˈeː	ˈeː	0.12
ˈeː	ˈe_n	0.12
ˈɛ	-	0.118
ˈɔː	ˈe	0.111
ɪ	ɪ	0.111
ɪ	e	0.111
ˈaɪ̯	ˈaɪ̯	0.105
ʋ	ʍ	0.097
ɾ	r_ˈɪ	0.091
ɾ	r_ˈi	0.091
ə	ə	0.091
ˈɪ	-	0.083
ˈuː	ˈøː	0.083
d	t_ə	0.079
ˈa	ˈɛ	0.069
ˈa	ˈo_r	0.069
ˈa	-	0.069
f	f_ˈo	0.069
k	ʤ	0.067
ʋ	v	0.065
ə	n	0.061
ə	d	0.061
