Walloon	Occitan	probability
<#	<#_e	1.0
<#_a	<#_a	1.0
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_v	1.0
<#_ɛ	<#_e	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʀ	<#_r	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʧ	<#_k	1.0
<#_ˈuː	<#_ɥ	1.0
<#_ˈɑ̃	<#_ˈa_n	1.0
<#_ˈɔː	<#_ˈa	1.0
<#_ˈɔ̃	<#_ˈy	1.0
j_#>	ɔ_#>	1.0
l	l	1.0
l_#>	l_ɔ_#>	1.0
m	m	1.0
p	p	1.0
p_#>	e_#>	1.0
s	s	1.0
s_#>	ɔ_#>	1.0
s_t	s_t	1.0
t_#>	t_ɾ_e	1.0
v	β	1.0
w_ˈa	ˈɔ_r	1.0
z	z	1.0
ɔ	u	1.0
ɔː	a	1.0
ɛ_s	a_s	1.0
ɡ	ɣ	1.0
ɲ	ɲ	1.0
ɲ_#>	ɲ_#>	1.0
ʒ_ˈẽ	z_ˈi	1.0
ʧ	k	1.0
ʧ_#>	ʤ_e	1.0
ˈa	ˈa	1.0
ˈa_#>	l_#>	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈa_ʀ	r_t	1.0
ˈe_#>	ˈa_#>	1.0
ˈiː_#>	ˈa_#>	1.0
ˈoː	ˈa_w	1.0
ˈɔ_#>	ˈu	1.0
ˈɛ_j	ˈi_l	1.0
ˈɛ_ʧ	ˈe_k	1.0
ˈɛ̃_#>	n_#>	1.0
#>	e_#>	0.21
#>	ɔ_#>	0.521
j	-	0.111
w	ˈa	0.091
ˈɛ	ˈe	0.211
a	-	0.222
t	ʧ	0.182
ʀ	-	0.062
ʃ	ˈe_j_s	0.222
ʃ	k	0.222
ʃ	-	0.222
ˈiː	j_ˈɛ	0.2
ˈiː	ˈɛ	0.2
ˈɔ̃	ˈa	0.2
ˈɛ̃	ˈa_#>	0.2
ʃ	s	0.333
ˈẽ_#>	ˈi_#>	0.333
ˈi_#>	ˈi	0.333
ˈiː	ˈɛ_j	0.133
ˈiː	ˈa	0.133
ˈiː	ˈi	0.333
ˈu	ˈy	0.333
ˈɔ	-	0.143
ˈɔ̃	ˈu_n	0.3
ˈɛ̃	-	0.133
ˈɛ̃	m	0.133
ˈɛ̃	ˈa	0.133
#>	k_#>	0.084
f	a_β	0.4
i	i	0.4
j	ˈe	0.074
k	ɡ	0.4
ɛ	e	0.714
ˈøː	ˈɔ	0.4
ˈɛ̃	ˈɛ_n	0.4
j_ˈɛ	ˈɛ_s	0.5
j_ˈɛ	ˈɛ	0.5
n	-	0.125
n	n	0.875
w	ˈe	0.455
w_ˈɛ	ˈe	0.5
w_ˈɛ	ˈu_ʦ	0.5
ʀ	r	0.25
ˈe	ˈa_j_ɾ	0.25
ˈe	-	0.25
ˈe	ˈa	0.5
ˈi	ˈɛ_ʦ	0.5
ˈi	ˈi_l_#>	0.5
ˈuː	ˈu	0.5
ˈy	ˈy	0.5
ˈy	ʧ_#>	0.5
ˈɑ̃	ˈa_n	0.5
ˈɑ̃	ˈa_#>	0.5
ˈɔ	ˈu	0.5
ˈɔː	ˈa_l	0.5
ˈɔː	ˈa_ʦ	0.5
ˈɔ̃	ˈu_#>	0.5
ˈɛ	ˈy	0.105
ˈɛ	ˈɛ	0.105
ˈɛ	ˈa	0.105
f	β	0.6
i	e	0.6
k	ŋ_k	0.6
w	ˈɔ	0.136
ɛ	-	0.286
ʀ	ɾ	0.646
ˈøː	ˈu	0.6
ˈøː_ʀ	ˈy_#>	0.286
ˈøː_ʀ	ˈe_#>	0.286
ˈɛ	ˈi	0.316
ˈɛ_#>	s_#>	0.286
ˈɛ_#>	j_#>	0.286
#>	l_#>	0.067
j	ˈɛ	0.407
ˈẽ_#>	#>	0.667
ˈi_#>	ˈi_#>	0.667
ˈu	ˈu	0.667
ˈuː	ˈɔ	0.167
ˈuː	ˈɔ_w	0.167
ˈuː	ɥ_ˈɔ_w	0.167
ˈɔ	ˈɔ	0.357
#>	s_#>	0.118
a	a	0.778
j	ð	0.148
t	t	0.818
w	-	0.318
ˈɛ	ˈa_j	0.158
j	ʎ	0.259
ˈøː_ʀ	ˈu_#>	0.429
ˈɛ_#>	t_#>	0.429
