Occitan	Romanian	probability
<#_b	<#_b	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈy	<#_ˈu	1.0
<#_ˈɔ	<#_ˈo	1.0
a_s	ə	1.0
e_n	e_n	1.0
i	-	1.0
j	-	1.0
j_r_e	d_ˈe	1.0
j_s	ʃ_t	1.0
j_ɾ_e	t	1.0
k_#>	k_#>	1.0
m	m	1.0
n_#>	n_t	1.0
n_d	n	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r	1.0
r_m	r_m	1.0
s	s	1.0
s_p_ˈa	p_ˈa	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_ɾ	t_r	1.0
t_ˈa	t_ˈa	1.0
u_s	u_ʃ	1.0
v	z_b	1.0
w_#>	w_#>	1.0
w_ɾ	r	1.0
ð	t	1.0
ŋ	n	1.0
ɥ_ˈɔ	ˈo	1.0
ɥ_ˈɛ	o̯ˈa	1.0
ɾ_e	e_r	1.0
ɾ_ˈa	r	1.0
ʎ	-	1.0
ʎ_ɔ	j_e	1.0
ʧ	p_t	1.0
ʧ_#>	p_t	1.0
ˈi	ˈi	1.0
ˈu_#>	k_#>	1.0
ˈy	ˈu	1.0
ˈy_m	n	1.0
ˈɔ_r	o̯ˈa_r	1.0
ˈɛ_n	ˈi_n	1.0
β_ɾ	p_r	1.0
l_#>	#>	0.111
n	-	0.1
ɔ_#>	#>	0.1
ˈu	ˈu_n	0.061
ˈu	o̯ˈa_r	0.091
#>	n_#>	0.082
<#_d	<#_z	0.312
<#_s	<#_ʧ	0.32
l	r	0.2
s_#>	j_#>	0.2
t	d	0.222
u	u	0.692
ˈe	e̯ˈa	0.172
ˈe	ˈe	0.552
ˈu	ˈo	0.212
ˈɛ	-	0.192
β	l_b	0.2
β	-	0.2
β	b	0.2
#>	ə_#>	0.113
#>	e_#>	0.773
e	ə	0.133
e	-	0.133
e	i	0.333
k	k	0.833
l	-	0.3
s_#>	p_#>	0.133
s_#>	s_#>	0.333
s_#>	#>	0.333
w	e	0.333
w	l	0.333
w	-	0.333
<#	<#_j	0.714
<#_e	<#	0.714
<#_s	<#_ʃ	0.24
<#_s	<#_s	0.44
e	e	0.4
l_#>	r_#>	0.444
u	o	0.154
u	-	0.154
ɲ	m_n	0.4
ʦ_#>	ʦ_#>	0.4
ˈa	ˈɨ	0.224
ˈa	ˈa	0.694
β	ˈi	0.4
<#_a	<#	0.5
<#_a	<#_a	0.5
<#_t	<#_ʦ	0.25
<#_t	<#_t	0.75
<#_ʤ	<#_ʒ	0.375
<#_ʤ	<#_ʤ	0.625
a	ɨ	0.25
a	e	0.25
a	-	0.5
e_#>	u_#>	0.25
e_#>	#>	0.375
e_#>	e_#>	0.375
l	l	0.5
ɔ	j	0.5
ɔ	-	0.5
ɣ	k	0.5
ɣ	ɡ	0.5
ʤ	ʒ	0.5
ʤ	ʤ	0.5
ˈa_w	ˈau̯	0.5
ˈa_w	j	0.5
ˈɔ	o̯ˈa	0.25
ˈɔ	ˈo	0.75
<#	<#_m	0.286
<#_e	<#_s	0.286
ɔ_#>	ə_#>	0.86
ɲ	j	0.6
ɾ	r	0.846
ʦ_#>	ʧ_e	0.6
ˈu	ˈu	0.636
k	ʧ	0.167
l_#>	kʲ_#>	0.167
ɾ	e_r	0.077
ɾ	-	0.077
ˈe	ˈi	0.207
ˈɛ	ˈi	0.077
ˈɛ	e	0.077
ˈɛ	ˈa	0.077
<#_d	<#_d	0.688
l_#>	l_#>	0.278
t	t	0.778
ˈɛ	ˈe	0.308
n	n	0.9
ˈe	o̯ˈa	0.069
ˈɛ	j_ˈe	0.269
