German	Yiddish	probability
b	b	1.0
b̥	b	1.0
f	f	1.0
h	h	1.0
j	j	1.0
kʰ	k	1.0
l	l	1.0
p	p	1.0
p͡f	p	1.0
tʰ	t	1.0
v	v	1.0
x	χ	1.0
z	z	1.0
ɡ	ɡ	1.0
ɡ̊	ɡ	1.0
ɪ	ɪ	1.0
ʁ	ʀ	1.0
ʦ	ʦ	1.0
ˈaʊ̯	ˈɔɪ̯	1.0
ˈiː	ˈɪ	1.0
ˈuː	ˈʊ	1.0
ˈyː	ˈɪ	1.0
ˈøː	ˈɛ	1.0
ˈœ	ˈɛ	1.0
ˈɛː	ˈɛ	1.0
ˈɪ	ˈɪ	1.0
ˈʏ	ˈɪ	1.0
t	t	0.881
ç	χ	0.731
ŋ	ŋ_ɡ	0.91
ˈa	ɡ_#>	0.191
ˈɛ	ˈɛ	0.921
d	t	0.052
ˈaː	ˈɔ	0.942
ˈoː	ˈɔ	0.292
k	k	0.883
s	s	0.813
ə	-	0.454
ˈeː	ˈɛɪ̯	0.144
ˈɔ	ˈʊ	0.354
ˈɔʏ̯	ˈaɪ̯	0.664
d̥	t	0.15
d̥	d	0.85
m	m	0.975
n	n	0.985
ɐ	ʀ	0.765
ˈaɪ̯	ˈaɪ̯	0.475
ˈaɪ̯	ˈɛɪ̯	0.525
ˈʊ	ˈʊ	0.975
ə	ə	0.546
ˈa	ˈa	0.776
ˈeː	ˈɛ	0.856
ˈɔ	ˈɔ	0.646
ˈɔʏ̯	ˈaɪ̯_ə	0.336
k	k_ə	0.117
s	z	0.167
ɐ	ə_ʀ	0.147
ʃ	ʃ	0.987
d	d_ə	0.078
ɐ	ʀ_ə	0.068
ˈaː	ˈa	0.058
ˈoː	ˈɔɪ̯	0.708
d	d	0.869
t	t_ə	0.119
ç	k	0.269
ŋ	ŋ	0.09
ˈɛ	ˈa	0.079
