Yiddish	Scots	probability
ˈʊ_χ	ˈøː	1.0
ˈɪ_χ	ˈaː	1.0
ˈɪ_ʀ	ˈiː	1.0
ˈɛ_ɡ	ˈɛː	1.0
ˈɔɪ̯_ɡ	ˈu	1.0
ˈɔɪ̯_t	d	1.0
ˈɔ_ʀ	ˈɪ_r	1.0
ˈɔ_ɫ	ˈʌu̯	1.0
ˈɔ_ɡ	ˈeː	1.0
ˈa_ʀ	r	1.0
ˈa_ɫ	ˈɑː	1.0
ʧ	s	1.0
ʃ_t	s_t	1.0
ɫ	l	1.0
ɡ_ə	ə	1.0
ɛ	-	1.0
ə_χ	ɪ	1.0
ŋ	ŋ	1.0
z_ˈʊ	s_ˈɪ	1.0
s_t	s_t	1.0
s	t	1.0
p	-	1.0
n_ə	n	1.0
m	m	1.0
k_ə	k	1.0
k_s	k_s	1.0
j	j	1.0
h	h	1.0
f_n	p	1.0
a	θ	1.0
ʀ	r	0.961
z	s	0.875
v	w	0.856
ˈɛɪ̯	ˈe	0.855
f	f	0.789
ˈɪ	ˈɪ	0.68
b	b	0.67
ɪ_k	i	0.667
t	d	0.65
ʃ	ʃ	0.622
n	n	0.61
ɡ	-	0.581
ʦ	t	0.58
ə	ə	0.576
ˈʊ	ˈʌ	0.549
ˈaɪ̯	ˈəi̯	0.523
d	θ	0.434
k	k	0.422
ʦ	tʰ	0.42
χ	ç	0.412
d	d	0.409
ə	-	0.394
n	-	0.39
χ	k	0.385
ʃ	s	0.378
k	kʰ	0.367
ˈa	ˈa	0.359
ɪ_k	e	0.333
b	v	0.33
ɡ	ɡ	0.316
ˈɛ	ˈɛ	0.311
ˈɔɪ̯	ˈu	0.297
ˈa	ˈɑː	0.297
ˈɔ	ˈo	0.256
ˈɔɪ̯	ˈi	0.253
ˈɔ	ˈeː	0.24
t	t	0.217
χ	x	0.203
ˈɛ	ˈa	0.203
ˈɔɪ̯	ˈiː	0.201
ˈɛ	ˈiː	0.193
ˈʊ	ˈø	0.183
ˈaɪ̯	ˈiː	0.176
ˈɔ	-	0.171
d	ð	0.157
ˈɔɪ̯	ˈe	0.152
ˈɛɪ̯	ˈɛ	0.145
ˈɔ	ˈi	0.144
ˈɛ	ˈɪ	0.143
k	-	0.14
ˈɪ	ˈi	0.139
ˈaɪ̯	ˈɪ	0.134
f	p	0.132
ˈa	ˈɛ	0.129
ˈa	ˈe	0.129
ˈaɪ̯	-	0.127
ˈʊ	ˈɪ	0.126
z	z	0.125
ɡ	ə	0.104
ˈɔɪ̯	-	0.097
ˈɔ	ˈɪ	0.095
ˈɔ	ˈe	0.095
ˈɪ	ˈiː	0.094
ˈɛ	-	0.094
ˈʊ	-	0.086
ˈa	ˈɪ	0.086
v	-	0.077
k	ʤ	0.071
t	ð	0.07
v	ʍ	0.068
t	-	0.064
f	f_ˈo	0.06
ˈɛ	ˈi	0.056
ˈʊ	ˈi	0.055
ˈɪ	-	0.052
