Brazilian Portuguese	Brazilian Portuguese	probability
ˈɐ̃_j̃	ˈa_ɲ	1.0
ˈu_ɾ	ˈy	1.0
ˈo_w	ˈa_w	1.0
ˈe_k	ˈe_k	1.0
ˈa	ˈa	1.0
ʧ_i_#>	#>	1.0
ʧ_i	ŋ	1.0
ʤ	-	1.0
ʒ	ʤ	1.0
ʎ	j	1.0
ʃ_p	s_p	1.0
ʃ_#>	#>	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_u_#>	ʀ_#>	1.0
ɦ_n	ʀ	1.0
ɦ	ʀ	1.0
ɡ_w	ɡ	1.0
ɡ_u	k	1.0
ɐ̃	ã	1.0
w̃	ŋ	1.0
w_#>	w_#>	1.0
v_u	w	1.0
v_i	w	1.0
ũ	ẽ_m	1.0
t_u_#>	#>	1.0
t_u	ŋ	1.0
õ	ũ	1.0
n_u	ŋ	1.0
n	n	1.0
l_u	w	1.0
j̃_u	ŋ	1.0
j_t	ˈe_ʧ	1.0
ĩ	ĩ	1.0
i_#>	#>	1.0
i	e	1.0
h_ʧ	ˈe_ʀ	1.0
h_#>	#>	1.0
f	f	1.0
ẽ_j̃	e	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_h	<#_ʀ	1.0
<#_e	<#_e	1.0
<#_d	<#_d	1.0
m	m	0.963
k	k	0.952
u_#>	#>	0.949
ɐ	ɔ	0.942
p	p	0.926
b	b	0.92
ˈɛ	ˈɛ	0.913
a	a	0.905
ɾ	ɾ	0.882
s	s	0.833
t	t	0.824
l	l	0.8
ɡ	ɡ	0.778
v	v	0.774
j_ʃ_#>	s_#>	0.75
ˈi	ˈi	0.696
o	u	0.692
ˈɐ̃	ˈã	0.667
ˈẽ	ˈẽ	0.667
z	z	0.667
w	w	0.667
h	ʀ	0.667
ˈe_h	ɾ_e	0.6
d	d	0.6
<#	<#_ɥ	0.6
e	e	0.562
ˈu	ˈy	0.545
ʃ	s	0.538
ˈɔ	w_ˈe	0.5
ˈũ	ˈỹ	0.5
ˈũ	ˈũ	0.5
m_i	m_e	0.5
m_i	m	0.5
j̃	ɲ	0.5
u	e	0.474
j	-	0.467
ˈu	ˈu	0.455
ˈe	ˈe	0.429
ˈo	ˈu	0.417
ˈõ	ˈũ	0.4
ˈõ	w_ˈẽ	0.4
ˈĩ	ˈĩ	0.4
ˈĩ	ˈi	0.4
ˈe_h	e	0.4
d	-	0.4
<#	<#_a	0.4
ˈɔ	ˈu	0.333
z	-	0.333
w	-	0.333
j	j	0.333
j̃	n	0.3
#>	ŋ_#>	0.286
#>	e_#>	0.286
ˈo	w_ˈe	0.278
j_ʃ_#>	#>	0.25
e	-	0.25
ɡ	ŋ_k	0.222
ˈe	j	0.214
#>	ɔ_#>	0.214
#>	w_#>	0.214
ˈõ	w	0.2
ˈĩ	ˈẽ_ŋ	0.2
l	-	0.2
j̃	ŋ	0.2
j	ˈe	0.2
e	i	0.188
t	ŋ_t	0.176
ˈɔ	w	0.167
ˈẽ	ˈẽ_ŋ	0.167
ˈẽ	-	0.167
s	-	0.167
h	ˈi	0.167
h	ɾ_e	0.167
v	b	0.161
u	w	0.158
u	u	0.158
o	w	0.154
o	-	0.154
ˈe	ˈɛ	0.143
ˈe	j_ˈe	0.143
ˈo	ɥ	0.139
ˈi	-	0.13
ˈɐ̃	ˈũ	0.125
ˈɐ̃	ˈa	0.125
ɾ	-	0.118
u	ʀ	0.105
u	-	0.105
a	ˈa_j	0.095
ˈɛ	ˈe	0.087
ˈi	ˈe	0.087
ˈi	j_ˈe	0.087
ˈɐ̃	ˈa_n	0.083
b	-	0.08
ʃ	p_l	0.077
ʃ	k_l	0.077
ʃ	j	0.077
ʃ	f_l	0.077
ʃ	e	0.077
ʃ	-	0.077
p	-	0.074
ˈe	e	0.071
v	w	0.065
ɐ	n_ɔ	0.058
ˈo	ˈɔ	0.056
ˈo	ˈe	0.056
ˈo	ɥ_ˈɔ	0.056
u_#>	j_#>	0.051
