Bokmål Norwegian	Bokmål Norwegian	probability
ˈʊ	-	1.0
ˈʉː_#>	ˈuː_#>	1.0
ˈɪ	ˈɪ	1.0
ˈœʏ̯	ˈaʊ̯	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæ	-	1.0
ʋ_ə	b	1.0
ʋ_#>	b̥_#>	1.0
ʈː	ɐ_ʦ	1.0
ɾ_ə	ɐ	1.0
ɳ	ɐ_n	1.0
ɪ	ɪ	1.0
ɡ_ə	ɡ_n	1.0
ɡ_#>	ɡ̊_#>	1.0
ɡ	ɡ	1.0
ə_ɾ	ɐ	1.0
ə_#>	#>	1.0
ŋː	ŋ	1.0
ŋ	-	1.0
ç	kʰ	1.0
tː_#>	ç_t_#>	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pː	f	1.0
pʰ	p͡f	1.0
p_#>	f_#>	1.0
p	f	1.0
n_#>	#>	1.0
n	n	1.0
mː	m	1.0
l	l	1.0
kː	ŋ_k	1.0
kʰ	kʰ	1.0
i	ɪ	1.0
h	h	1.0
f	f	1.0
d_#>	t_#>	1.0
b	b	1.0
<#_ɾ	<#_ʁ	1.0
<#_n	<#_n	1.0
nː	n	0.9
m	m	0.9
ˈɑ	ˈa	0.84
ʋ	v	0.84
d	tʰ	0.824
<#	<#_v	0.778
ˈyː	ˈiː	0.727
lː	l	0.727
ˈœ	-	0.692
ɡː	k	0.667
ˈuː	ˈuː	0.643
ˈæɪ̯	ˈaɪ̯	0.636
ˈɑː	ˈaː	0.6
ˈæː	ˈeː	0.6
tʰ	d	0.6
t	s	0.579
ˈʉ	ˈʊ	0.571
ˈeː	-	0.571
ʂ	ʃ	0.571
ˈʏ	ˈʏ	0.556
s	z	0.548
ə	ə	0.547
k	ç	0.538
ɾ	ɐ	0.511
ˈʉː	ˈaʊ̯	0.5
ˈoː	ˈaː	0.5
k	x	0.462
ˈɛ	ˈɛ	0.458
ˈɔ	-	0.455
s	ʃ	0.452
ˈʏ	-	0.444
ˈeː	ˈaɪ̯	0.429
ʂ	z	0.429
ɾ	ʁ	0.426
t	t	0.421
j	-	0.417
ˈɑː	ˈa	0.4
ˈøː	ˈoː	0.4
ˈæː	ˈɛ	0.4
tʰ	ʦ	0.4
ˈoː	-	0.375
ˈiː	ˈaɪ̯	0.368
ˈæɪ̯	-	0.364
ˈuː	ˈɔ	0.357
ɡː	-	0.333
tː	ʦ	0.333
tː	t	0.333
tː	s	0.333
j	ɡ	0.333
ə	n	0.321
#>	n_#>	0.315
ˈʉ	ˈɔ	0.286
ˈyː	ˈɔʏ̯	0.273
lː	l_d̥	0.273
ˈɛ	ˈaɪ̯	0.25
j	h	0.25
<#	<#_j	0.222
ˈiː	n	0.211
ˈɛ	-	0.208
#>	t_#>	0.204
#>	d̥_#>	0.204
ˈøː	ˈaʊ̯	0.2
ˈɔ	ˈʊ	0.182
ˈɔ	ˈɔ	0.182
ˈɔ	ˈa	0.182
d	d	0.176
ˈʉː	ˈiː	0.167
ʋ	f	0.16
ˈiː	ˈɪ	0.158
ˈiː	ˈiː	0.158
ˈœ	ˈʊ	0.154
ˈœ	ˈyː	0.154
ˈʉ	-	0.143
ˈøː	ˈøː	0.133
ˈøː	ˈuː	0.133
ˈøː	-	0.133
ˈoː	ˈeː	0.125
ˈʉː	ˈɔ	0.111
ˈʉː	ˈoː	0.111
ˈʉː	-	0.111
ˈiː	ˈaɪ̯_t	0.105
nː	n_d	0.1
m	m_ˈɪ	0.1
#>	ɐ_#>	0.093
ˈɛ	n	0.083
ˈɑ	ˈaː	0.08
ˈɑ	ˈa_s	0.08
#>	ç_#>	0.074
ɾ	t_ɐ	0.064
ə	-	0.057
