Latvian	Latvian	probability
ʧ	ʧ	1.0
ʣ	ʒ	1.0
ʎ	-	1.0
ʃ	-	1.0
ɲ	m	1.0
ɡ̊	ɡ	1.0
ɛː	ɛː_ˀ	1.0
æː	-	1.0
z̥	z	1.0
w	̂_v	1.0
v	v	1.0
uː	ɨ_ˀ	1.0
u_s	ŭ	1.0
u_n	ɲ	1.0
s_#>	#>	1.0
r̩	r	1.0
m	m	1.0
l̩	l_o	1.0
j	t_r	1.0
i_s	ŭ	1.0
e	s_ẽː	1.0
d̥	d	1.0
d	d	1.0
b̥	̂_b	1.0
b	b	1.0
au̯	uː	1.0
ai̯	ɛː	1.0
<#_uɔ̯	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_d	<#_d	1.0
<#_a	<#_o	1.0
r	r	0.882
z	z	0.778
t	t	0.765
iː	i	0.75
l	l	0.737
uɔ̯	õː	0.7
u	-	0.667
ɡ	ɡ	0.6
aː	-	0.6
<#	<#_o	0.6
n	n	0.588
k	k	0.583
p	p	0.571
ɛ	e	0.526
s	ŭ	0.512
ʦ	k_o	0.5
ʦ	-	0.5
æ	e_̂	0.5
æ	-	0.5
iɛ̯	ɛː	0.5
iɛ̯	i	0.5
p	-	0.429
n	-	0.412
aː	a_ˀ	0.4
<#	<#_v	0.4
u	u	0.333
i	ĭ	0.32
a	a	0.304
uɔ̯	-	0.3
k	-	0.25
iː	iː	0.25
t	-	0.235
#>	̌_#>	0.227
#>	i_#>	0.227
z	ɡ	0.222
a	o	0.217
ɡ	ˀ_ɡ	0.2
ɡ	-	0.2
i	-	0.2
s	ĭ	0.186
#>	a_#>	0.182
a	-	0.174
k	ʧ	0.167
ɛ	a_̌	0.158
l	̂_l	0.158
#>	ŭ_#>	0.136
#>	ĭ_#>	0.136
a	o_̂	0.13
i	t_ĭ	0.12
i	ĭ_̂	0.12
r	ˀ_r	0.118
s	̂_s	0.116
ɛ	ĭ	0.105
ɛ	a	0.105
ɛ	-	0.105
l	ˀ_l	0.105
s	s	0.093
#>	a_̌_#>	0.091
a	oː_̂	0.087
a	e	0.087
i	ŭ_̂	0.08
i	ŭ	0.08
i	e	0.08
