Faroese	Faroese	probability
ˈʏ	-	1.0
ˈɛːi̯_j	ˈoː_d̥	1.0
ˈɛːi̯	ˈau̯	1.0
ˈɔːu̯_w	ˈuə̯_tː	1.0
ˈɔːi̯	-	1.0
ˈaːi̯	ˈæi̯	1.0
ˈai̯	ˈæi̯	1.0
ˈa_ɹ	ˈɒ_r	1.0
ʰʧ	kː	1.0
ʰt͡n̥	sː_ə	1.0
ʰp	fː	1.0
ʰk	kː	1.0
ʧʰ	d̥	1.0
ʧ	χː	1.0
ʤ̊ː	-	1.0
ʤ̊	ɡ̊	1.0
ʊ_ɹ_#>	#>	1.0
ʈ	ʦ	1.0
ɹ_#>	#>	1.0
ɲ	ŋ	1.0
ɪ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_v̥	ɡ̊	1.0
ɡ̊	ɡ̊	1.0
ŋ_ɡ̊	ŋ	1.0
v_ʊ_ɹ_#>	#>	1.0
t͡n̥	r_n	1.0
t_ʊ	sː	1.0
sː	-	1.0
r	-	1.0
pʰ	p͡f	1.0
p	fː	1.0
n̥	ə	1.0
n_d̥	ŋ	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
l	l	1.0
kʰ_v	ʋ	1.0
kʰ	ɣ̊	1.0
k_ʊ_ɹ_#>	#>	1.0
k	χː	1.0
j_ˈœ	ˈæ	1.0
j_a	tː_ə	1.0
h	h	1.0
f	v̥	1.0
b̥	b̥	1.0
a_n	æ	1.0
a_#>	#>	1.0
<#_ʧʰ	<#	1.0
<#_ɹ	<#_r	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d̥	<#_tː	1.0
ɹ	r	0.953
a	ə	0.95
n	n	0.875
d̥	d̥	0.778
ˈa	ˈɒ	0.75
l̥	l	0.75
ɪ_ɹ	ə_r	0.714
t͡l̥	l	0.714
s_#>	z̥_#>	0.714
ˈʉːu̯	ˈuː	0.7
ˈœ	-	0.625
t	tː	0.625
j	-	0.625
ʊ	ə	0.615
v	ʋ	0.607
ˈʊ̯iː	ˈiː	0.6
<#	<#_ʋ	0.6
ˈɪ	ˈi	0.588
ʃ	ʒ̊	0.571
nː	n	0.556
ˈʊ	ˈu	0.526
ˈɔ̯aː	ˈɒː	0.5
ˈuː	ˈo	0.5
ˈuː	-	0.5
ˈoː	ˈoː	0.5
ˈoː	-	0.5
ʰt	χː_tː	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
w	ə	0.5
w	d̥_ə	0.5
s	z̥	0.486
tʰ	d̥	0.467
ˈɛ	-	0.462
ˈɛːa̯	ˈɒː	0.429
ˈɛːa̯	ˈɒ	0.429
ˈɔːu̯	ˈuə̯	0.429
ˈiː	-	0.429
ˈeː	ˈæ	0.429
ʃ	-	0.429
ˈɔ	ˈɒ	0.412
tʰ	ʦ	0.4
ˈɛ	ˈæ	0.385
t	sː	0.375
j	h	0.375
ˈøː	ˈæ	0.364
ˈøː	ˈyə̯	0.364
ʰt	sː	0.333
s	ʒ̊	0.314
#>	tː_#>	0.304
ˈʉːu̯	-	0.3
ˈɔ̯aː	-	0.3
ˈɔːu̯	ˈiə̯	0.286
ˈɔːu̯	-	0.286
ˈiː	ˈy	0.286
ˈiː	ˈi	0.286
ˈeː	ˈi	0.286
ˈeː	-	0.286
ɪ_ɹ	r	0.286
t͡l̥	l_d̥	0.286
s_#>	#>	0.286
ˈøː	-	0.273
ˈʊ̯iː	ˈyː	0.267
#>	ə_#>	0.261
ˈœ	ˈo	0.25
ˈa	-	0.25
v	b̥	0.25
l̥	w	0.25
ˈɪ	ˈy	0.235
ʊ	-	0.231
nː	n_d̥	0.222
nː	-	0.222
d̥	tː	0.222
ˈʊ	ˈo	0.211
ˈɔ̯aː	ˈeː	0.2
s	ʃː	0.2
<#	<#_ɡ̊	0.2
<#	<#_j	0.2
ˈɪ	-	0.176
ˈɔ	ˈu	0.176
ˈɔ	ˈo	0.176
ʰt	-	0.167
ˈʊ	-	0.158
ˈɛ	ˈe	0.154
ʊ	d̥_ə	0.154
ˈɛːa̯	ˈi	0.143
v	fː	0.143
ˈʊ̯iː	ˈiə̯	0.133
tʰ	tː	0.133
#>	r_#>	0.13
#>	d̥_#>	0.13
ˈœ	pː	0.125
n	-	0.125
ˈɔ	ˈæ	0.118
ˈɔ	ˈoː	0.118
ˈʊ	ˈuː	0.105
#>	ɡ̊_#>	0.087
#>	z̥_#>	0.087
